Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,50000
Zero Index,4999.96484375
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-1.99998594e-07,6.05625000e-04
-1.99958594e-07,5.76406250e-04
-1.99918594e-07,4.43593750e-04
-1.99878594e-07,2.89531250e-04
-1.99838594e-07,2.13828125e-04
-1.99798594e-07,2.60312500e-04
-1.99758594e-07,3.79843750e-04
-1.99718594e-07,4.67500000e-04
-1.99678594e-07,4.38281250e-04
-1.99638594e-07,2.92187500e-04
-1.99598594e-07,1.14218750e-04
-1.99558594e-07,2.25781250e-05
-1.99518594e-07,8.76562500e-05
-1.99478594e-07,2.72265625e-04
-1.99438594e-07,4.62187500e-04
-1.99398594e-07,5.33906250e-04
-1.99358594e-07,4.42265625e-04
-1.99318594e-07,2.49687500e-04
-1.99278594e-07,8.63281250e-05
-1.99238594e-07,5.44531250e-05
-1.99198594e-07,1.60703125e-04
-1.99158594e-07,3.02812500e-04
-1.99118594e-07,3.47968750e-04
-1.99078594e-07,2.29765625e-04
-1.99038594e-07,5.31250000e-06
-1.98998594e-07,-1.80625000e-04
-1.98958594e-07,-1.95234375e-04
-1.98918594e-07,-2.25781250e-05
-1.98878594e-07,2.24453125e-04
-1.98838594e-07,3.79843750e-04
-1.98798594e-07,3.45312500e-04
-1.98758594e-07,1.68671875e-04
-1.98718594e-07,1.32812500e-06
-1.98678594e-07,-1.72656250e-05
-1.98638594e-07,1.27500000e-04
-1.98598594e-07,3.10781250e-04
-1.98558594e-07,3.75859375e-04
-1.98518594e-07,2.57656250e-04
-1.98478594e-07,5.17968750e-05
-1.98438594e-07,-5.97656250e-05
-1.98398594e-07,4.91406250e-05
-1.98358594e-07,3.38671875e-04
-1.98318594e-07,6.22890625e-04
-1.98278594e-07,7.10546875e-04
-1.98238594e-07,5.43203125e-04
-1.98198594e-07,2.44375000e-04
-1.98158594e-07,1.59375000e-05
-1.98118594e-07,-1.32812500e-06
-1.98078594e-07,1.70000000e-04
-1.98038594e-07,3.78515625e-04
-1.97998594e-07,4.72812500e-04
-1.97958594e-07,4.11718750e-04
-1.97918594e-07,2.82890625e-04
-1.97878594e-07,2.20468750e-04
-1.97838594e-07,2.82890625e-04
-1.97798594e-07,4.13046875e-04
-1.97758594e-07,4.80781250e-04
-1.97718594e-07,3.94453125e-04
-1.97678594e-07,1.83281250e-04
-1.97638594e-07,-1.99218750e-05
-1.97598594e-07,-7.30468750e-05
-1.97558594e-07,7.96875000e-05
-1.97518594e-07,3.55937500e-04
-1.97478594e-07,5.96328125e-04
-1.97438594e-07,6.61406250e-04
-1.97398594e-07,5.27265625e-04
-1.97358594e-07,2.90859375e-04
-1.97318594e-07,1.08906250e-04
-1.97278594e-07,9.56250000e-05
-1.97238594e-07,2.45703125e-04
-1.97198594e-07,4.44921875e-04
-1.97158594e-07,5.37890625e-04
-1.97118594e-07,4.28984375e-04
-1.97078594e-07,1.50078125e-04
-1.97038594e-07,-1.56718750e-04
-1.96998594e-07,-3.22734375e-04
-1.96958594e-07,-2.60312500e-04
-1.96918594e-07,-1.85937500e-05
-1.96878594e-07,2.45703125e-04
-1.96838594e-07,3.71875000e-04
-1.96798594e-07,3.02812500e-04
-1.96758594e-07,1.14218750e-04
-1.96718594e-07,-3.45312500e-05
-1.96678594e-07,-1.99218750e-05
-1.96638594e-07,1.60703125e-04
-1.96598594e-07,3.91796875e-04
-1.96558594e-07,5.16640625e-04
-1.96518594e-07,4.50234375e-04
-1.96478594e-07,2.33750000e-04
-1.96438594e-07,3.98437500e-06
-1.96398594e-07,-1.03593750e-04
-1.96358594e-07,-3.98437500e-05
-1.96318594e-07,1.30156250e-04
-1.96278594e-07,2.94843750e-04
-1.96238594e-07,3.70546875e-04
-1.96198594e-07,3.53281250e-04
-1.96158594e-07,3.10781250e-04
-1.96118594e-07,3.09453125e-04
-1.96078594e-07,3.59921875e-04
-1.96038594e-07,4.14375000e-04
-1.95998594e-07,4.06406250e-04
-1.95958594e-07,3.14765625e-04
-1.95918594e-07,1.81953125e-04
-1.95878594e-07,7.83593750e-05
-1.95838594e-07,5.31250000e-05
-1.95798594e-07,9.56250000e-05
-1.95758594e-07,1.54062500e-04
-1.95718594e-07,1.81953125e-04
-1.95678594e-07,1.72656250e-04
-1.95638594e-07,1.62031250e-04
-1.95598594e-07,1.88593750e-04
-1.95558594e-07,2.61640625e-04
-1.95518594e-07,3.46640625e-04
-1.95478594e-07,3.99765625e-04
-1.95438594e-07,4.02421875e-04
-1.95398594e-07,3.67890625e-04
-1.95358594e-07,3.28046875e-04
-1.95318594e-07,3.08125000e-04
-1.95278594e-07,3.01484375e-04
-1.95238594e-07,2.90859375e-04
-1.95198594e-07,2.65625000e-04
-1.95158594e-07,2.41718750e-04
-1.95118594e-07,2.45703125e-04
-1.95078594e-07,2.92187500e-04
-1.95038594e-07,3.67890625e-04
-1.94998594e-07,4.38281250e-04
-1.94958594e-07,4.67500000e-04
-1.94918594e-07,4.50234375e-04
-1.94878594e-07,4.07734375e-04
-1.94838594e-07,3.71875000e-04
-1.94798594e-07,3.57265625e-04
-1.94758594e-07,3.57265625e-04
-1.94718594e-07,3.49296875e-04
