Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,1000
Zero Index,99.37890625
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-3.97515625e-09,1.51875000e-04
-3.93515625e-09,2.45625000e-04
-3.89515625e-09,1.93125000e-04
-3.85515625e-09,4.68750000e-05
-3.81515625e-09,-3.37500000e-05
-3.77515625e-09,8.43750000e-05
-3.73515625e-09,3.82500000e-04
-3.69515625e-09,7.01250000e-04
-3.65515625e-09,8.47500000e-04
-3.61515625e-09,7.35000000e-04
-3.57515625e-09,4.51875000e-04
-3.53515625e-09,1.80000000e-04
-3.49515625e-09,8.25000000e-05
-3.45515625e-09,1.98750000e-04
-3.41515625e-09,4.38750000e-04
-3.37515625e-09,6.54375000e-04
-3.33515625e-09,7.23750000e-04
-3.29515625e-09,6.16875000e-04
-3.25515625e-09,3.93750000e-04
-3.21515625e-09,1.74375000e-04
-3.17515625e-09,6.75000000e-05
-3.13515625e-09,1.10625000e-04
-3.09515625e-09,2.55000000e-04
-3.05515625e-09,3.90000000e-04
-3.01515625e-09,4.14375000e-04
-2.97515625e-09,3.13125000e-04
-2.93515625e-09,1.61250000e-04
-2.89515625e-09,8.25000000e-05
-2.85515625e-09,1.46250000e-04
-2.81515625e-09,3.13125000e-04
-2.77515625e-09,4.59375000e-04
-2.73515625e-09,4.66875000e-04
-2.69515625e-09,3.09375000e-04
-2.65515625e-09,7.68750000e-05
-2.61515625e-09,-9.75000000e-05
-2.57515625e-09,-1.33125000e-04
-2.53515625e-09,-3.93750000e-05
-2.49515625e-09,1.08750000e-04
-2.45515625e-09,2.38125000e-04
-2.41515625e-09,3.35625000e-04
-2.37515625e-09,4.29375000e-04
-2.33515625e-09,5.30625000e-04
-2.29515625e-09,6.03750000e-04
-2.25515625e-09,5.73750000e-04
-2.21515625e-09,4.08750000e-04
-2.17515625e-09,1.57500000e-04
-2.13515625e-09,-5.81250000e-05
-2.09515625e-09,-1.18125000e-04
-2.05515625e-09,3.75000000e-06
-2.01515625e-09,2.28750000e-04
-1.97515625e-09,4.20000000e-04
-1.93515625e-09,4.87500000e-04
-1.89515625e-09,4.38750000e-04
-1.85515625e-09,3.67500000e-04
-1.81515625e-09,3.69375000e-04
-1.77515625e-09,4.65000000e-04
-1.73515625e-09,5.90625000e-04
-1.69515625e-09,6.61875000e-04
-1.65515625e-09,6.37500000e-04
-1.61515625e-09,5.58750000e-04
-1.57515625e-09,5.06250000e-04
-1.53515625e-09,5.34375000e-04
-1.49515625e-09,6.18750000e-04
-1.45515625e-09,6.76875000e-04
-1.41515625e-09,6.31875000e-04
-1.37515625e-09,4.70625000e-04
-1.33515625e-09,2.56875000e-04
-1.29515625e-09,8.81250000e-05
-1.25515625e-09,3.00000000e-05
-1.21515625e-09,8.06250000e-05
-1.17515625e-09,1.81875000e-04
-1.13515625e-09,2.64375000e-04
-1.09515625e-09,2.96250000e-04
-1.05515625e-09,2.92500000e-04
-1.01515625e-09,2.92500000e-04
-9.75156250e-10,3.28125000e-04
-9.35156250e-10,4.10625000e-04
-8.95156250e-10,5.34375000e-04
-8.55156250e-10,6.75000000e-04
-8.15156250e-10,8.02500000e-04
-7.75156250e-10,8.86875000e-04
-7.35156250e-10,9.00000000e-04
-6.95156250e-10,8.47500000e-04
-6.55156250e-10,7.70625000e-04
-6.15156250e-10,7.51875000e-04
-5.75156250e-10,8.51250000e-04
-5.35156250e-10,1.06875000e-03
-4.95156250e-10,1.32375000e-03
-4.55156250e-10,1.50000000e-03
-4.15156250e-10,1.52437500e-03
-3.75156250e-10,1.41000000e-03
-3.35156250e-10,1.25812500e-03
-2.95156250e-10,1.18500000e-03
-2.55156250e-10,1.25437500e-03
-2.15156250e-10,1.46812500e-03
-1.75156250e-10,1.78125000e-03
-1.35156250e-10,2.16562500e-03
-9.51562500e-11,2.61375000e-03
-5.51562500e-11,3.11437500e-03
-1.51562500e-11,3.63750000e-03
2.48437500e-11,4.15125000e-03
6.48437500e-11,4.65750000e-03
1.04843750e-10,5.22937500e-03
1.44843750e-10,5.96625000e-03
1.84843750e-10,6.91500000e-03
2.24843750e-10,8.02875000e-03
2.64843750e-10,9.19875000e-03
3.04843750e-10,1.03818750e-02
3.44843750e-10,1.17112500e-02
3.84843750e-10,1.35300000e-02
4.24843750e-10,1.62825000e-02
4.64843750e-10,2.03625000e-02
5.04843750e-10,2.59743750e-02
5.44843750e-10,3.30656250e-02
5.84843750e-10,4.13025000e-02
6.24843750e-10,5.00700000e-02
6.64843750e-10,5.84868750e-02
7.04843750e-10,6.55237500e-02
7.44843750e-10,7.02318750e-02
7.84843750e-10,7.20543750e-02
8.24843750e-10,7.10437500e-02
8.64843750e-10,6.78562500e-02
9.04843750e-10,6.35193750e-02
9.44843750e-10,5.90512500e-02
9.84843750e-10,5.51662500e-02
1.02484375e-09,5.21550000e-02
1.06484375e-09,4.99818750e-02
1.10484375e-09,4.84406250e-02
1.14484375e-09,4.73193750e-02
1.18484375e-09,4.64512500e-02
1.22484375e-09,4.57200000e-02
1.26484375e-09,4.50450000e-02
1.30484375e-09,4.43643750e-02
1.34484375e-09,4.36350000e-02
1.38484375e-09,4.28306250e-02
1.42484375e-09,4.19306250e-02
