Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,449.92578125,,Zero Index,449.92578125,,Zero Index,449.92578125
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3
-1.79970312e-08,4.59375000e-04,1.98843750e-02,1.61718750e-04
-1.79570312e-08,2.64062500e-04,1.98756250e-02,1.39843750e-04
-1.79170312e-08,1.51562500e-04,1.99150000e-02,8.43750000e-05
-1.78770312e-08,1.92187500e-04,2.00056250e-02,1.79687500e-05
-1.78370313e-08,3.45312500e-04,2.01193750e-02,-3.59375000e-05
-1.77970312e-08,4.84375000e-04,2.02037500e-02,-5.70312500e-05
-1.77570312e-08,4.87500000e-04,2.02118750e-02,-3.51562500e-05
-1.77170312e-08,3.29687500e-04,2.01362500e-02,2.26562500e-05
-1.76770312e-08,1.10937500e-04,2.00162500e-02,8.82812500e-05
-1.76370312e-08,-2.65625000e-05,1.99125000e-02,1.25000000e-04
-1.75970312e-08,-3.12500000e-06,1.98675000e-02,1.02343750e-04
-1.75570313e-08,1.32812500e-04,1.98806250e-02,1.79687500e-05
-1.75170312e-08,2.57812500e-04,1.99187500e-02,-9.84375000e-05
-1.74770312e-08,2.76562500e-04,1.99487500e-02,-1.98437500e-04
-1.74370313e-08,1.98437500e-04,1.99631250e-02,-2.42187500e-04
-1.73970312e-08,1.23437500e-04,1.99825000e-02,-2.21093750e-04
-1.73570312e-08,1.57812500e-04,2.00268750e-02,-1.60937500e-04
-1.73170312e-08,3.12500000e-04,2.00912500e-02,-1.02343750e-04
-1.72770312e-08,5.03125000e-04,2.01412500e-02,-7.03125000e-05
-1.72370312e-08,6.18750000e-04,2.01381250e-02,-5.93750000e-05
-1.71970312e-08,6.07812500e-04,2.00756250e-02,-3.75000000e-05
-1.71570313e-08,5.20312500e-04,1.99906250e-02,1.95312500e-05
-1.71170312e-08,4.51562500e-04,1.99425000e-02,1.07031250e-04
-1.70770312e-08,4.56250000e-04,1.99712500e-02,1.87500000e-04
-1.70370312e-08,4.98437500e-04,2.00681250e-02,2.21875000e-04
-1.69970312e-08,4.85937500e-04,2.01787500e-02,2.00781250e-04
-1.69570312e-08,3.50000000e-04,2.02425000e-02,1.52343750e-04
-1.69170312e-08,1.18750000e-04,2.02306250e-02,1.24218750e-04
-1.68770313e-08,-9.37500000e-05,2.01681250e-02,1.43750000e-04
-1.68370312e-08,-1.76562500e-04,2.01081250e-02,2.00000000e-04
-1.67970312e-08,-8.90625000e-05,2.00956250e-02,2.53125000e-04
-1.67570312e-08,1.07812500e-04,2.01337500e-02,2.71093750e-04
-1.67170312e-08,3.14062500e-04,2.01862500e-02,2.50781250e-04
-1.66770312e-08,4.64062500e-04,2.02043750e-02,2.15625000e-04
-1.66370312e-08,5.60937500e-04,2.01637500e-02,1.92187500e-04
-1.65970313e-08,6.42187500e-04,2.00825000e-02,1.85156250e-04
-1.65570312e-08,7.09375000e-04,2.00106250e-02,1.80468750e-04
-1.65170312e-08,7.04687500e-04,1.99968750e-02,1.61718750e-04
-1.64770313e-08,5.62500000e-04,2.00568750e-02,1.28125000e-04
-1.64370312e-08,2.85937500e-04,2.01606250e-02,9.53125000e-05
-1.63970312e-08,-1.56250000e-05,2.02493750e-02,7.65625000e-05
-1.63570312e-08,-1.78125000e-04,2.02681250e-02,7.03125000e-05
-1.63170313e-08,-9.68750000e-05,2.01981250e-02,5.70312500e-05
-1.62770312e-08,1.75000000e-04,2.00687500e-02,2.10937500e-05
-1.62370312e-08,4.60937500e-04,1.99406250e-02,-3.90625000e-05
-1.61970313e-08,5.71875000e-04,1.98731250e-02,-1.05468750e-04
-1.61570312e-08,4.51562500e-04,1.98943750e-02,-1.58593750e-04
-1.61170312e-08,2.07812500e-04,1.99906250e-02,-1.92187500e-04
-1.60770312e-08,4.06250000e-05,2.01150000e-02,-2.07812500e-04
-1.60370312e-08,8.59375000e-05,2.02131250e-02,-2.09375000e-04
-1.59970312e-08,3.20312500e-04,2.02481250e-02,-1.85156250e-04
-1.59570312e-08,5.85937500e-04,2.02137500e-02,-1.14843750e-04
-1.59170313e-08,7.21875000e-04,2.01406250e-02,3.90625000e-06
-1.58770312e-08,6.73437500e-04,2.00812500e-02,1.43750000e-04
-1.58370312e-08,5.26562500e-04,2.00837500e-02,2.50781250e-04
-1.57970312e-08,4.21875000e-04,2.01637500e-02,2.77343750e-04
-1.57570312e-08,4.40625000e-04,2.02862500e-02,2.15625000e-04
-1.57170312e-08,5.51562500e-04,2.03812500e-02,1.09375000e-04
-1.56770312e-08,6.51562500e-04,2.03806250e-02,2.34375000e-05
-1.56370313e-08,6.53125000e-04,2.02687500e-02,-1.56250000e-06
-1.55970312e-08,5.54687500e-04,2.00993750e-02,2.65625000e-05
-1.55570312e-08,4.31250000e-04,1.99656250e-02,5.85937500e-05
-1.55170313e-08,3.64062500e-04,1.99418750e-02,5.07812500e-05
-1.54770312e-08,3.78125000e-04,2.00287500e-02,-3.12500000e-06
-1.54370312e-08,4.39062500e-04,2.01537500e-02,-6.87500000e-05
