Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,50000
Zero Index,2999.89453125
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-1.19995781e-07,7.31250000e-05
-1.19955781e-07,2.17500000e-04
-1.19915781e-07,3.50625000e-04
-1.19875781e-07,3.95625000e-04
-1.19835781e-07,3.26250000e-04
-1.19795781e-07,1.72500000e-04
-1.19755781e-07,-1.12500000e-05
-1.19715781e-07,-1.66875000e-04
-1.19675781e-07,-2.45625000e-04
-1.19635781e-07,-2.11875000e-04
-1.19595781e-07,-6.18750000e-05
-1.19555781e-07,1.51875000e-04
-1.19515781e-07,3.35625000e-04
-1.19475781e-07,4.08750000e-04
-1.19435781e-07,3.60000000e-04
-1.19395781e-07,2.58750000e-04
-1.19355781e-07,2.08125000e-04
-1.19315781e-07,2.56875000e-04
-1.19275781e-07,3.60000000e-04
-1.19235781e-07,4.06875000e-04
-1.19195781e-07,3.13125000e-04
-1.19155781e-07,9.93750000e-05
-1.19115781e-07,-1.16250000e-04
-1.19075781e-07,-2.02500000e-04
-1.19035781e-07,-1.16250000e-04
-1.18995781e-07,5.81250000e-05
-1.18955781e-07,1.68750000e-04
-1.18915781e-07,1.16250000e-04
-1.18875781e-07,-6.75000000e-05
-1.18835781e-07,-2.43750000e-04
-1.18795781e-07,-2.71875000e-04
-1.18755781e-07,-1.10625000e-04
-1.18715781e-07,1.46250000e-04
-1.18675781e-07,3.50625000e-04
-1.18635781e-07,4.05000000e-04
-1.18595781e-07,3.26250000e-04
-1.18555781e-07,2.08125000e-04
-1.18515781e-07,1.35000000e-04
-1.18475781e-07,1.21875000e-04
-1.18435781e-07,1.20000000e-04
-1.18395781e-07,8.62500000e-05
-1.18355781e-07,3.00000000e-05
-1.18315781e-07,5.62500000e-06
-1.18275781e-07,5.25000000e-05
-1.18235781e-07,1.51875000e-04
-1.18195781e-07,2.40000000e-04
-1.18155781e-07,2.68125000e-04
-1.18115781e-07,2.53125000e-04
-1.18075781e-07,2.55000000e-04
-1.18035781e-07,3.09375000e-04
-1.17995781e-07,3.82500000e-04
-1.17955781e-07,3.91875000e-04
-1.17915781e-07,2.73750000e-04
-1.17875781e-07,6.18750000e-05
-1.17835781e-07,-1.25625000e-04
-1.17795781e-07,-1.65000000e-04
-1.17755781e-07,-2.81250000e-05
-1.17715781e-07,2.08125000e-04
-1.17675781e-07,4.08750000e-04
-1.17635781e-07,4.89375000e-04
-1.17595781e-07,4.57500000e-04
-1.17555781e-07,3.90000000e-04
-1.17515781e-07,3.46875000e-04
-1.17475781e-07,3.30000000e-04
-1.17435781e-07,2.88750000e-04
-1.17395781e-07,1.89375000e-04
-1.17355781e-07,5.06250000e-05
-1.17315781e-07,-5.62500000e-05
-1.17275781e-07,-7.68750000e-05
-1.17235781e-07,-2.81250000e-05
-1.17195781e-07,2.81250000e-05
-1.17155781e-07,2.81250000e-05
-1.17115781e-07,-2.81250000e-05
-1.17075781e-07,-6.93750000e-05
-1.17035781e-07,-2.25000000e-05
-1.16995781e-07,1.36875000e-04
-1.16955781e-07,3.45000000e-04
-1.16915781e-07,5.11875000e-04
-1.16875781e-07,5.75625000e-04
-1.16835781e-07,5.47500000e-04
-1.16795781e-07,4.91250000e-04
-1.16755781e-07,4.65000000e-04
-1.16715781e-07,4.81875000e-04
-1.16675781e-07,5.15625000e-04
-1.16635781e-07,5.30625000e-04
-1.16595781e-07,5.17500000e-04
-1.16555781e-07,4.95000000e-04
-1.16515781e-07,4.80000000e-04
-1.16475781e-07,4.72500000e-04
-1.16435781e-07,4.50000000e-04
-1.16395781e-07,4.01250000e-04
-1.16355781e-07,3.41250000e-04
-1.16315781e-07,3.03750000e-04
-1.16275781e-07,3.11250000e-04
-1.16235781e-07,3.52500000e-04
-1.16195781e-07,3.93750000e-04
-1.16155781e-07,4.06875000e-04
-1.16115781e-07,3.90000000e-04
-1.16075781e-07,3.69375000e-04
-1.16035781e-07,3.45000000e-04
-1.15995781e-07,2.88750000e-04
-1.15955781e-07,1.46250000e-04
-1.15915781e-07,-9.18750000e-05
-1.15875781e-07,-3.58125000e-04
-1.15835781e-07,-5.13750000e-04
-1.15795781e-07,-4.50000000e-04
-1.15755781e-07,-1.68750000e-04
-1.15715781e-07,1.87500000e-04
-1.15675781e-07,4.23750000e-04
-1.15635781e-07,4.25625000e-04
-1.15595781e-07,2.38125000e-04
-1.15555781e-07,4.31250000e-05
-1.15515781e-07,1.87500000e-05
-1.15475781e-07,2.08125000e-04
-1.15435781e-07,4.68750000e-04
-1.15395781e-07,5.85000000e-04
-1.15355781e-07,4.18125000e-04
-1.15315781e-07,1.68750000e-05
-1.15275781e-07,-4.06875000e-04
-1.15235781e-07,-6.13125000e-04
-1.15195781e-07,-4.95000000e-04
-1.15155781e-07,-1.36875000e-04
-1.15115781e-07,2.55000000e-04
-1.15075781e-07,4.96875000e-04
-1.15035781e-07,5.43750000e-04
-1.14995781e-07,4.85625000e-04
-1.14955781e-07,4.51875000e-04
-1.14915781e-07,5.02500000e-04
-1.14875781e-07,5.83125000e-04
-1.14835781e-07,5.92500000e-04
-1.14795781e-07,4.76250000e-04
-1.14755781e-07,2.79375000e-04
-1.14715781e-07,1.16250000e-04
