Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,80000
Zero Index,4799.48437500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-1.91979375e-07,3.45312500e-04
-1.91939375e-07,4.70156250e-04
-1.91899375e-07,3.50625000e-04
-1.91859375e-07,1.24843750e-04
-1.91819375e-07,-5.04687500e-05
-1.91779375e-07,-1.14218750e-04
-1.91739375e-07,-9.82812500e-05
-1.91699375e-07,-6.10937500e-05
-1.91659375e-07,-2.65625000e-06
-1.91619375e-07,1.11562500e-04
-1.91579375e-07,2.78906250e-04
-1.91539375e-07,4.22343750e-04
-1.91499375e-07,4.40937500e-04
-1.91459375e-07,2.94843750e-04
-1.91419375e-07,6.90625000e-05
-1.91379375e-07,-8.50000000e-05
-1.91339375e-07,-4.51562500e-05
-1.91299375e-07,1.77968750e-04
-1.91259375e-07,4.64843750e-04
-1.91219375e-07,6.82656250e-04
-1.91179375e-07,7.75625000e-04
-1.91139375e-07,7.75625000e-04
-1.91099375e-07,7.46406250e-04
-1.91059375e-07,7.01250000e-04
-1.91019375e-07,6.16250000e-04
-1.90979375e-07,4.70156250e-04
-1.90939375e-07,2.73593750e-04
-1.90899375e-07,8.23437500e-05
-1.90859375e-07,-5.31250000e-05
-1.90819375e-07,-1.22187500e-04
-1.90779375e-07,-1.32812500e-04
-1.90739375e-07,-8.23437500e-05
-1.90699375e-07,5.04687500e-05
-1.90659375e-07,2.52343750e-04
-1.90619375e-07,4.46250000e-04
-1.90579375e-07,5.07343750e-04
-1.90539375e-07,3.50625000e-04
-1.90499375e-07,3.98437500e-05
-1.90459375e-07,-2.23125000e-04
-1.90419375e-07,-2.36406250e-04
-1.90379375e-07,4.78125000e-05
-1.90339375e-07,4.35625000e-04
-1.90299375e-07,6.26875000e-04
-1.90259375e-07,4.32968750e-04
-1.90219375e-07,-5.31250000e-05
-1.90179375e-07,-5.07343750e-04
-1.90139375e-07,-5.89687500e-04
-1.90099375e-07,-2.09843750e-04
-1.90059375e-07,4.09062500e-04
-1.90019375e-07,8.89843750e-04
-1.89979375e-07,9.53593750e-04
-1.89939375e-07,6.16250000e-04
-1.89899375e-07,1.38125000e-04
-1.89859375e-07,-1.75312500e-04
-1.89819375e-07,-1.91250000e-04
-1.89779375e-07,-5.31250000e-06
-1.89739375e-07,1.64687500e-04
-1.89699375e-07,1.62031250e-04
-1.89659375e-07,2.65625000e-06
-1.89619375e-07,-1.70000000e-04
-1.89579375e-07,-1.99218750e-04
-1.89539375e-07,-2.65625000e-05
-1.89499375e-07,2.73593750e-04
-1.89459375e-07,5.71093750e-04
-1.89419375e-07,7.51718750e-04
-1.89379375e-07,7.75625000e-04
-1.89339375e-07,6.64062500e-04
-1.89299375e-07,4.70156250e-04
-1.89259375e-07,2.49687500e-04
-1.89219375e-07,6.37500000e-05
-1.89179375e-07,-2.65625000e-05
-1.89139375e-07,1.32812500e-05
-1.89099375e-07,1.51406250e-04
-1.89059375e-07,2.92187500e-04
-1.89019375e-07,3.29375000e-04
-1.88979375e-07,2.20468750e-04
-1.88939375e-07,3.98437500e-05
-1.88899375e-07,-5.31250000e-05
-1.88859375e-07,5.31250000e-05
-1.88819375e-07,3.34687500e-04
-1.88779375e-07,6.18906250e-04
-1.88739375e-07,7.01250000e-04
-1.88699375e-07,5.04687500e-04
-1.88659375e-07,1.56718750e-04
-1.88619375e-07,-1.00937500e-04
-1.88579375e-07,-7.70312500e-05
-1.88539375e-07,2.09843750e-04
-1.88499375e-07,5.52500000e-04
-1.88459375e-07,7.11875000e-04
-1.88419375e-07,5.81718750e-04
-1.88379375e-07,2.60312500e-04
-1.88339375e-07,-3.71875000e-05
-1.88299375e-07,-1.54062500e-04
-1.88259375e-07,-8.76562500e-05
-1.88219375e-07,4.25000000e-05
-1.88179375e-07,1.24843750e-04
-1.88139375e-07,1.35468750e-04
-1.88099375e-07,1.40781250e-04
-1.88059375e-07,2.09843750e-04
-1.88019375e-07,3.50625000e-04
-1.87979375e-07,4.94062500e-04
-1.87939375e-07,5.81718750e-04
-1.87899375e-07,6.02968750e-04
-1.87859375e-07,6.00312500e-04
-1.87819375e-07,6.02968750e-04
-1.87779375e-07,5.84375000e-04
-1.87739375e-07,4.99375000e-04
-1.87699375e-07,3.50625000e-04
-1.87659375e-07,2.04531250e-04
-1.87619375e-07,1.59375000e-04
-1.87579375e-07,2.41718750e-04
-1.87539375e-07,3.71875000e-04
-1.87499375e-07,3.98437500e-04
-1.87459375e-07,2.39062500e-04
-1.87419375e-07,-5.31250000e-05
-1.87379375e-07,-3.10781250e-04
-1.87339375e-07,-3.77187500e-04
-1.87299375e-07,-2.23125000e-04
-1.87259375e-07,1.59375000e-05
-1.87219375e-07,1.62031250e-04
-1.87179375e-07,1.22187500e-04
-1.87139375e-07,-4.51562500e-05
-1.87099375e-07,-1.80625000e-04
-1.87059375e-07,-1.46093750e-04
-1.87019375e-07,6.37500000e-05
-1.86979375e-07,3.34687500e-04
-1.86939375e-07,5.04687500e-04
-1.86899375e-07,4.80781250e-04
-1.86859375e-07,2.97500000e-04
-1.86819375e-07,6.37500000e-05
-1.86779375e-07,-9.56250000e-05
-1.86739375e-07,-1.19531250e-04
