Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,5000
Zero Index,299.58593750
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-1.19834375e-08,-5.81250000e-05
-1.19434375e-08,-3.56250000e-05
-1.19034375e-08,1.21875000e-04
-1.18634375e-08,3.31875000e-04
-1.18234375e-08,4.35000000e-04
-1.17834375e-08,3.15000000e-04
-1.17434375e-08,3.18750000e-05
-1.17034375e-08,-2.02500000e-04
-1.16634375e-08,-1.81875000e-04
-1.16234375e-08,1.25625000e-04
-1.15834375e-08,5.17500000e-04
-1.15434375e-08,7.14375000e-04
-1.15034375e-08,5.70000000e-04
-1.14634375e-08,2.11875000e-04
-1.14234375e-08,-4.50000000e-05
-1.13834375e-08,5.81250000e-05
-1.13434375e-08,5.08125000e-04
-1.13034375e-08,1.00875000e-03
-1.12634375e-08,1.20562500e-03
-1.12234375e-08,9.43125000e-04
-1.11834375e-08,4.06875000e-04
-1.11434375e-08,-2.81250000e-05
-1.11034375e-08,-6.75000000e-05
-1.10634375e-08,2.79375000e-04
-1.10234375e-08,7.16250000e-04
-1.09834375e-08,8.94375000e-04
-1.09434375e-08,6.75000000e-04
-1.09034375e-08,2.23125000e-04
-1.08634375e-08,-1.29375000e-04
-1.08234375e-08,-1.36875000e-04
-1.07834375e-08,1.81875000e-04
-1.07434375e-08,5.85000000e-04
-1.07034375e-08,7.91250000e-04
-1.06634375e-08,6.84375000e-04
-1.06234375e-08,3.76875000e-04
-1.05834375e-08,1.06875000e-04
-1.05434375e-08,4.87500000e-05
-1.05034375e-08,2.06250000e-04
-1.04634375e-08,4.33125000e-04
-1.04234375e-08,5.60625000e-04
-1.03834375e-08,5.21250000e-04
-1.03434375e-08,3.86250000e-04
-1.03034375e-08,2.90625000e-04
-1.02634375e-08,3.11250000e-04
-1.02234375e-08,4.14375000e-04
-1.01834375e-08,4.96875000e-04
-1.01434375e-08,4.70625000e-04
-1.01034375e-08,3.33750000e-04
-1.00634375e-08,1.68750000e-04
-1.00234375e-08,6.56250000e-05
-9.98343750e-09,5.43750000e-05
-9.94343750e-09,9.18750000e-05
-9.90343750e-09,1.16250000e-04
-9.86343750e-09,1.12500000e-04
-9.82343750e-09,1.29375000e-04
-9.78343750e-09,2.28750000e-04
-9.74343750e-09,4.12500000e-04
-9.70343750e-09,5.90625000e-04
-9.66343750e-09,6.35625000e-04
-9.62343750e-09,4.70625000e-04
-9.58343750e-09,1.48125000e-04
-9.54343750e-09,-1.70625000e-04
-9.50343750e-09,-3.13125000e-04
-9.46343750e-09,-2.10000000e-04
-9.42343750e-09,6.75000000e-05
-9.38343750e-09,3.52500000e-04
-9.34343750e-09,5.06250000e-04
-9.30343750e-09,4.85625000e-04
-9.26343750e-09,3.63750000e-04
-9.22343750e-09,2.41875000e-04
-9.18343750e-09,1.89375000e-04
-9.14343750e-09,1.96875000e-04
-9.10343750e-09,2.23125000e-04
-9.06343750e-09,2.41875000e-04
-9.02343750e-09,2.68125000e-04
-8.98343750e-09,3.22500000e-04
-8.94343750e-09,4.08750000e-04
-8.90343750e-09,4.83750000e-04
-8.86343750e-09,4.95000000e-04
-8.82343750e-09,4.33125000e-04
-8.78343750e-09,3.46875000e-04
-8.74343750e-09,3.11250000e-04
-8.70343750e-09,3.67500000e-04
-8.66343750e-09,4.85625000e-04
-8.62343750e-09,5.73750000e-04
-8.58343750e-09,5.53125000e-04
-8.54343750e-09,4.20000000e-04
-8.50343750e-09,2.62500000e-04
-8.46343750e-09,2.04375000e-04
-8.42343750e-09,3.11250000e-04
-8.38343750e-09,5.28750000e-04
-8.34343750e-09,7.06875000e-04
-8.30343750e-09,6.99375000e-04
-8.26343750e-09,4.68750000e-04
-8.22343750e-09,1.27500000e-04
-8.18343750e-09,-1.40625000e-04
-8.14343750e-09,-1.96875000e-04
-8.10343750e-09,-5.06250000e-05
-8.06343750e-09,1.61250000e-04
-8.02343750e-09,2.83125000e-04
-7.98343750e-09,2.53125000e-04
-7.94343750e-09,1.48125000e-04
-7.90343750e-09,9.56250000e-05
-7.86343750e-09,1.65000000e-04
-7.82343750e-09,3.09375000e-04
-7.78343750e-09,4.08750000e-04
-7.74343750e-09,3.76875000e-04
-7.70343750e-09,2.40000000e-04
-7.66343750e-09,1.06875000e-04
-7.62343750e-09,9.00000000e-05
-7.58343750e-09,2.06250000e-04
-7.54343750e-09,3.76875000e-04
-7.50343750e-09,4.85625000e-04
-7.46343750e-09,4.81875000e-04
-7.42343750e-09,3.95625000e-04
-7.38343750e-09,3.15000000e-04
-7.34343750e-09,3.01875000e-04
-7.30343750e-09,3.48750000e-04
-7.26343750e-09,3.88125000e-04
-7.22343750e-09,3.52500000e-04
-7.18343750e-09,2.28750000e-04
-7.14343750e-09,7.31250000e-05
-7.10343750e-09,-2.62500000e-05
-7.06343750e-09,-1.87500000e-06
-7.02343750e-09,1.42500000e-04
-6.98343750e-09,3.28125000e-04
-6.94343750e-09,4.59375000e-04
-6.90343750e-09,4.70625000e-04
-6.86343750e-09,3.80625000e-04
-6.82343750e-09,2.64375000e-04
-6.78343750e-09,2.10000000e-04
-6.74343750e-09,2.47500000e-04
-6.70343750e-09,3.37500000e-04
