Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,50000,,Record Length,50000,,Record Length,50000
Zero Index,4499.94921875,,Zero Index,4499.94921875,,Zero Index,4499.94921875
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3
-1.79997969e-07,1.90625000e-04,1.99237187e-02,5.15625000e-05
-1.79957969e-07,1.39062500e-04,1.99684063e-02,1.21875000e-04
-1.79917969e-07,3.29687500e-04,1.99745000e-02,1.18750000e-04
-1.79877969e-07,6.21875000e-04,1.99688125e-02,3.90625000e-05
-1.79837969e-07,8.09375000e-04,1.99765313e-02,-5.46875000e-05
-1.79797969e-07,7.85937500e-04,1.99992813e-02,-9.45312500e-05
-1.79757969e-07,6.26562500e-04,2.00139063e-02,-5.85937500e-05
-1.79717969e-07,5.09375000e-04,1.99964375e-02,1.32812500e-05
-1.79677969e-07,5.67187500e-04,1.99424063e-02,6.09375000e-05
-1.79637969e-07,7.64062500e-04,1.98749688e-02,5.46875000e-05
-1.79597969e-07,9.35937500e-04,1.98286562e-02,1.32812500e-05
-1.79557969e-07,9.21875000e-04,1.98237813e-02,-2.42187500e-05
-1.79517969e-07,6.95312500e-04,1.98530313e-02,-4.29687500e-05
-1.79477969e-07,3.73437500e-04,1.98900000e-02,-7.57812500e-05
-1.79437969e-07,1.21875000e-04,1.99123438e-02,-1.68750000e-04
-1.79397969e-07,3.59375000e-05,1.99188438e-02,-3.27343750e-04
-1.79357969e-07,9.53125000e-05,1.99245313e-02,-4.90625000e-04
-1.79317969e-07,2.20312500e-04,1.99391563e-02,-5.60937500e-04
-1.79277969e-07,3.43750000e-04,1.99501250e-02,-4.75000000e-04
-1.79237969e-07,4.56250000e-04,1.99298125e-02,-2.59375000e-04
-1.79197969e-07,5.68750000e-04,1.98660313e-02,-2.34375000e-05
-1.79157969e-07,6.62500000e-04,1.97823438e-02,1.12500000e-04
-1.79117969e-07,6.84375000e-04,1.97335938e-02,1.04687500e-04
-1.79077969e-07,5.98437500e-04,1.97644687e-02,4.68750000e-06
-1.79037969e-07,4.32812500e-04,1.98684687e-02,-8.59375000e-05
-1.78997969e-07,2.82812500e-04,1.99797813e-02,-1.00781250e-04
-1.78957969e-07,2.40625000e-04,2.00171563e-02,-5.54687500e-05
-1.78917969e-07,3.17187500e-04,1.99452500e-02,-1.56250000e-05
-1.78877969e-07,4.31250000e-04,1.98083438e-02,-3.20312500e-05
-1.78837969e-07,4.67187500e-04,1.97027188e-02,-8.67187500e-05
-1.78797969e-07,3.81250000e-04,1.97063750e-02,-1.12500000e-04
-1.78757969e-07,2.34375000e-04,1.98221563e-02,-6.40625000e-05
-1.78717969e-07,1.51562500e-04,1.99724687e-02,3.28125000e-05
-1.78677969e-07,2.17187500e-04,2.00602188e-02,9.45312500e-05
-1.78637969e-07,4.12500000e-04,2.00362500e-02,4.60937500e-05
-1.78597969e-07,6.26562500e-04,1.99318438e-02,-1.06250000e-04
-1.78557969e-07,7.39062500e-04,1.98258125e-02,-2.70312500e-04
-1.78517969e-07,7.10937500e-04,1.97823438e-02,-3.32812500e-04
-1.78477969e-07,5.98437500e-04,1.98079375e-02,-2.45312500e-04
-1.78437969e-07,5.10937500e-04,1.98591250e-02,-5.85937500e-05
-1.78397969e-07,5.20312500e-04,1.98843125e-02,1.10937500e-04
-1.78357969e-07,6.12500000e-04,1.98672500e-02,1.72656250e-04
-1.78317969e-07,7.06250000e-04,1.98298750e-02,1.14843750e-04
-1.78277969e-07,7.12500000e-04,1.98075313e-02,7.81250000e-06
-1.78237969e-07,6.04687500e-04,1.98193125e-02,-6.25000000e-05
-1.78197969e-07,4.26562500e-04,1.98583125e-02,-5.78125000e-05
-1.78157969e-07,2.59375000e-04,1.99070625e-02,-7.81250000e-06
-1.78117969e-07,1.68750000e-04,1.99541875e-02,2.73437500e-05
-1.78077969e-07,1.62500000e-04,1.99952188e-02,1.40625000e-05
-1.78037969e-07,1.95312500e-04,2.00191875e-02,-2.73437500e-05
-1.77997969e-07,2.14062500e-04,2.00037500e-02,-4.53125000e-05
-1.77957969e-07,1.90625000e-04,1.99285938e-02,0.00000000e+00
-1.77917969e-07,1.42187500e-04,1.98042812e-02,9.37500000e-05
-1.77877969e-07,1.18750000e-04,1.96840313e-02,1.82031250e-04
-1.77837969e-07,1.54687500e-04,1.96425937e-02,2.13281250e-04
-1.77797969e-07,2.51562500e-04,1.97258750e-02,1.75781250e-04
-1.77757969e-07,3.71875000e-04,1.99090938e-02,1.07031250e-04
-1.77717969e-07,4.68750000e-04,2.01008437e-02,6.01562500e-05
-1.77677969e-07,5.12500000e-04,2.01963125e-02,6.25000000e-05
-1.77637969e-07,5.00000000e-04,2.01467500e-02,1.01562500e-04
-1.77597969e-07,4.54687500e-04,1.99956250e-02,1.36718750e-04
-1.77557969e-07,4.09375000e-04,1.98481563e-02,1.39843750e-04
-1.77517969e-07,3.92187500e-04,1.98006250e-02,1.09375000e-04
-1.77477969e-07,4.25000000e-04,1.98721250e-02,6.87500000e-05
-1.77437969e-07,5.00000000e-04,1.99992813e-02,3.59375000e-05
-1.77397969e-07,5.85937500e-04,2.00850000e-02,1.01562500e-05
-1.77357969e-07,6.29687500e-04,2.00703750e-02,-2.65625000e-05
-1.77317969e-07,5.79687500e-04,1.99736875e-02,-8.35937500e-05
-1.77277969e-07,4.32812500e-04,1.98672500e-02,-1.46875000e-04
-1.77237969e-07,2.50000000e-04,1.98185000e-02,-1.79687500e-04
-1.77197969e-07,1.40625000e-04,1.98428750e-02,-1.55468750e-04
-1.77157969e-07,1.96875000e-04,1.99034063e-02,-8.04687500e-05
-1.77117969e-07,4.28125000e-04,1.99517500e-02,2.34375000e-06
-1.77077969e-07,7.40625000e-04,1.99708438e-02,3.98437500e-05
-1.77037969e-07,9.84375000e-04,1.99805938e-02,6.25000000e-06
-1.76997969e-07,1.04375000e-03,2.00074063e-02,-8.04687500e-05
