Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,2500
Zero Index,249.84765625
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-3.51390625e-09,2.32421875e-04
-3.47390625e-09,2.41718750e-04
-3.43390625e-09,3.69218750e-04
-3.39390625e-09,4.80781250e-04
-3.35390625e-09,4.50234375e-04
-3.31390625e-09,2.64296875e-04
-3.27390625e-09,3.05468750e-05
-3.23390625e-09,-9.42968750e-05
-3.19390625e-09,-1.59375000e-05
-3.15390625e-09,2.35078125e-04
-3.11390625e-09,5.27265625e-04
-3.07390625e-09,7.18515625e-04
-3.03390625e-09,7.31796875e-04
-2.99390625e-09,5.84375000e-04
-2.95390625e-09,3.53281250e-04
-2.91390625e-09,1.28828125e-04
-2.87390625e-09,-2.92187500e-05
-2.83390625e-09,-9.69531250e-05
-2.79390625e-09,-8.23437500e-05
-2.75390625e-09,-2.12500000e-05
-2.71390625e-09,3.85156250e-05
-2.67390625e-09,4.78125000e-05
-2.63390625e-09,-5.31250000e-06
-2.59390625e-09,-8.50000000e-05
-2.55390625e-09,-1.14218750e-04
-2.51390625e-09,-3.05468750e-05
-2.47390625e-09,1.60703125e-04
-2.43390625e-09,3.75859375e-04
-2.39390625e-09,5.03359375e-04
-2.35390625e-09,4.82109375e-04
-2.31390625e-09,3.47968750e-04
-2.27390625e-09,2.08515625e-04
-2.23390625e-09,1.64687500e-04
-2.19390625e-09,2.31093750e-04
-2.15390625e-09,3.29375000e-04
-2.11390625e-09,3.54609375e-04
-2.07390625e-09,2.55000000e-04
-2.03390625e-09,7.83593750e-05
-1.99390625e-09,-6.64062500e-05
-1.95390625e-09,-8.63281250e-05
-1.91390625e-09,2.92187500e-05
-1.87390625e-09,2.13828125e-04
-1.83390625e-09,3.62578125e-04
-1.79390625e-09,4.09062500e-04
-1.75390625e-09,3.45312500e-04
-1.71390625e-09,2.16484375e-04
-1.67390625e-09,8.63281250e-05
-1.63390625e-09,9.29687500e-06
-1.59390625e-09,1.32812500e-05
-1.55390625e-09,9.16406250e-05
-1.51390625e-09,2.15156250e-04
-1.47390625e-09,3.26718750e-04
-1.43390625e-09,3.79843750e-04
-1.39390625e-09,3.54609375e-04
-1.35390625e-09,2.78906250e-04
-1.31390625e-09,2.15156250e-04
-1.27390625e-09,2.17812500e-04
-1.23390625e-09,2.94843750e-04
-1.19390625e-09,3.97109375e-04
-1.15390625e-09,4.58203125e-04
-1.11390625e-09,4.34296875e-04
-1.07390625e-09,3.45312500e-04
-1.03390625e-09,2.58984375e-04
-9.93906250e-10,2.48359375e-04
-9.53906250e-10,3.45312500e-04
-9.13906250e-10,5.13984375e-04
-8.73906250e-10,6.74687500e-04
-8.33906250e-10,7.46406250e-04
-7.93906250e-10,6.99921875e-04
-7.53906250e-10,5.84375000e-04
-7.13906250e-10,5.11328125e-04
-6.73906250e-10,5.98984375e-04
-6.33906250e-10,8.99140625e-04
-5.93906250e-10,1.35601563e-03
-5.53906250e-10,1.82882813e-03
-5.13906250e-10,2.17148438e-03
-4.73906250e-10,2.32421875e-03
-4.33906250e-10,2.35609375e-03
-3.93906250e-10,2.40921875e-03
-3.53906250e-10,2.60976563e-03
-3.13906250e-10,2.98296875e-03
-2.73906250e-10,3.45976563e-03
-2.33906250e-10,3.97640625e-03
-1.93906250e-10,4.58335938e-03
-1.53906250e-10,5.50640625e-03
-1.13906250e-10,7.12140625e-03
-7.39062500e-11,9.84273438e-03
-3.39062500e-11,1.39851563e-02
6.09375000e-12,1.96257031e-02
4.60937500e-11,2.64921094e-02
8.60937500e-11,3.39110156e-02
1.26093750e-10,4.08757031e-02
1.66093750e-10,4.62718750e-02
2.06093750e-10,4.92203125e-02
2.46093750e-10,4.93903125e-02
2.86093750e-10,4.71152344e-02
3.26093750e-10,4.32357813e-02
3.66093750e-10,3.87387500e-02
4.06093750e-10,3.43931250e-02
4.46093750e-10,3.05880469e-02
4.86093750e-10,2.73965625e-02
5.26093750e-10,2.47602344e-02
5.66093750e-10,2.26458594e-02
6.06093750e-10,2.10560938e-02
6.46093750e-10,1.99497656e-02
6.86093750e-10,1.91807813e-02
7.26093750e-10,1.85167188e-02
7.66093750e-10,1.77517188e-02
8.06093750e-10,1.67994531e-02
8.46093750e-10,1.57157031e-02
8.86093750e-10,1.46292969e-02
9.26093750e-10,1.36571094e-02
9.66093750e-10,1.28363281e-02
1.00609375e-09,1.21350781e-02
1.04609375e-09,1.14763281e-02
1.08609375e-09,1.07857031e-02
1.12609375e-09,1.00127344e-02
1.16609375e-09,9.15476563e-03
1.20609375e-09,8.26492188e-03
1.24609375e-09,7.43750000e-03
1.28609375e-09,6.77875000e-03
1.32609375e-09,6.35242188e-03
1.36609375e-09,6.14656250e-03
1.40609375e-09,6.08148438e-03
1.44609375e-09,6.05492188e-03
1.48609375e-09,5.98187500e-03
1.52609375e-09,5.82382813e-03
1.56609375e-09,5.56351563e-03
1.60609375e-09,5.19960938e-03
1.64609375e-09,4.75203125e-03
1.68609375e-09,4.26992188e-03
1.72609375e-09,3.84359375e-03
1.76609375e-09,3.56203125e-03
1.80609375e-09,3.44117188e-03
1.84609375e-09,3.39468750e-03
1.88609375e-09,3.26851563e-03
1.92609375e-09,2.93781250e-03
1.96609375e-09,2.40789063e-03
2.00609375e-09,1.82484375e-03
2.04609375e-09,1.39320313e-03
2.08609375e-09,1.24710938e-03
2.12609375e-09,1.36000000e-03
2.16609375e-09,1.57914063e-03
2.20609375e-09,1.73585938e-03
2.24609375e-09,1.76109375e-03
2.28609375e-09,1.71593750e-03
2.32609375e-09,1.72125000e-03
2.36609375e-09,1.84210938e-03
2.40609375e-09,2.03335938e-03
2.44609375e-09,2.17281250e-03
2.48609375e-09,2.16617188e-03
2.52609375e-09,2.01609375e-03
2.56609375e-09,1.82218750e-03
2.60609375e-09,1.68804688e-03
2.64609375e-09,1.63492188e-03
2.68609375e-09,1.58710938e-03
2.72609375e-09,1.43968750e-03
2.76609375e-09,1.16078125e-03
2.80609375e-09,8.31406250e-04
2.84609375e-09,5.91015625e-04
2.88609375e-09,5.31250000e-04
2.92609375e-09,6.10937500e-04
2.96609375e-09,6.91953125e-04
3.00609375e-09,6.42812500e-04
3.04609375e-09,4.56875000e-04
3.08609375e-09,2.65625000e-04
3.12609375e-09,2.43046875e-04
3.16609375e-09,4.70156250e-04
3.20609375e-09,8.63281250e-04
3.24609375e-09,1.22984375e-03
