Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,50000
Zero Index,2999.75390625
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-1.19990156e-07,7.67656250e-04
-1.19950156e-07,9.11093750e-04
-1.19910156e-07,7.09218750e-04
-1.19870156e-07,3.58593750e-04
-1.19830156e-07,1.75312500e-04
-1.19790156e-07,3.55937500e-04
-1.19750156e-07,8.20781250e-04
-1.19710156e-07,1.26703125e-03
-1.19670156e-07,1.38921875e-03
-1.19630156e-07,1.09437500e-03
-1.19590156e-07,5.63125000e-04
-1.19550156e-07,1.11562500e-04
-1.19510156e-07,-2.92187500e-05
-1.19470156e-07,1.51406250e-04
-1.19430156e-07,4.59531250e-04
-1.19390156e-07,6.50781250e-04
-1.19350156e-07,5.92343750e-04
-1.19310156e-07,3.26718750e-04
-1.19270156e-07,7.96875000e-06
-1.19230156e-07,-1.96562500e-04
-1.19190156e-07,-2.17812500e-04
-1.19150156e-07,-8.50000000e-05
-1.19110156e-07,1.16875000e-04
-1.19070156e-07,3.13437500e-04
-1.19030156e-07,4.67500000e-04
-1.18990156e-07,5.79062500e-04
-1.18950156e-07,6.64062500e-04
-1.18910156e-07,7.30468750e-04
-1.18870156e-07,7.72968750e-04
-1.18830156e-07,7.75625000e-04
-1.18790156e-07,7.25156250e-04
-1.18750156e-07,6.21562500e-04
-1.18710156e-07,4.64843750e-04
-1.18670156e-07,2.78906250e-04
-1.18630156e-07,8.50000000e-05
-1.18590156e-07,-8.23437500e-05
-1.18550156e-07,-1.75312500e-04
-1.18510156e-07,-1.51406250e-04
-1.18470156e-07,1.06250000e-05
-1.18430156e-07,2.68281250e-04
-1.18390156e-07,5.20625000e-04
-1.18350156e-07,6.40156250e-04
-1.18310156e-07,5.49843750e-04
-1.18270156e-07,2.89531250e-04
-1.18230156e-07,-2.65625000e-06
-1.18190156e-07,-1.67343750e-04
-1.18150156e-07,-1.38125000e-04
-1.18110156e-07,1.59375000e-05
-1.18070156e-07,1.30156250e-04
-1.18030156e-07,9.56250000e-05
-1.17990156e-07,-6.64062500e-05
-1.17950156e-07,-1.88593750e-04
-1.17910156e-07,-1.11562500e-04
-1.17870156e-07,1.99218750e-04
-1.17830156e-07,5.89687500e-04
-1.17790156e-07,8.34062500e-04
-1.17750156e-07,8.07500000e-04
-1.17710156e-07,5.84375000e-04
-1.17670156e-07,3.82500000e-04
-1.17630156e-07,3.82500000e-04
-1.17590156e-07,5.76406250e-04
-1.17550156e-07,7.72968750e-04
-1.17510156e-07,7.57031250e-04
-1.17470156e-07,4.83437500e-04
-1.17430156e-07,1.16875000e-04
-1.17390156e-07,-9.29687500e-05
-1.17350156e-07,-2.39062500e-05
-1.17310156e-07,2.36406250e-04
-1.17270156e-07,4.48906250e-04
-1.17230156e-07,4.38281250e-04
-1.17190156e-07,2.44375000e-04
-1.17150156e-07,6.37500000e-05
-1.17110156e-07,9.56250000e-05
-1.17070156e-07,3.45312500e-04
-1.17030156e-07,6.18906250e-04
-1.16990156e-07,6.74687500e-04
-1.16950156e-07,4.27656250e-04
-1.16910156e-07,2.39062500e-05
-1.16870156e-07,-2.73593750e-04
-1.16830156e-07,-2.78906250e-04
-1.16790156e-07,-3.71875000e-05
-1.16750156e-07,2.17812500e-04
-1.16710156e-07,2.44375000e-04
-1.16670156e-07,-1.85937500e-05
-1.16630156e-07,-4.09062500e-04
-1.16590156e-07,-6.56093750e-04
-1.16550156e-07,-5.79062500e-04
-1.16510156e-07,-2.09843750e-04
-1.16470156e-07,2.52343750e-04
-1.16430156e-07,5.87031250e-04
-1.16390156e-07,7.11875000e-04
-1.16350156e-07,6.93281250e-04
-1.16310156e-07,6.72031250e-04
-1.16270156e-07,7.22500000e-04
-1.16230156e-07,8.02187500e-04
-1.16190156e-07,7.99531250e-04
-1.16150156e-07,6.53437500e-04
-1.16110156e-07,4.09062500e-04
-1.16070156e-07,1.96562500e-04
-1.16030156e-07,1.19531250e-04
-1.15990156e-07,1.85937500e-04
-1.15950156e-07,3.02812500e-04
-1.15910156e-07,3.55937500e-04
-1.15870156e-07,3.13437500e-04
-1.15830156e-07,2.23125000e-04
-1.15790156e-07,1.77968750e-04
-1.15750156e-07,2.20468750e-04
-1.15710156e-07,3.10781250e-04
-1.15670156e-07,3.45312500e-04
-1.15630156e-07,2.52343750e-04
-1.15590156e-07,4.78125000e-05
-1.15550156e-07,-1.70000000e-04
-1.15510156e-07,-2.86875000e-04
-1.15470156e-07,-2.55000000e-04
-1.15430156e-07,-1.35468750e-04
-1.15390156e-07,-3.98437500e-05
-1.15350156e-07,-4.78125000e-05
-1.15310156e-07,-1.30156250e-04
-1.15270156e-07,-1.64687500e-04
-1.15230156e-07,-2.65625000e-05
-1.15190156e-07,2.81562500e-04
-1.15150156e-07,6.24218750e-04
-1.15110156e-07,7.96875000e-04
-1.15070156e-07,7.01250000e-04
-1.15030156e-07,4.22343750e-04
-1.14990156e-07,1.85937500e-04
-1.14950156e-07,1.91250000e-04
-1.14910156e-07,4.46250000e-04
-1.14870156e-07,7.46406250e-04
-1.14830156e-07,8.34062500e-04
-1.14790156e-07,5.95000000e-04
-1.14750156e-07,1.62031250e-04
