Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,999.69140625
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-3.99876562e-08,8.23437500e-05
-3.99476562e-08,-1.85937500e-05
-3.99076562e-08,-7.57031250e-05
-3.98676563e-08,-2.52343750e-05
-3.98276562e-08,1.24843750e-04
-3.97876562e-08,2.84218750e-04
-3.97476562e-08,3.58593750e-04
-3.97076562e-08,3.32031250e-04
-3.96676562e-08,2.88203125e-04
-3.96276562e-08,3.34687500e-04
-3.95876563e-08,4.98046875e-04
-3.95476562e-08,6.80000000e-04
-3.95076562e-08,7.37109375e-04
-3.94676562e-08,6.00312500e-04
-3.94276562e-08,3.38671875e-04
-3.93876562e-08,1.15546875e-04
-3.93476562e-08,5.57812500e-05
-3.93076563e-08,1.56718750e-04
-3.92676562e-08,3.06796875e-04
-3.92276562e-08,3.91796875e-04
-3.91876562e-08,3.81171875e-04
-3.91476562e-08,3.38671875e-04
-3.91076562e-08,3.32031250e-04
-3.90676562e-08,3.57265625e-04
-3.90276563e-08,3.45312500e-04
-3.89876562e-08,2.43046875e-04
-3.89476562e-08,9.42968750e-05
-3.89076562e-08,2.39062500e-05
-3.88676562e-08,1.39453125e-04
-3.88276562e-08,4.19687500e-04
-3.87876563e-08,7.03906250e-04
-3.87476562e-08,8.04843750e-04
-3.87076562e-08,6.45468750e-04
-3.86676562e-08,3.24062500e-04
-3.86276562e-08,3.58593750e-05
-3.85876562e-08,-6.37500000e-05
-3.85476562e-08,3.71875000e-05
-3.85076563e-08,2.24453125e-04
-3.84676562e-08,3.59921875e-04
-3.84276562e-08,3.89140625e-04
-3.83876562e-08,3.53281250e-04
-3.83476562e-08,3.25390625e-04
-3.83076562e-08,3.36015625e-04
-3.82676562e-08,3.49296875e-04
-3.82276563e-08,3.17421875e-04
-3.81876562e-08,2.35078125e-04
-3.81476562e-08,1.56718750e-04
-3.81076562e-08,1.47421875e-04
-3.80676562e-08,2.31093750e-04
-3.80276562e-08,3.61250000e-04
-3.79876562e-08,4.72812500e-04
-3.79476563e-08,5.20625000e-04
-3.79076562e-08,5.16640625e-04
-3.78676562e-08,4.99375000e-04
-3.78276562e-08,4.91406250e-04
-3.77876562e-08,4.86093750e-04
-3.77476562e-08,4.52890625e-04
-3.77076562e-08,3.86484375e-04
-3.76676563e-08,3.06796875e-04
-3.76276562e-08,2.55000000e-04
-3.75876562e-08,2.51015625e-04
-3.75476562e-08,2.77578125e-04
-3.75076562e-08,2.97500000e-04
-3.74676562e-08,2.80234375e-04
-3.74276562e-08,2.27109375e-04
-3.73876563e-08,1.64687500e-04
-3.73476562e-08,1.16875000e-04
-3.73076562e-08,9.16406250e-05
-3.72676562e-08,8.63281250e-05
-3.72276562e-08,1.02265625e-04
-3.71876562e-08,1.54062500e-04
-3.71476562e-08,2.43046875e-04
-3.71076563e-08,3.41328125e-04
-3.70676562e-08,3.90468750e-04
-3.70276562e-08,3.42656250e-04
-3.69876562e-08,2.04531250e-04
-3.69476562e-08,4.91406250e-05
-3.69076562e-08,-3.05468750e-05
-3.68676563e-08,1.06250000e-05
-3.68276563e-08,1.28828125e-04
-3.67876562e-08,2.23125000e-04
-3.67476562e-08,2.13828125e-04
-3.67076562e-08,1.11562500e-04
-3.66676562e-08,1.72656250e-05
-3.66276562e-08,3.71875000e-05
-3.65876563e-08,2.00546875e-04
-3.65476562e-08,4.23671875e-04
-3.65076562e-08,5.68437500e-04
-3.64676562e-08,5.52500000e-04
-3.64276562e-08,4.06406250e-04
-3.63876562e-08,2.64296875e-04
-3.63476562e-08,2.52343750e-04
-3.63076563e-08,4.01093750e-04
-3.62676562e-08,6.09609375e-04
-3.62276562e-08,7.21171875e-04
-3.61876562e-08,6.30859375e-04
-3.61476562e-08,3.66562500e-04
-3.61076562e-08,7.03906250e-05
-3.60676562e-08,-8.89843750e-05
-3.60276563e-08,-3.05468750e-05
-3.59876562e-08,1.89921875e-04
-3.59476562e-08,4.28984375e-04
-3.59076562e-08,5.48515625e-04
-3.58676562e-08,5.06015625e-04
-3.58276562e-08,3.77187500e-04
-3.57876562e-08,2.84218750e-04
-3.57476563e-08,3.17421875e-04
-3.57076562e-08,4.66171875e-04
-3.56676562e-08,6.33515625e-04
-3.56276562e-08,7.06562500e-04
-3.55876562e-08,6.26875000e-04
-3.55476562e-08,4.27656250e-04
-3.55076562e-08,2.04531250e-04
-3.54676563e-08,5.57812500e-05
-3.54276562e-08,2.65625000e-05
-3.53876562e-08,9.16406250e-05
-3.53476562e-08,1.83281250e-04
-3.53076562e-08,2.37734375e-04
-3.52676562e-08,2.27109375e-04
-3.52276562e-08,1.73984375e-04
-3.51876563e-08,1.16875000e-04
-3.51476562e-08,8.89843750e-05
-3.51076562e-08,9.96093750e-05
-3.50676562e-08,1.46093750e-04
-3.50276562e-08,2.12500000e-04
-3.49876562e-08,2.85546875e-04
-3.49476563e-08,3.38671875e-04
-3.49076563e-08,3.41328125e-04
-3.48676562e-08,2.77578125e-04
-3.48276562e-08,1.63359375e-04
-3.47876562e-08,5.71093750e-05
-3.47476562e-08,2.65625000e-05
-3.47076562e-08,1.00937500e-04
-3.46676563e-08,2.36406250e-04
