Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,2500
Zero Index,249.06640625
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-9.96265625e-09,4.03750000e-04
-9.92265625e-09,3.54609375e-04
-9.88265625e-09,1.95234375e-04
-9.84265625e-09,7.03906250e-05
-9.80265625e-09,9.03125000e-05
-9.76265625e-09,2.37734375e-04
-9.72265625e-09,3.82500000e-04
-9.68265625e-09,3.90468750e-04
-9.64265625e-09,2.51015625e-04
-9.60265625e-09,8.10156250e-05
-9.56265625e-09,3.32031250e-05
-9.52265625e-09,1.59375000e-04
-9.48265625e-09,3.59921875e-04
-9.44265625e-09,4.71484375e-04
-9.40265625e-09,4.02421875e-04
-9.36265625e-09,2.03203125e-04
-9.32265625e-09,1.72656250e-05
-9.28265625e-09,-3.85156250e-05
-9.24265625e-09,2.78906250e-05
-9.20265625e-09,1.10234375e-04
-9.16265625e-09,1.14218750e-04
-9.12265625e-09,4.11718750e-05
-9.08265625e-09,-2.12500000e-05
-9.04265625e-09,1.06250000e-05
-9.00265625e-09,1.30156250e-04
-8.96265625e-09,2.33750000e-04
-8.92265625e-09,2.24453125e-04
-8.88265625e-09,9.29687500e-05
-8.84265625e-09,-6.24218750e-05
-8.80265625e-09,-1.26171875e-04
-8.76265625e-09,-6.10937500e-05
-8.72265625e-09,5.97656250e-05
-8.68265625e-09,1.23515625e-04
-8.64265625e-09,8.23437500e-05
-8.60265625e-09,-6.64062500e-06
-8.56265625e-09,-3.45312500e-05
-8.52265625e-09,6.10937500e-05
-8.48265625e-09,2.32421875e-04
-8.44265625e-09,3.59921875e-04
-8.40265625e-09,3.43984375e-04
-8.36265625e-09,1.91250000e-04
-8.32265625e-09,3.98437500e-06
-8.28265625e-09,-8.76562500e-05
-8.24265625e-09,-2.65625000e-05
-8.20265625e-09,1.50078125e-04
-8.16265625e-09,3.34687500e-04
-8.12265625e-09,4.35625000e-04
-8.08265625e-09,4.21015625e-04
-8.04265625e-09,3.29375000e-04
-8.00265625e-09,2.25781250e-04
-7.96265625e-09,1.59375000e-04
-7.92265625e-09,1.40781250e-04
-7.88265625e-09,1.44765625e-04
-7.84265625e-09,1.46093750e-04
-7.80265625e-09,1.31484375e-04
-7.76265625e-09,1.08906250e-04
-7.72265625e-09,1.06250000e-04
-7.68265625e-09,1.46093750e-04
-7.64265625e-09,2.39062500e-04
-7.60265625e-09,3.66562500e-04
-7.56265625e-09,4.87421875e-04
-7.52265625e-09,5.43203125e-04
-7.48265625e-09,4.88750000e-04
-7.44265625e-09,3.20078125e-04
-7.40265625e-09,9.29687500e-05
-7.36265625e-09,-8.76562500e-05
-7.32265625e-09,-1.22187500e-04
-7.28265625e-09,2.78906250e-05
-7.24265625e-09,3.00156250e-04
-7.20265625e-09,5.53828125e-04
-7.16265625e-09,6.44140625e-04
-7.12265625e-09,5.11328125e-04
-7.08265625e-09,2.17812500e-04
-7.04265625e-09,-7.96875000e-05
-7.00265625e-09,-2.24453125e-04
-6.96265625e-09,-1.55390625e-04
-6.92265625e-09,5.97656250e-05
-6.88265625e-09,2.69609375e-04
-6.84265625e-09,3.45312500e-04
-6.80265625e-09,2.66953125e-04
-6.76265625e-09,1.27500000e-04
-6.72265625e-09,5.84375000e-05
-6.68265625e-09,1.26171875e-04
-6.64265625e-09,2.84218750e-04
-6.60265625e-09,4.13046875e-04
-6.56265625e-09,4.14375000e-04
-6.52265625e-09,2.97500000e-04
-6.48265625e-09,1.59375000e-04
-6.44265625e-09,1.08906250e-04
-6.40265625e-09,1.68671875e-04
-6.36265625e-09,2.66953125e-04
-6.32265625e-09,3.02812500e-04
-6.28265625e-09,2.33750000e-04
-6.24265625e-09,1.16875000e-04
-6.20265625e-09,4.51562500e-05
-6.16265625e-09,5.97656250e-05
-6.12265625e-09,1.12890625e-04
-6.08265625e-09,1.16875000e-04
-6.04265625e-09,3.45312500e-05
-6.00265625e-09,-6.77343750e-05
-5.96265625e-09,-7.43750000e-05
-5.92265625e-09,6.77343750e-05
-5.88265625e-09,2.88203125e-04
-5.84265625e-09,4.36953125e-04
-5.80265625e-09,4.03750000e-04
-5.76265625e-09,2.21796875e-04
-5.72265625e-09,5.04687500e-05
-5.68265625e-09,3.98437500e-05
-5.64265625e-09,2.08515625e-04
-5.60265625e-09,4.21015625e-04
-5.56265625e-09,4.95390625e-04
-5.52265625e-09,3.66562500e-04
-5.48265625e-09,1.40781250e-04
-5.44265625e-09,1.46093750e-05
-5.40265625e-09,1.15546875e-04
-5.36265625e-09,3.87812500e-04
-5.32265625e-09,6.34843750e-04
-5.28265625e-09,6.65390625e-04
-5.24265625e-09,4.47578125e-04
-5.20265625e-09,1.24843750e-04
-5.16265625e-09,-8.63281250e-05
-5.12265625e-09,-5.04687500e-05
-5.08265625e-09,2.00546875e-04
-5.04265625e-09,5.10000000e-04
-5.00265625e-09,7.05234375e-04
-4.96265625e-09,6.97265625e-04
-4.92265625e-09,5.12656250e-04
-4.88265625e-09,2.52343750e-04
-4.84265625e-09,2.52343750e-05
-4.80265625e-09,-9.42968750e-05
-4.76265625e-09,-8.23437500e-05
-4.72265625e-09,3.32031250e-05
-4.68265625e-09,1.83281250e-04
