Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,50000,,Record Length,50000,,Record Length,50000
Zero Index,4499.32812500,,Zero Index,4499.32812500,,Zero Index,4499.32812500
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3
-1.79973125e-07,6.54687500e-04,1.98100000e-02,-2.44531250e-04
-1.79933125e-07,5.12500000e-04,2.00512500e-02,-1.20312500e-04
-1.79893125e-07,4.76562500e-04,2.03481250e-02,9.60937500e-05
-1.79853125e-07,5.64062500e-04,2.05937500e-02,3.08593750e-04
-1.79813125e-07,6.93750000e-04,2.07325000e-02,4.21093750e-04
-1.79773125e-07,7.37500000e-04,2.07662500e-02,3.94531250e-04
-1.79733125e-07,6.21875000e-04,2.07231250e-02,2.60937500e-04
-1.79693125e-07,3.90625000e-04,2.06187500e-02,8.67187500e-05
-1.79653125e-07,1.85937500e-04,2.04493750e-02,-7.34375000e-05
-1.79613125e-07,1.42187500e-04,2.02193750e-02,-1.96875000e-04
-1.79573125e-07,2.87500000e-04,1.99687500e-02,-2.78906250e-04
-1.79533125e-07,5.15625000e-04,1.97737500e-02,-3.14843750e-04
-1.79493125e-07,6.71875000e-04,1.97050000e-02,-2.83593750e-04
-1.79453125e-07,6.64062500e-04,1.97881250e-02,-1.79687500e-04
-1.79413125e-07,5.32812500e-04,1.99831250e-02,-2.89062500e-05
-1.79373125e-07,3.95312500e-04,2.02131250e-02,1.10937500e-04
-1.79333125e-07,3.48437500e-04,2.04100000e-02,1.85156250e-04
-1.79293125e-07,3.96875000e-04,2.05487500e-02,1.82812500e-04
-1.79253125e-07,4.73437500e-04,2.06368750e-02,1.43750000e-04
-1.79213125e-07,5.23437500e-04,2.06843750e-02,1.25000000e-04
-1.79173125e-07,5.54687500e-04,2.06737500e-02,1.50000000e-04
-1.79133125e-07,6.12500000e-04,2.05687500e-02,1.86718750e-04
-1.79093125e-07,6.98437500e-04,2.03512500e-02,1.77343750e-04
-1.79053125e-07,7.42187500e-04,2.00550000e-02,8.51562500e-05
-1.79013125e-07,6.50000000e-04,1.97718750e-02,-6.64062500e-05
-1.78973125e-07,4.14062500e-04,1.96137500e-02,-2.06250000e-04
-1.78933125e-07,1.65625000e-04,1.96493750e-02,-2.60937500e-04
-1.78893125e-07,9.84375000e-05,1.98656250e-02,-2.03906250e-04
-1.78853125e-07,3.12500000e-04,2.01743750e-02,-6.87500000e-05
-1.78813125e-07,7.15625000e-04,2.04593750e-02,7.65625000e-05
-1.78773125e-07,1.07187500e-03,2.06356250e-02,1.73437500e-04
-1.78733125e-07,1.17812500e-03,2.06837500e-02,2.05468750e-04
-1.78693125e-07,1.01875000e-03,2.06375000e-02,1.95312500e-04
-1.78653125e-07,7.68750000e-04,2.05456250e-02,1.77343750e-04
-1.78613125e-07,6.34375000e-04,2.04381250e-02,1.70312500e-04
-1.78573125e-07,6.79687500e-04,2.03118750e-02,1.59375000e-04
-1.78533125e-07,7.76562500e-04,2.01525000e-02,1.12500000e-04
-1.78493125e-07,7.46875000e-04,1.99662500e-02,8.59375000e-06
-1.78453125e-07,5.29687500e-04,1.97956250e-02,-1.35156250e-04
-1.78413125e-07,2.54687500e-04,1.97106250e-02,-2.60937500e-04
-1.78373125e-07,1.25000000e-04,1.97731250e-02,-3.00000000e-04
-1.78333125e-07,2.34375000e-04,1.99975000e-02,-2.16406250e-04
-1.78293125e-07,4.70312500e-04,2.03312500e-02,-3.04687500e-05
-1.78253125e-07,6.15625000e-04,2.06687500e-02,1.82031250e-04
-1.78213125e-07,5.39062500e-04,2.08968750e-02,3.37500000e-04
-1.78173125e-07,3.12500000e-04,2.09493750e-02,3.87500000e-04
