Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,25000
Zero Index,1499.22265625
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-5.99689062e-08,5.51250000e-04
-5.99289062e-08,6.05625000e-04
-5.98889062e-08,5.13750000e-04
-5.98489062e-08,3.60000000e-04
-5.98089062e-08,2.47500000e-04
-5.97689063e-08,2.28750000e-04
-5.97289062e-08,2.73750000e-04
-5.96889062e-08,3.22500000e-04
-5.96489062e-08,3.45000000e-04
-5.96089062e-08,3.63750000e-04
-5.95689062e-08,4.12500000e-04
-5.95289062e-08,4.76250000e-04
-5.94889062e-08,4.83750000e-04
-5.94489062e-08,3.67500000e-04
-5.94089062e-08,1.44375000e-04
-5.93689062e-08,-6.18750000e-05
-5.93289062e-08,-1.01250000e-04
-5.92889062e-08,7.68750000e-05
-5.92489062e-08,3.67500000e-04
-5.92089062e-08,5.79375000e-04
-5.91689062e-08,5.62500000e-04
-5.91289062e-08,3.37500000e-04
-5.90889062e-08,7.50000000e-05
-5.90489062e-08,-3.75000000e-05
-5.90089062e-08,7.50000000e-05
-5.89689062e-08,3.20625000e-04
-5.89289062e-08,5.28750000e-04
-5.88889062e-08,5.88750000e-04
-5.88489062e-08,5.21250000e-04
-5.88089062e-08,4.35000000e-04
-5.87689062e-08,4.35000000e-04
-5.87289062e-08,5.28750000e-04
-5.86889062e-08,6.43125000e-04
-5.86489062e-08,6.93750000e-04
-5.86089062e-08,6.56250000e-04
-5.85689062e-08,5.68125000e-04
-5.85289062e-08,4.89375000e-04
-5.84889062e-08,4.51875000e-04
-5.84489062e-08,4.44375000e-04
-5.84089062e-08,4.42500000e-04
-5.83689062e-08,4.31250000e-04
-5.83289062e-08,4.14375000e-04
-5.82889062e-08,3.90000000e-04
-5.82489062e-08,3.50625000e-04
-5.82089062e-08,2.90625000e-04
-5.81689062e-08,2.30625000e-04
-5.81289062e-08,2.06250000e-04
-5.80889062e-08,2.41875000e-04
-5.80489062e-08,3.26250000e-04
-5.80089062e-08,4.03125000e-04
-5.79689062e-08,4.16250000e-04
-5.79289062e-08,3.48750000e-04
-5.78889062e-08,2.30625000e-04
-5.78489062e-08,1.16250000e-04
-5.78089062e-08,4.12500000e-05
-5.77689062e-08,1.68750000e-05
-5.77289062e-08,3.75000000e-05
-5.76889062e-08,1.03125000e-04
-5.76489062e-08,2.11875000e-04
-5.76089062e-08,3.35625000e-04
-5.75689062e-08,4.12500000e-04
-5.75289062e-08,3.82500000e-04
-5.74889062e-08,2.30625000e-04
-5.74489062e-08,2.62500000e-05
-5.74089062e-08,-1.20000000e-04
-5.73689062e-08,-1.23750000e-04
-5.73289062e-08,9.37500000e-06
-5.72889062e-08,2.00625000e-04
-5.72489062e-08,3.56250000e-04
-5.72089062e-08,4.38750000e-04
-5.71689062e-08,4.80000000e-04
-5.71289062e-08,5.25000000e-04
-5.70889062e-08,5.70000000e-04
-5.70489062e-08,5.64375000e-04
-5.70089062e-08,4.61250000e-04
-5.69689062e-08,2.77500000e-04
-5.69289062e-08,1.06875000e-04
-5.68889062e-08,4.87500000e-05
-5.68489062e-08,1.23750000e-04
-5.68089062e-08,2.53125000e-04
-5.67689062e-08,3.11250000e-04
-5.67289062e-08,2.38125000e-04
-5.66889062e-08,6.93750000e-05
-5.66489062e-08,-8.43750000e-05
-5.66089062e-08,-1.33125000e-04
-5.65689062e-08,-6.93750000e-05
-5.65289062e-08,4.87500000e-05
-5.64889062e-08,1.68750000e-04
-5.64489062e-08,2.83125000e-04
-5.64089062e-08,4.18125000e-04
-5.63689062e-08,5.62500000e-04
-5.63289062e-08,6.43125000e-04
-5.62889062e-08,5.68125000e-04
-5.62489062e-08,3.24375000e-04
-5.62089062e-08,3.37500000e-05
-5.61689062e-08,-9.93750000e-05
-5.61289062e-08,6.75000000e-05
-5.60889062e-08,4.85625000e-04
-5.60489062e-08,9.24375000e-04
-5.60089062e-08,1.11187500e-03
-5.59689062e-08,9.33750000e-04
-5.59289062e-08,5.06250000e-04
-5.58889062e-08,1.06875000e-04
-5.58489062e-08,-2.06250000e-05
-5.58089062e-08,1.61250000e-04
-5.57689062e-08,4.85625000e-04
-5.57289062e-08,7.03125000e-04
-5.56889062e-08,6.67500000e-04
-5.56489062e-08,4.21875000e-04
-5.56089062e-08,1.42500000e-04
-5.55689062e-08,-3.75000000e-06
-5.55289062e-08,4.12500000e-05
-5.54889062e-08,2.00625000e-04
-5.54489062e-08,3.46875000e-04
-5.54089062e-08,3.93750000e-04
-5.53689062e-08,3.37500000e-04
-5.53289062e-08,2.21250000e-04
-5.52889062e-08,9.00000000e-05
-5.52489062e-08,-4.50000000e-05
-5.52089062e-08,-1.80000000e-04
-5.51689062e-08,-2.86875000e-04
-5.51289062e-08,-3.15000000e-04
-5.50889062e-08,-2.28750000e-04
-5.50489062e-08,-3.75000000e-05
-5.50089062e-08,1.76250000e-04
-5.49689062e-08,3.13125000e-04
-5.49289062e-08,3.05625000e-04
-5.48889062e-08,1.68750000e-04
-5.48489062e-08,-1.87500000e-05
-5.48089062e-08,-1.48125000e-04
-5.47689062e-08,-1.51875000e-04
-5.47289062e-08,-3.56250000e-05
-5.46889062e-08,1.36875000e-04
