Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,25000,,Record Length,25000,,Record Length,25000
Zero Index,2249.23046875,,Zero Index,2249.23046875,,Zero Index,2249.23046875
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3
-8.99692187e-08,3.42187500e-04,2.02225000e-02,-3.59375000e-05
-8.99292187e-08,4.28125000e-04,2.02793750e-02,6.71875000e-05
-8.98892187e-08,4.40625000e-04,2.03968750e-02,1.92968750e-04
-8.98492187e-08,3.68750000e-04,2.05118750e-02,2.40625000e-04
-8.98092187e-08,2.57812500e-04,2.05400000e-02,1.78906250e-04
-8.97692188e-08,1.70312500e-04,2.04381250e-02,5.85937500e-05
-8.97292187e-08,1.40625000e-04,2.02475000e-02,-3.04687500e-05
-8.96892187e-08,1.57812500e-04,2.00756250e-02,-3.75000000e-05
-8.96492187e-08,1.85937500e-04,2.00275000e-02,1.64062500e-05
-8.96092187e-08,2.06250000e-04,2.01306250e-02,6.25000000e-05
-8.95692187e-08,2.32812500e-04,2.03175000e-02,5.00000000e-05
-8.95292187e-08,3.01562500e-04,2.04662500e-02,-1.56250000e-05
-8.94892188e-08,4.23437500e-04,2.04843750e-02,-8.04687500e-05
-8.94492187e-08,5.68750000e-04,2.03650000e-02,-8.67187500e-05
-8.94092187e-08,6.81250000e-04,2.01906250e-02,-1.48437500e-05
-8.93692187e-08,7.15625000e-04,2.00756250e-02,1.03906250e-04
-8.93292187e-08,6.64062500e-04,2.00956250e-02,2.14843750e-04
-8.92892187e-08,5.62500000e-04,2.02412500e-02,2.77343750e-04
-8.92492187e-08,4.53125000e-04,2.04293750e-02,2.80468750e-04
-8.92092188e-08,3.51562500e-04,2.05562500e-02,2.41406250e-04
