Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,449.48828125,,Zero Index,449.48828125,,Zero Index,449.48828125
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3
-1.49395313e-08,5.26562500e-04,2.01525000e-02,-5.70312500e-05
-1.48995312e-08,4.92187500e-04,2.00718750e-02,-3.43750000e-05
-1.48595312e-08,5.07812500e-04,2.00362500e-02,-2.81250000e-05
-1.48195312e-08,5.43750000e-04,2.00687500e-02,-1.95312500e-05
-1.47795312e-08,5.68750000e-04,2.01518750e-02,1.09375000e-05
-1.47395312e-08,5.79687500e-04,2.02431250e-02,6.79687500e-05
-1.46995312e-08,6.03125000e-04,2.02968750e-02,1.36718750e-04
-1.46595312e-08,6.50000000e-04,2.02875000e-02,1.86718750e-04
-1.46195312e-08,6.84375000e-04,2.02175000e-02,1.86718750e-04
-1.45795312e-08,6.56250000e-04,2.01131250e-02,1.24218750e-04
-1.45395312e-08,5.46875000e-04,2.00137500e-02,1.95312500e-05
-1.44995312e-08,4.01562500e-04,1.99581250e-02,-8.43750000e-05
-1.44595312e-08,2.95312500e-04,1.99675000e-02,-1.44531250e-04
-1.44195312e-08,2.82812500e-04,2.00375000e-02,-1.42187500e-04
-1.43795312e-08,3.42187500e-04,2.01381250e-02,-9.92187500e-05
-1.43395312e-08,4.00000000e-04,2.02293750e-02,-6.09375000e-05
-1.42995312e-08,3.93750000e-04,2.02800000e-02,-6.40625000e-05
-1.42595312e-08,3.31250000e-04,2.02825000e-02,-1.10937500e-04
-1.42195312e-08,2.79687500e-04,2.02543750e-02,-1.62500000e-04
-1.41795312e-08,3.06250000e-04,2.02243750e-02,-1.65625000e-04
-1.41395312e-08,4.10937500e-04,2.02150000e-02,-8.59375000e-05
-1.40995312e-08,5.21875000e-04,2.02312500e-02,6.09375000e-05
-1.40595312e-08,5.45312500e-04,2.02600000e-02,2.17187500e-04
-1.40195312e-08,4.45312500e-04,2.02800000e-02,3.13281250e-04
-1.39795312e-08,2.70312500e-04,2.02743750e-02,3.06250000e-04
-1.39395312e-08,1.17187500e-04,2.02375000e-02,2.03125000e-04
-1.38995312e-08,6.40625000e-05,2.01787500e-02,5.46875000e-05
-1.38595312e-08,1.15625000e-04,2.01218750e-02,-6.95312500e-05
-1.38195312e-08,2.17187500e-04,2.00931250e-02,-1.19531250e-04
-1.37795312e-08,3.06250000e-04,2.01081250e-02,-8.35937500e-05
-1.37395312e-08,3.62500000e-04,2.01631250e-02,6.25000000e-06
-1.36995312e-08,4.14062500e-04,2.02281250e-02,9.60937500e-05
-1.36595312e-08,4.98437500e-04,2.02625000e-02,1.37500000e-04
-1.36195312e-08,6.15625000e-04,2.02381250e-02,1.21093750e-04
-1.35795312e-08,7.17187500e-04,2.01618750e-02,8.04687500e-05
-1.35395312e-08,7.40625000e-04,2.00806250e-02,6.79687500e-05
-1.34995312e-08,6.62500000e-04,2.00525000e-02,1.21093750e-04
-1.34595312e-08,5.18750000e-04,2.01106250e-02,2.22656250e-04
-1.34195312e-08,3.81250000e-04,2.02350000e-02,3.09375000e-04
-1.33795312e-08,3.09375000e-04,2.03600000e-02,3.09375000e-04
-1.33395312e-08,2.96875000e-04,2.04143750e-02,1.97656250e-04
-1.32995312e-08,2.95312500e-04,2.03700000e-02,1.71875000e-05
-1.32595312e-08,2.57812500e-04,2.02637500e-02,-1.46093750e-04
-1.32195312e-08,1.82812500e-04,2.01743750e-02,-2.20312500e-04
-1.31795312e-08,1.28125000e-04,2.01656250e-02,-1.90625000e-04
-1.31395312e-08,1.53125000e-04,2.02418750e-02,-1.03125000e-04
-1.30995312e-08,2.62500000e-04,2.03468750e-02,-2.10937500e-05
-1.30595312e-08,3.90625000e-04,2.04081250e-02,2.18750000e-05
-1.30195312e-08,4.43750000e-04,2.03893750e-02,3.90625000e-05
-1.29795312e-08,3.81250000e-04,2.03156250e-02,6.25000000e-05
-1.29395312e-08,2.45312500e-04,2.02456250e-02,1.11718750e-04
-1.28995313e-08,1.45312500e-04,2.02212500e-02,1.73437500e-04
-1.28595312e-08,1.64062500e-04,2.02368750e-02,2.19531250e-04
-1.28195312e-08,2.98437500e-04,2.02487500e-02,2.24218750e-04
-1.27795312e-08,4.54687500e-04,2.02193750e-02,1.82031250e-04
-1.27395312e-08,5.23437500e-04,2.01556250e-02,1.04687500e-04
-1.26995312e-08,4.51562500e-04,2.01056250e-02,7.81250000e-06
-1.26595312e-08,2.84375000e-04,2.01175000e-02,-8.59375000e-05
-1.26195312e-08,1.26562500e-04,2.01981250e-02,-1.46093750e-04
-1.25795312e-08,6.71875000e-05,2.03056250e-02,-1.42968750e-04
-1.25395312e-08,1.25000000e-04,2.03856250e-02,-6.64062500e-05
-1.24995312e-08,2.53125000e-04,2.04100000e-02,5.07812500e-05
-1.24595312e-08,3.92187500e-04,2.03981250e-02,1.41406250e-04
-1.24195313e-08,5.17187500e-04,2.03893750e-02,1.39062500e-04
-1.23795312e-08,6.56250000e-04,2.04062500e-02,3.51562500e-05
-1.23395312e-08,8.37500000e-04,2.04331250e-02,-1.09375000e-04
-1.22995312e-08,1.03906250e-03,2.04368750e-02,-1.98437500e-04
-1.22595312e-08,1.18125000e-03,2.04043750e-02,-1.69531250e-04
-1.22195312e-08,1.17187500e-03,2.03587500e-02,-4.53125000e-05
-1.21795312e-08,9.75000000e-04,2.03406250e-02,8.28125000e-05
-1.21395312e-08,6.62500000e-04,2.03662500e-02,1.21875000e-04
-1.20995312e-08,3.76562500e-04,2.04006250e-02,5.31250000e-05
-1.20595312e-08,2.37500000e-04,2.03831250e-02,-5.70312500e-05
-1.20195312e-08,2.65625000e-04,2.02743750e-02,-1.12500000e-04
-1.19795312e-08,3.70312500e-04,2.01006250e-02,-6.56250000e-05
-1.19395313e-08,4.28125000e-04,1.99400000e-02,4.06250000e-05
-1.18995312e-08,3.85937500e-04,1.98737500e-02,1.12500000e-04
-1.18595312e-08,3.04687500e-04,1.99250000e-02,7.96875000e-05
-1.18195312e-08,3.06250000e-04,2.00443750e-02,-4.60937500e-05
-1.17795312e-08,4.60937500e-04,2.01525000e-02,-1.81250000e-04
-1.17395312e-08,7.14062500e-04,2.01975000e-02,-2.42187500e-04
-1.16995312e-08,9.17187500e-04,2.01918750e-02,-2.03906250e-04
-1.16595312e-08,9.46875000e-04,2.01900000e-02,-1.14843750e-04
-1.16195312e-08,8.09375000e-04,2.02387500e-02,-4.60937500e-05
-1.15795312e-08,6.43750000e-04,2.03312500e-02,-3.20312500e-05
-1.15395312e-08,6.10937500e-04,2.04137500e-02,-4.76562500e-05
-1.14995312e-08,7.54687500e-04,2.04237500e-02,-3.59375000e-05
-1.14595313e-08,9.48437500e-04,2.03393750e-02,3.59375000e-05
-1.14195312e-08,9.75000000e-04,2.01931250e-02,1.48437500e-04
-1.13795312e-08,7.07812500e-04,2.00537500e-02,2.42187500e-04
-1.13395312e-08,2.28125000e-04,1.99850000e-02,2.63281250e-04
-1.12995312e-08,-2.10937500e-04,2.00131250e-02,1.99218750e-04
-1.12595312e-08,-3.48437500e-04,2.01212500e-02,8.35937500e-05
-1.12195312e-08,-1.09375000e-04,2.02643750e-02,-2.89062500e-05
