Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,50000
Zero Index,4999.67187500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-1.99986875e-07,1.67343750e-04
-1.99946875e-07,7.03906250e-05
-1.99906875e-07,3.98437500e-05
-1.99866875e-07,7.96875000e-05
-1.99826875e-07,1.52734375e-04
-1.99786875e-07,1.99218750e-04
-1.99746875e-07,1.75312500e-04
-1.99706875e-07,7.83593750e-05
-1.99666875e-07,-4.38281250e-05
-1.99626875e-07,-1.24843750e-04
-1.99586875e-07,-1.15546875e-04
-1.99546875e-07,-1.72656250e-05
-1.99506875e-07,1.14218750e-04
-1.99466875e-07,2.03203125e-04
-1.99426875e-07,2.00546875e-04
-1.99386875e-07,1.11562500e-04
-1.99346875e-07,2.65625000e-06
-1.99306875e-07,-4.78125000e-05
-1.99266875e-07,5.31250000e-06
-1.99226875e-07,1.43437500e-04
-1.99186875e-07,2.98828125e-04
-1.99146875e-07,4.01093750e-04
-1.99106875e-07,4.27656250e-04
-1.99066875e-07,4.14375000e-04
-1.99026875e-07,4.27656250e-04
-1.98986875e-07,5.07343750e-04
-1.98946875e-07,6.25546875e-04
-1.98906875e-07,7.01250000e-04
-1.98866875e-07,6.50781250e-04
-1.98826875e-07,4.58203125e-04
-1.98786875e-07,2.03203125e-04
-1.98746875e-07,1.99218750e-05
-1.98706875e-07,1.72656250e-05
-1.98666875e-07,1.93906250e-04
-1.98626875e-07,4.36953125e-04
-1.98586875e-07,5.92343750e-04
-1.98546875e-07,5.69765625e-04
-1.98506875e-07,4.10390625e-04
-1.98466875e-07,2.43046875e-04
-1.98426875e-07,1.84609375e-04
-1.98386875e-07,2.48359375e-04
-1.98346875e-07,3.40000000e-04
-1.98306875e-07,3.47968750e-04
-1.98266875e-07,2.39062500e-04
-1.98226875e-07,9.82812500e-05
-1.98186875e-07,5.04687500e-05
-1.98146875e-07,1.51406250e-04
-1.98106875e-07,3.34687500e-04
-1.98066875e-07,4.58203125e-04
-1.98026875e-07,4.15703125e-04
-1.97986875e-07,2.28437500e-04
-1.97946875e-07,2.39062500e-05
-1.97906875e-07,-5.31250000e-05
-1.97866875e-07,4.64843750e-05
-1.97826875e-07,2.52343750e-04
-1.97786875e-07,4.38281250e-04
-1.97746875e-07,5.17968750e-04
-1.97706875e-07,4.91406250e-04
-1.97666875e-07,4.18359375e-04
-1.97626875e-07,3.47968750e-04
-1.97586875e-07,2.88203125e-04
-1.97546875e-07,2.09843750e-04
-1.97506875e-07,1.07578125e-04
-1.97466875e-07,1.46093750e-05
-1.97426875e-07,-1.32812500e-05
-1.97386875e-07,5.04687500e-05
-1.97346875e-07,1.76640625e-04
-1.97306875e-07,2.88203125e-04
-1.97266875e-07,3.30703125e-04
-1.97226875e-07,2.98828125e-04
-1.97186875e-07,2.45703125e-04
-1.97146875e-07,2.35078125e-04
-1.97106875e-07,2.86875000e-04
-1.97066875e-07,3.69218750e-04
-1.97026875e-07,4.25000000e-04
-1.96986875e-07,4.14375000e-04
-1.96946875e-07,3.47968750e-04
-1.96906875e-07,2.80234375e-04
-1.96866875e-07,2.65625000e-04
-1.96826875e-07,3.18750000e-04
-1.96786875e-07,4.02421875e-04
-1.96746875e-07,4.48906250e-04
-1.96706875e-07,4.10390625e-04
-1.96666875e-07,2.86875000e-04
-1.96626875e-07,1.34140625e-04
-1.96586875e-07,3.18750000e-05
-1.96546875e-07,3.45312500e-05
-1.96506875e-07,1.43437500e-04
-1.96466875e-07,3.12109375e-04
-1.96426875e-07,4.72812500e-04
-1.96386875e-07,5.69765625e-04
-1.96346875e-07,5.77734375e-04
-1.96306875e-07,5.00703125e-04
-1.96266875e-07,3.63906250e-04
-1.96226875e-07,2.15156250e-04
-1.96186875e-07,1.03593750e-04
-1.96146875e-07,6.37500000e-05
-1.96106875e-07,9.96093750e-05
-1.96066875e-07,1.70000000e-04
-1.96026875e-07,2.19140625e-04
-1.95986875e-07,2.15156250e-04
-1.95946875e-07,1.72656250e-04
-1.95906875e-07,1.43437500e-04
-1.95866875e-07,1.66015625e-04
-1.95826875e-07,2.37734375e-04
-1.95786875e-07,3.06796875e-04
-1.95746875e-07,3.17421875e-04
-1.95706875e-07,2.52343750e-04
-1.95666875e-07,1.42109375e-04
-1.95626875e-07,3.58593750e-05
-1.95586875e-07,-3.45312500e-05
-1.95546875e-07,-6.90625000e-05
-1.95506875e-07,-7.43750000e-05
-1.95466875e-07,-4.51562500e-05
-1.95426875e-07,3.05468750e-05
-1.95386875e-07,1.46093750e-04
-1.95346875e-07,2.58984375e-04
-1.95306875e-07,3.04140625e-04
-1.95266875e-07,2.57656250e-04
-1.95226875e-07,1.58046875e-04
-1.95186875e-07,9.16406250e-05
-1.95146875e-07,1.23515625e-04
-1.95106875e-07,2.33750000e-04
-1.95066875e-07,3.34687500e-04
-1.95026875e-07,3.43984375e-04
-1.94986875e-07,2.53671875e-04
-1.94946875e-07,1.44765625e-04
-1.94906875e-07,1.11562500e-04
-1.94866875e-07,1.76640625e-04
-1.94826875e-07,2.72265625e-04
-1.94786875e-07,3.00156250e-04
-1.94746875e-07,2.25781250e-04
-1.94706875e-07,1.16875000e-04
-1.94666875e-07,8.50000000e-05
