Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,50000,,Record Length,50000,,Record Length,50000
Zero Index,4499.53125000,,Zero Index,4499.53125000,,Zero Index,4499.53125000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3
-1.79981250e-07,3.85937500e-04,2.01118750e-02,-2.57812500e-05
-1.79941250e-07,4.28125000e-04,2.01575000e-02,5.54687500e-05
-1.79901250e-07,4.96875000e-04,2.02100000e-02,4.37500000e-05
-1.79861250e-07,5.28125000e-04,2.02237500e-02,-3.04687500e-05
-1.79821250e-07,4.81250000e-04,2.01868750e-02,-9.60937500e-05
-1.79781250e-07,3.68750000e-04,2.01268750e-02,-9.21875000e-05
-1.79741250e-07,2.50000000e-04,2.00868750e-02,-1.32812500e-05
-1.79701250e-07,1.85937500e-04,2.00943750e-02,9.60937500e-05
-1.79661250e-07,2.01562500e-04,2.01468750e-02,1.78125000e-04
-1.79621250e-07,2.68750000e-04,2.02150000e-02,2.05468750e-04
-1.79581250e-07,3.31250000e-04,2.02637500e-02,1.95312500e-04
-1.79541250e-07,3.43750000e-04,2.02756250e-02,1.82031250e-04
-1.79501250e-07,2.98437500e-04,2.02550000e-02,1.84375000e-04
-1.79461250e-07,2.26562500e-04,2.02237500e-02,1.94531250e-04
-1.79421250e-07,1.71875000e-04,2.02062500e-02,1.93750000e-04
-1.79381250e-07,1.56250000e-04,2.02156250e-02,1.79687500e-04
-1.79341250e-07,1.78125000e-04,2.02462500e-02,1.63281250e-04
-1.79301250e-07,2.09375000e-04,2.02762500e-02,1.53125000e-04
-1.79261250e-07,2.23437500e-04,2.02787500e-02,1.29687500e-04
-1.79221250e-07,2.12500000e-04,2.02406250e-02,5.93750000e-05
-1.79181250e-07,1.82812500e-04,2.01706250e-02,-7.10937500e-05
-1.79141250e-07,1.60937500e-04,2.01043750e-02,-2.15625000e-04
-1.79101250e-07,1.70312500e-04,2.00787500e-02,-2.90625000e-04
-1.79061250e-07,2.26562500e-04,2.01100000e-02,-2.32812500e-04
-1.79021250e-07,3.29687500e-04,2.01756250e-02,-6.17187500e-05
-1.78981250e-07,4.60937500e-04,2.02287500e-02,1.14843750e-04
-1.78941250e-07,5.87500000e-04,2.02243750e-02,1.71093750e-04
-1.78901250e-07,6.73437500e-04,2.01543750e-02,5.93750000e-05
-1.78861250e-07,6.92187500e-04,2.00550000e-02,-1.45312500e-04
-1.78821250e-07,6.54687500e-04,1.99837500e-02,-2.93750000e-04
-1.78781250e-07,5.95312500e-04,1.99787500e-02,-2.75000000e-04
-1.78741250e-07,5.62500000e-04,2.00331250e-02,-1.00781250e-04
-1.78701250e-07,5.81250000e-04,2.00981250e-02,1.00781250e-04
-1.78661250e-07,6.34375000e-04,2.01181250e-02,1.82812500e-04
-1.78621250e-07,6.75000000e-04,2.00693750e-02,8.82812500e-05
-1.78581250e-07,6.62500000e-04,1.99806250e-02,-1.06250000e-04
-1.78541250e-07,6.00000000e-04,1.99137500e-02,-2.58593750e-04
-1.78501250e-07,5.37500000e-04,1.99237500e-02,-2.67968750e-04
-1.78461250e-07,5.31250000e-04,2.00212500e-02,-1.49218750e-04
-1.78421250e-07,5.95312500e-04,2.01618750e-02,-7.03125000e-06
-1.78381250e-07,6.81250000e-04,2.02706250e-02,4.76562500e-05
-1.78341250e-07,7.09375000e-04,2.02881250e-02,-1.71875000e-05
-1.78301250e-07,6.37500000e-04,2.02037500e-02,-1.49218750e-04
-1.78261250e-07,4.90625000e-04,2.00600000e-02,-2.61718750e-04
-1.78221250e-07,3.53125000e-04,1.99293750e-02,-3.03125000e-04
-1.78181250e-07,2.98437500e-04,1.98743750e-02,-2.79687500e-04
-1.78141250e-07,3.31250000e-04,1.99193750e-02,-2.32031250e-04
-1.78101250e-07,3.85937500e-04,2.00418750e-02,-1.89062500e-04
-1.78061250e-07,3.87500000e-04,2.01893750e-02,-1.52343750e-04
-1.78021250e-07,3.06250000e-04,2.03025000e-02,-1.12500000e-04
-1.77981250e-07,1.84375000e-04,2.03387500e-02,-7.03125000e-05
-1.77941250e-07,7.65625000e-05,2.02893750e-02,-4.29687500e-05
-1.77901250e-07,7.81250000e-06,2.01837500e-02,-4.37500000e-05
-1.77861250e-07,-4.68750000e-05,2.00812500e-02,-6.09375000e-05
-1.77821250e-07,-1.12500000e-04,2.00431250e-02,-6.71875000e-05
-1.77781250e-07,-1.71875000e-04,2.01025000e-02,-4.21875000e-05
-1.77741250e-07,-1.59375000e-04,2.02381250e-02,4.68750000e-06
-1.77701250e-07,-2.81250000e-05,2.03793750e-02,4.21875000e-05
-1.77661250e-07,2.03125000e-04,2.04456250e-02,5.00000000e-05
-1.77621250e-07,4.32812500e-04,2.03975000e-02,3.67187500e-05
-1.77581250e-07,5.54687500e-04,2.02650000e-02,4.06250000e-05
-1.77541250e-07,5.40625000e-04,2.01331250e-02,9.76562500e-05
-1.77501250e-07,4.53125000e-04,2.00893750e-02,2.08593750e-04
-1.77461250e-07,3.98437500e-04,2.01643750e-02,3.33593750e-04
-1.77421250e-07,4.28125000e-04,2.03137500e-02,4.14062500e-04
-1.77381250e-07,5.00000000e-04,2.04500000e-02,4.07031250e-04
-1.77341250e-07,5.21875000e-04,2.04987500e-02,3.07812500e-04
-1.77301250e-07,4.40625000e-04,2.04425000e-02,1.42968750e-04
-1.77261250e-07,2.85937500e-04,2.03256250e-02,-4.06250000e-05
-1.77221250e-07,1.45312500e-04,2.02156250e-02,-1.98437500e-04
-1.77181250e-07,9.53125000e-05,2.01637500e-02,-2.97656250e-04
-1.77141250e-07,1.34375000e-04,2.01818750e-02,-3.17968750e-04
-1.77101250e-07,2.01562500e-04,2.02512500e-02,-2.58593750e-04
-1.77061250e-07,2.40625000e-04,2.03400000e-02,-1.36718750e-04
-1.77021250e-07,2.54687500e-04,2.04175000e-02,8.59375000e-06
-1.76981250e-07,2.90625000e-04,2.04600000e-02,1.32031250e-04
-1.76941250e-07,3.96875000e-04,2.04562500e-02,1.98437500e-04
-1.76901250e-07,5.54687500e-04,2.04131250e-02,1.97656250e-04
-1.76861250e-07,6.92187500e-04,2.03606250e-02,1.51562500e-04
-1.76821250e-07,7.32812500e-04,2.03412500e-02,9.76562500e-05
-1.76781250e-07,6.68750000e-04,2.03806250e-02,7.10937500e-05
-1.76741250e-07,5.67187500e-04,2.04618750e-02,8.35937500e-05
-1.76701250e-07,5.20312500e-04,2.05318750e-02,1.17968750e-04
-1.76661250e-07,5.67187500e-04,2.05362500e-02,1.42187500e-04
-1.76621250e-07,6.67187500e-04,2.04643750e-02,1.28125000e-04
-1.76581250e-07,7.26562500e-04,2.03650000e-02,7.03125000e-05
-1.76541250e-07,6.78125000e-04,2.03093750e-02,-1.17187500e-05
-1.76501250e-07,5.35937500e-04,2.03350000e-02,-8.43750000e-05
-1.76461250e-07,3.81250000e-04,2.04137500e-02,-1.24218750e-04
-1.76421250e-07,3.06250000e-04,2.04768750e-02,-1.28906250e-04
-1.76381250e-07,3.45312500e-04,2.04756250e-02,-1.13281250e-04
-1.76341250e-07,4.56250000e-04,2.04225000e-02,-9.21875000e-05
-1.76301250e-07,5.67187500e-04,2.03793750e-02,-6.32812500e-05
-1.76261250e-07,6.25000000e-04,2.03993750e-02,-1.09375000e-05
-1.76221250e-07,6.32812500e-04,2.04750000e-02,7.65625000e-05
-1.76181250e-07,6.14062500e-04,2.05425000e-02,1.81250000e-04
-1.76141250e-07,5.78125000e-04,2.05393750e-02,2.55468750e-04
-1.76101250e-07,5.06250000e-04,2.04612500e-02,2.49218750e-04
-1.76061250e-07,3.73437500e-04,2.03662500e-02,1.50000000e-04
-1.76021250e-07,2.03125000e-04,2.03243750e-02,1.56250000e-06
-1.75981250e-07,6.87500000e-05,2.03525000e-02,-1.22656250e-04
-1.75941250e-07,5.62500000e-05,2.04000000e-02,-1.64062500e-04
-1.75901250e-07,1.89062500e-04,2.03968750e-02,-1.22656250e-04
-1.75861250e-07,4.00000000e-04,2.03206250e-02,-5.23437500e-05
-1.75821250e-07,5.65625000e-04,2.02225000e-02,-1.95312500e-05
-1.75781250e-07,5.87500000e-04,2.01837500e-02,-5.07812500e-05
-1.75741250e-07,4.64062500e-04,2.02425000e-02,-1.22656250e-04
-1.75701250e-07,2.89062500e-04,2.03537500e-02,-1.82812500e-04
