Time(s),CH1V,CH2V,CH3V
-5.000000e-07,-1.826667e-03,2.430800e-02,-9.706667e-03
-4.950000e-07,-3.106667e-03,2.510686e-02,-1.866667e-04
-4.900000e-07,-4.173333e-03,2.423012e-02,-5.413333e-03
-4.850000e-07,-2.893333e-03,2.424900e-02,2.640000e-03
-4.800000e-07,-2.253333e-03,2.485316e-02,-9.226667e-03
-4.750000e-07,-1.613333e-03,2.467852e-02,-6.373333e-03
-4.700000e-07,-5.026666e-03,2.423012e-02,-8.746667e-03
-4.650000e-07,-2.040000e-03,2.436582e-02,3.120000e-03
-4.600000e-07,-1.613333e-03,2.450270e-02,-6.666667e-04
-4.550000e-07,-3.106667e-03,2.446376e-02,-3.040000e-03
-4.500000e-07,-4.386667e-03,2.481422e-02,-6.666667e-04
-4.450000e-07,-4.813334e-03,2.428794e-02,2.186667e-03
-4.400000e-07,-7.600000e-04,2.382066e-02,-4.480000e-03
-4.350000e-07,-3.106667e-03,2.438588e-02,-1.301333e-02
-4.300000e-07,-2.893333e-03,2.405430e-02,-1.146667e-03
-4.250000e-07,-2.466667e-03,2.452276e-02,5.973333e-03
-4.200000e-07,-1.826667e-03,2.450270e-02,-2.586667e-03
-4.150000e-07,-3.960000e-03,2.456170e-02,2.640000e-03
-4.100000e-07,-5.453333e-03,2.460064e-02,-8.746667e-03
-4.050000e-07,-3.320000e-03,2.413218e-02,-3.520000e-03
-4.000000e-07,-2.253333e-03,2.434694e-02,-2.586667e-03
-3.950000e-07,-1.826667e-03,2.483428e-02,2.640000e-03
-3.900000e-07,-4.386667e-03,2.465846e-02,-6.666667e-04
-3.850000e-07,-2.253333e-03,2.495110e-02,5.493333e-03
-3.800000e-07,-2.040000e-03,2.452276e-02,1.226667e-03
-3.750000e-07,-1.826667e-03,2.460064e-02,-5.893333e-03
-3.700000e-07,-2.466667e-03,2.475640e-02,6.453333e-03
-3.650000e-07,-2.893333e-03,2.491216e-02,3.120000e-03
-3.600000e-07,-2.893333e-03,2.452276e-02,-1.866667e-04
-3.550000e-07,-4.600000e-03,2.454164e-02,-1.146667e-03
-3.500000e-07,-3.320000e-03,2.463958e-02,7.866667e-03
-3.450000e-07,-3.320000e-03,2.483428e-02,-3.520000e-03
-3.400000e-07,-1.613333e-03,2.475640e-02,-4.480000e-03
-3.350000e-07,-5.466667e-04,2.452276e-02,-6.373333e-03
-3.300000e-07,-5.453333e-03,2.403542e-02,3.600000e-03
-3.250000e-07,-2.680000e-03,2.475640e-02,-5.893333e-03
-3.200000e-07,-2.466667e-03,2.430800e-02,-2.106667e-03
-3.150000e-07,-2.040000e-03,2.440476e-02,-2.586667e-03
-3.100000e-07,-4.813334e-03,2.391860e-02,-6.666667e-04
-3.050000e-07,-3.106667e-03,2.419118e-02,2.640000e-03
-3.000000e-07,-2.040000e-03,2.456170e-02,-3.520000e-03
-2.950000e-07,-2.466667e-03,2.436582e-02,-1.146667e-03
-2.900000e-07,-5.666667e-03,2.403542e-02,-3.520000e-03
-2.850000e-07,-2.680000e-03,2.465846e-02,-2.106667e-03
-2.800000e-07,-1.826667e-03,2.461952e-02,-8.266667e-03
-2.750000e-07,-1.826667e-03,2.456170e-02,-6.666667e-04
-2.700000e-07,-3.533333e-03,2.469740e-02,1.226667e-03
-2.650000e-07,-3.960000e-03,2.442482e-02,-2.106667e-03
-2.600000e-07,-2.040000e-03,2.436582e-02,-4.480000e-03
-2.550000e-07,-2.253333e-03,2.405430e-02,-1.866667e-04
-2.500000e-07,-5.666667e-03,2.419118e-02,-4.960000e-03
-2.450000e-07,-3.746667e-03,2.434694e-02,-6.666667e-04
-2.400000e-07,-2.893333e-03,2.440476e-02,-7.333333e-03
-2.350000e-07,-2.680000e-03,2.423012e-02,-4.000000e-03
-2.300000e-07,-3.960000e-03,2.448382e-02,2.666667e-04
-2.250000e-07,-3.746667e-03,2.399648e-02,-1.626667e-03
-2.200000e-07,-1.826667e-03,2.473634e-02,-5.893333e-03
-2.150000e-07,-2.253333e-03,2.479534e-02,-1.112000e-02
-2.100000e-07,-3.106667e-03,2.430800e-02,-6.666667e-04
-2.050000e-07,-2.253333e-03,2.477528e-02,-5.893333e-03
-2.000000e-07,-2.253333e-03,2.448382e-02,-1.018667e-02
-1.950000e-07,-1.613333e-03,2.461952e-02,-6.373333e-03
-1.900000e-07,-4.386667e-03,2.452276e-02,-6.853333e-03
-1.850000e-07,-3.320000e-03,2.458058e-02,1.706667e-03
-1.800000e-07,-3.106667e-03,2.430800e-02,-1.146667e-03
-1.750000e-07,-2.466667e-03,2.475640e-02,2.666667e-04
-1.700000e-07,-4.386667e-03,2.374278e-02,-3.520000e-03
-1.650000e-07,-3.960000e-03,2.421006e-02,3.120000e-03
-1.600000e-07,-2.893333e-03,2.499004e-02,-4.480000e-03
-1.550000e-07,-2.466667e-03,2.461952e-02,1.226667e-03
-1.500000e-07,-4.600000e-03,2.460064e-02,-8.266667e-03
-1.450000e-07,-3.960000e-03,2.463958e-02,-1.146667e-03
