Time(s),CH1V,CH2V,CH3V
-9.600000e-08,-8.800000e-04,2.918267e-02,-1.360000e-03
-9.500000e-08,-1.453333e-03,2.896400e-02,1.466667e-04
-9.400000e-08,-2.366667e-03,2.907333e-02,1.653333e-03
-9.300000e-08,-7.666667e-04,2.981600e-02,1.866667e-03
-9.200000e-08,-6.533333e-04,2.975067e-02,-1.573333e-03
-9.100000e-08,-1.680000e-03,3.010000e-02,-7.066667e-04
-9.000000e-08,-1.226667e-03,2.931333e-02,1.866667e-03
-8.900000e-08,-1.906667e-03,2.951067e-02,2.733333e-03
-8.800000e-08,-1.226667e-03,2.959733e-02,-1.146667e-03
-8.700000e-08,-5.400000e-04,2.986000e-02,1.466667e-04
-8.600000e-08,-1.340000e-03,2.885467e-02,1.653333e-03
-8.500000e-08,-1.340000e-03,2.905200e-02,1.013333e-03
-8.400000e-08,-8.800000e-04,2.874667e-02,-2.426667e-03
-8.300000e-08,-2.026667e-03,2.905200e-02,1.440000e-03
-8.200000e-08,-2.253333e-03,2.937867e-02,5.733334e-04
-8.100000e-08,-1.226667e-03,2.957600e-02,1.866667e-03
-8.000000e-08,-1.793333e-03,2.953200e-02,-2.653333e-03
-7.900000e-08,-1.680000e-03,2.990267e-02,-4.933333e-04
-7.800000e-08,-1.906667e-03,2.933600e-02,7.866666e-04
-7.700000e-08,-1.793333e-03,3.018667e-02,-6.666667e-05
-7.600000e-08,-1.000000e-03,2.918267e-02,-9.333334e-04
-7.500000e-08,-1.680000e-03,2.959733e-02,-2.800000e-04
-7.400000e-08,-2.026667e-03,2.883333e-02,5.733334e-04
-7.300000e-08,-1.680000e-03,2.937867e-02,2.506667e-03
-7.200000e-08,-1.340000e-03,2.942267e-02,-1.786667e-03
-7.100000e-08,-2.140000e-03,2.878933e-02,-1.146667e-03
-7.000000e-08,-1.113333e-03,2.959733e-02,-2.800000e-04
-6.900000e-08,-1.113333e-03,2.994667e-02,3.600000e-04
-6.800000e-08,-4.266667e-04,2.944533e-02,-2.000000e-03
-6.700000e-08,-8.800000e-04,2.979467e-02,1.466667e-04
-6.600000e-08,-1.680000e-03,2.964133e-02,1.226667e-03
-6.500000e-08,2.600000e-04,2.911733e-02,1.653333e-03
-6.400000e-08,1.466667e-04,2.996933e-02,-4.933333e-04
-6.300000e-08,-1.906667e-03,2.924800e-02,-1.360000e-03
-6.200000e-08,-2.366667e-03,2.924800e-02,1.653333e-03
-6.100000e-08,-2.026667e-03,2.972800e-02,2.506667e-03
-6.000000e-08,-2.000000e-04,2.948800e-02,-2.800000e-04
-5.900000e-08,-6.533333e-04,2.929200e-02,1.466667e-04
-5.800000e-08,-1.793333e-03,2.959733e-02,3.600000e-04
-5.700000e-08,-1.226667e-03,2.929200e-02,1.226667e-03
-5.600000e-08,-1.226667e-03,2.935733e-02,-1.786667e-03
-5.500000e-08,-5.400000e-04,2.924800e-02,3.600000e-04
-5.400000e-08,-1.906667e-03,2.931333e-02,1.653333e-03
-5.300000e-08,-1.453333e-03,2.944533e-02,1.226667e-03
-5.200000e-08,-6.533333e-04,2.940133e-02,-2.426667e-03
-5.100000e-08,-8.800000e-04,2.927067e-02,5.733334e-04
-5.000000e-08,-2.026667e-03,2.902933e-02,-4.933333e-04
-4.900000e-08,-1.226667e-03,2.955333e-02,1.013333e-03
-4.800000e-08,-1.566667e-03,2.881200e-02,-1.360000e-03
-4.700000e-08,-1.226667e-03,2.911733e-02,-4.933333e-04
-4.600000e-08,-7.666667e-04,2.918267e-02,5.733334e-04
-4.500000e-08,-1.113333e-03,2.988133e-02,2.293333e-03
-4.400000e-08,-6.533333e-04,2.918267e-02,-1.573333e-03
-4.300000e-08,-6.533333e-04,2.887733e-02,7.866666e-04
-4.200000e-08,-1.793333e-03,2.946667e-02,5.733334e-04
-4.100000e-08,-2.366667e-03,2.955333e-02,1.440000e-03
-4.000000e-08,-1.340000e-03,2.935733e-02,-9.333334e-04
-3.900000e-08,-1.453333e-03,2.940133e-02,-9.333334e-04
-3.800000e-08,-2.593333e-03,2.946667e-02,7.866666e-04
-3.700000e-08,-7.666667e-04,2.946667e-02,7.866666e-04
-3.600000e-08,-8.666667e-05,2.922667e-02,-2.000000e-03
-3.500000e-08,-1.226667e-03,2.996933e-02,-4.933333e-04
-3.400000e-08,-2.593333e-03,2.924800e-02,1.013333e-03
-3.300000e-08,-8.800000e-04,2.990267e-02,7.866666e-04
-3.200000e-08,-6.533333e-04,2.898667e-02,-1.146667e-03
-3.100000e-08,-1.453333e-03,2.931333e-02,5.733334e-04
-3.000000e-08,-2.706667e-03,2.933600e-02,-7.066667e-04
-2.900000e-08,-1.340000e-03,2.994667e-02,1.013333e-03
-2.800000e-08,-1.226667e-03,2.922667e-02,-2.426667e-03
-2.700000e-08,-6.533333e-04,2.931333e-02,1.466667e-04
-2.600000e-08,-2.706667e-03,2.881200e-02,-6.666667e-05
-2.500000e-08,-1.000000e-03,2.983733e-02,1.013333e-03
-2.400000e-08,-4.266667e-04,2.905200e-02,-1.573333e-03
-2.300000e-08,-6.533333e-04,2.944533e-02,-9.333334e-04
-2.200000e-08,-2.253333e-03,2.966267e-02,2.080000e-03
-2.100000e-08,-1.340000e-03,3.012133e-02,1.653333e-03
-2.000000e-08,-1.340000e-03,2.968533e-02,-9.333334e-04
-1.900000e-08,-1.113333e-03,2.972800e-02,3.600000e-04
-1.800000e-08,-2.026667e-03,2.927067e-02,7.866666e-04
-1.700000e-08,-1.453333e-03,2.990267e-02,5.733334e-04
-1.600000e-08,-7.666667e-04,2.942267e-02,-1.360000e-03
-1.500000e-08,-1.226667e-03,2.948800e-02,3.600000e-04
-1.400000e-08,-2.480000e-03,2.857200e-02,1.466667e-04
-1.300000e-08,-7.666667e-04,3.012133e-02,2.080000e-03
-1.200000e-08,-7.666667e-04,2.944533e-02,-1.786667e-03
-1.100000e-08,-1.113333e-03,2.922667e-02,1.466667e-04
-1.000000e-08,-2.253333e-03,2.857200e-02,1.466667e-04
-9.000000e-09,-1.226667e-03,2.937867e-02,2.293333e-03
-8.000000e-09,-1.226667e-03,2.942267e-02,-1.573333e-03
-7.000000e-09,-6.533333e-04,2.962000e-02,5.733334e-04
-6.000000e-09,-1.680000e-03,2.994667e-02,-6.666667e-05
-5.000000e-09,-3.133333e-04,2.918267e-02,1.226667e-03
-4.000000e-09,-1.000000e-03,2.988133e-02,-1.360000e-03
-3.000000e-09,-3.133333e-04,2.883333e-02,1.466667e-04
-2.000000e-09,-1.000000e-03,2.927067e-02,1.226667e-03
-1.000000e-09,-1.000000e-03,2.940133e-02,1.653333e-03
-1.071199e-22,2.993333e-03,2.916133e-02,-1.360000e-03
1.000000e-09,3.265333e-02,2.913867e-02,-9.333334e-04
2.000000e-09,1.303333e-02,2.966267e-02,3.600000e-04
