Time(s),CH1V,CH2V,CH3V
-2.970000e-06,2.173333e-03,2.830207e-02,1.069333e-03
-2.959000e-06,2.893333e-03,2.811067e-02,-1.600000e-04
-2.948000e-06,2.373333e-03,2.830400e-02,1.021333e-03
-2.937000e-06,2.633333e-03,2.827403e-02,1.184000e-03
-2.926000e-06,1.913333e-03,2.821120e-02,2.586667e-04
-2.915000e-06,2.893333e-03,2.818607e-02,5.493333e-04
-2.904000e-06,2.400000e-03,2.855243e-02,9.493333e-04
-2.893000e-06,2.280000e-03,2.850893e-02,7.226667e-04
-2.882000e-06,2.920000e-03,2.824793e-02,1.256000e-03
-2.871000e-06,2.306667e-03,2.838520e-02,3.626667e-04
-2.860000e-06,2.186667e-03,2.840453e-02,1.184000e-03
-2.849000e-06,2.540000e-03,2.833590e-02,6.960000e-04
-2.838000e-06,2.186667e-03,2.845770e-02,9.120000e-04
-2.827000e-06,3.013333e-03,2.836780e-02,6.346666e-04
-2.816000e-06,2.400000e-03,2.826920e-02,7.866666e-04
-2.805000e-06,2.186667e-03,2.850893e-02,1.178667e-03
-2.794000e-06,1.966667e-03,2.841710e-02,6.293333e-04
-2.783000e-06,2.866667e-03,2.841517e-02,1.104000e-03
-2.772000e-06,2.426667e-03,2.859110e-02,1.053333e-03
-2.761000e-06,2.713333e-03,2.865877e-02,1.733333e-04
-2.750000e-06,2.086667e-03,2.856887e-02,1.336000e-03
-2.739000e-06,2.213333e-03,2.801690e-02,8.640000e-04
-2.728000e-06,2.386667e-03,2.839970e-02,5.706667e-04
-2.717000e-06,2.266667e-03,2.864813e-02,9.173334e-04
-2.706000e-06,2.813333e-03,2.827597e-02,4.346667e-04
-2.695000e-06,2.593333e-03,2.838037e-02,1.210667e-03
-2.684000e-06,2.740000e-03,2.843450e-02,9.946667e-04
-2.673000e-06,2.780000e-03,2.838520e-02,6.960000e-04
-2.662000e-06,2.526667e-03,2.840840e-02,1.325333e-03
-2.651000e-06,2.700000e-03,2.810003e-02,7.813333e-04
-2.640000e-06,2.646667e-03,2.829530e-02,6.186666e-04
-2.629000e-06,2.713333e-03,2.854760e-02,5.760000e-04
-2.618000e-06,1.886667e-03,2.862880e-02,1.272000e-03
-2.607000e-06,2.373333e-03,2.828853e-02,9.733333e-04
-2.596000e-06,2.853333e-03,2.839583e-02,7.120000e-04
-2.585000e-06,2.580000e-03,2.839390e-02,1.413333e-04
-2.574000e-06,1.680000e-03,2.835717e-02,1.560000e-03
-2.563000e-06,2.100000e-03,2.817737e-02,5.200000e-04
-2.552000e-06,2.513333e-03,2.834267e-02,5.973333e-04
-2.541000e-06,1.940000e-03,2.857757e-02,8.266667e-04
-2.530000e-06,2.320000e-03,2.843257e-02,1.424000e-03
-2.519000e-06,3.026667e-03,2.812807e-02,7.920000e-04
-2.508000e-06,3.040000e-03,2.862493e-02,1.074667e-03
-2.497000e-06,2.780000e-03,2.851763e-02,7.546667e-04
-2.486000e-06,2.513333e-03,2.836587e-02,1.266667e-03
