Time(s),CH1V,CH2V,CH3V
-2.040000e-07,-5.400000e-04,2.132267e-02,9.022667e-02
-2.020000e-07,-2.593333e-03,2.119200e-02,9.453333e-02
-2.000000e-07,-1.566667e-03,2.132267e-02,9.022667e-02
-1.980000e-07,-2.706667e-03,2.119200e-02,9.453333e-02
-1.960000e-07,-7.666667e-04,2.451067e-02,9.173334e-02
-1.940000e-07,-2.366667e-03,2.068933e-02,9.366667e-02
-1.920000e-07,-1.453333e-03,2.226133e-02,9.001333e-02
-1.900000e-07,-2.253333e-03,2.138800e-02,9.345333e-02
-1.880000e-07,-8.800000e-04,2.184667e-02,9.022667e-02
-1.860000e-07,-2.366667e-03,2.245867e-02,9.238666e-02
-1.840000e-07,-1.226667e-03,2.123600e-02,8.916000e-02
-1.820000e-07,-2.253333e-03,2.182533e-02,9.453333e-02
-1.800000e-07,-5.400000e-04,2.195600e-02,9.045333e-02
-1.780000e-07,-1.680000e-03,2.127867e-02,9.217333e-02
-1.760000e-07,-1.340000e-03,2.165067e-02,8.894666e-02
-1.740000e-07,-1.793333e-03,2.267600e-02,9.366667e-02
-1.720000e-07,-1.566667e-03,2.151867e-02,9.022667e-02
-1.700000e-07,-1.793333e-03,2.359333e-02,9.302667e-02
-1.680000e-07,-1.340000e-03,2.145333e-02,9.022667e-02
-1.660000e-07,-1.793333e-03,2.132267e-02,9.538667e-02
-1.640000e-07,-4.266667e-04,2.134400e-02,8.829334e-02
-1.620000e-07,-2.140000e-03,2.141067e-02,9.194667e-02
-1.600000e-07,-1.226667e-03,2.114800e-02,9.066667e-02
-1.580000e-07,-2.480000e-03,2.228400e-02,9.389333e-02
-1.560000e-07,-4.266667e-04,2.049333e-02,8.980000e-02
-1.540000e-07,-2.026667e-03,2.176000e-02,9.066667e-02
-1.520000e-07,-4.266667e-04,2.136667e-02,8.958667e-02
-1.500000e-07,-2.593333e-03,2.178133e-02,9.130666e-02
-1.480000e-07,-3.133333e-04,2.132267e-02,8.916000e-02
-1.460000e-07,-2.026667e-03,2.213067e-02,9.389333e-02
-1.440000e-07,-1.566667e-03,2.147600e-02,8.937334e-02
-1.420000e-07,-1.453333e-03,2.090800e-02,9.001333e-02
-1.400000e-07,-1.566667e-03,2.086400e-02,8.593334e-02
-1.380000e-07,-3.053333e-03,2.079867e-02,9.109333e-02
-1.360000e-07,-6.533333e-04,2.151867e-02,8.744000e-02
-1.340000e-07,-1.680000e-03,2.106133e-02,9.217333e-02
-1.320000e-07,-3.133333e-04,2.090800e-02,8.808000e-02
-1.300000e-07,-1.566667e-03,2.106133e-02,8.550666e-02
-1.280000e-07,-8.800000e-04,2.097333e-02,8.249334e-02
-1.260000e-07,-1.793333e-03,2.062400e-02,8.786666e-02
-1.240000e-07,-1.000000e-03,2.141067e-02,8.765333e-02
-1.220000e-07,-2.480000e-03,2.088667e-02,9.389333e-02
-1.200000e-07,-1.226667e-03,2.147600e-02,8.850667e-02
-1.180000e-07,-2.026667e-03,2.165067e-02,9.022667e-02
-1.160000e-07,-1.566667e-03,2.171600e-02,8.829334e-02
-1.140000e-07,-2.026667e-03,2.084267e-02,9.045333e-02
-1.120000e-07,-1.340000e-03,2.121333e-02,8.829334e-02
-1.100000e-07,-2.140000e-03,2.180267e-02,9.173334e-02
-1.080000e-07,-1.000000e-03,2.136667e-02,8.808000e-02
-1.060000e-07,-2.026667e-03,2.176000e-02,9.173334e-02
-1.040000e-07,-6.533333e-04,2.123600e-02,8.636000e-02
-1.020000e-07,-1.906667e-03,2.125733e-02,9.130666e-02
-1.000000e-07,-4.266667e-04,2.138800e-02,8.850667e-02
-9.800000e-08,-2.480000e-03,2.016533e-02,9.001333e-02
-9.600000e-08,1.466667e-04,2.092933e-02,9.045333e-02
-9.400000e-08,-1.226667e-03,2.202133e-02,9.173334e-02
-9.200000e-08,-1.340000e-03,2.156267e-02,8.916000e-02
-9.000000e-08,-2.026667e-03,2.099467e-02,9.302667e-02
-8.800000e-08,-1.566667e-03,2.125733e-02,9.045333e-02
-8.600000e-08,-1.793333e-03,2.154133e-02,9.173334e-02
-8.400000e-08,3.733333e-04,2.252400e-02,9.194667e-02
-8.200000e-08,-2.026667e-03,2.156267e-02,9.217333e-02
-8.000000e-08,-1.226667e-03,2.130133e-02,9.152000e-02
-7.800000e-08,-2.026667e-03,2.180267e-02,9.324000e-02
-7.600000e-08,-1.226667e-03,2.145333e-02,8.765333e-02
-7.400000e-08,-2.933333e-03,2.116933e-02,9.194667e-02
-7.200000e-08,-7.666667e-04,2.241467e-02,9.217333e-02
-7.000000e-08,-1.793333e-03,2.217467e-02,9.453333e-02
-6.800000e-08,-8.666667e-05,2.197733e-02,9.194667e-02
-6.600000e-08,-1.680000e-03,2.191200e-02,9.281334e-02
-6.400000e-08,-6.533333e-04,2.145333e-02,8.744000e-02
-6.200000e-08,-1.000000e-03,2.173733e-02,9.410667e-02
-6.000000e-08,2.600000e-04,2.285067e-02,9.001333e-02
-5.800000e-08,-2.593333e-03,2.261067e-02,9.453333e-02
-5.600000e-08,-4.266667e-04,2.224000e-02,9.130666e-02
-5.400000e-08,-1.793333e-03,2.158533e-02,9.366667e-02
-5.200000e-08,-4.266667e-04,2.154133e-02,8.850667e-02
-5.000000e-08,-2.026667e-03,2.125733e-02,9.173334e-02
-4.800000e-08,-1.000000e-03,2.208667e-02,8.937334e-02
-4.600000e-08,-2.253333e-03,2.232667e-02,9.366667e-02
-4.400000e-08,-6.533333e-04,2.191200e-02,9.088000e-02
-4.200000e-08,-2.026667e-03,2.180267e-02,9.324000e-02
-4.000000e-08,-1.113333e-03,2.200000e-02,8.958667e-02
-3.800000e-08,-1.453333e-03,2.256667e-02,9.345333e-02
-3.600000e-08,-1.000000e-03,2.204267e-02,9.152000e-02
-3.400000e-08,-1.680000e-03,2.215200e-02,9.345333e-02
-3.200000e-08,-2.000000e-04,2.193467e-02,8.958667e-02
-3.000000e-08,-2.366667e-03,2.206533e-02,9.302667e-02
-2.800000e-08,-6.533333e-04,2.248000e-02,9.022667e-02
-2.600000e-08,-1.226667e-03,2.130133e-02,9.238666e-02
-2.400000e-08,-1.000000e-03,2.176000e-02,8.829334e-02
-2.200000e-08,-2.706667e-03,2.154133e-02,9.324000e-02
-2.000000e-08,-4.266667e-04,2.119200e-02,9.001333e-02
-1.800000e-08,-1.226667e-03,2.191200e-02,9.217333e-02
-1.600000e-08,-6.533333e-04,2.116933e-02,8.786666e-02
-1.400000e-08,-2.820000e-03,2.156267e-02,9.324000e-02
-1.200000e-08,-6.533333e-04,2.110400e-02,9.152000e-02
-1.000000e-08,-1.226667e-03,2.101733e-02,9.345333e-02
-8.000000e-09,-1.340000e-03,2.156267e-02,9.022667e-02
-6.000000e-09,-1.226667e-03,2.224000e-02,9.474666e-02
-4.000000e-09,-7.666667e-04,2.149733e-02,9.022667e-02
-2.000000e-09,-1.906667e-03,2.062400e-02,9.281334e-02
-2.407096e-22,2.666667e-05,2.114800e-02,8.744000e-02
2.000000e-09,1.782667e-02,2.116933e-02,9.066667e-02
4.000000e-09,9.400000e-04,2.101733e-02,9.022667e-02
6.000000e-09,-1.793333e-03,2.143200e-02,9.389333e-02
8.000000e-09,1.466667e-04,2.112667e-02,8.958667e-02
1.000000e-08,-2.026667e-03,2.176000e-02,9.238666e-02
1.200000e-08,-1.226667e-03,2.125733e-02,8.958667e-02
1.400000e-08,-2.026667e-03,2.090800e-02,9.281334e-02
1.600000e-08,-8.800000e-04,2.130133e-02,9.109333e-02
1.800000e-08,-1.566667e-03,2.145333e-02,1.203333e-01
2.000000e-08,2.666667e-05,2.197733e-02,8.722667e-02
2.200000e-08,-2.366667e-03,2.151867e-02,7.733333e-02
2.400000e-08,2.666667e-05,2.130133e-02,8.980000e-02
2.600000e-08,-1.226667e-03,2.116933e-02,9.453333e-02
2.800000e-08,-3.133333e-04,2.200000e-02,8.657333e-02
3.000000e-08,-1.566667e-03,2.141067e-02,9.281334e-02
3.200000e-08,-8.800000e-04,2.130133e-02,8.744000e-02
3.400000e-08,-1.793333e-03,2.053733e-02,9.045333e-02
3.600000e-08,-4.266667e-04,2.103867e-02,8.937334e-02
3.800000e-08,-2.593333e-03,2.123600e-02,8.958667e-02
4.000000e-08,-1.000000e-03,2.121333e-02,8.636000e-02
4.200000e-08,-2.480000e-03,2.167200e-02,9.022667e-02
4.400000e-08,-3.133333e-04,2.116933e-02,8.678667e-02
4.600000e-08,-2.026667e-03,2.197733e-02,9.022667e-02
4.800000e-08,3.733333e-04,2.171600e-02,8.894666e-02
5.000000e-08,-1.226667e-03,2.084267e-02,8.958667e-02
5.200000e-08,-1.113333e-03,2.119200e-02,8.657333e-02
5.400000e-08,-1.793333e-03,2.252400e-02,9.001333e-02
5.600000e-08,-4.266667e-04,2.119200e-02,8.744000e-02
5.800000e-08,-2.140000e-03,2.116933e-02,9.173334e-02
6.000000e-08,-4.266667e-04,2.108267e-02,8.786666e-02
6.200000e-08,-2.366667e-03,2.145333e-02,8.980000e-02
6.400000e-08,-4.266667e-04,2.125733e-02,8.572000e-02
6.600000e-08,-2.140000e-03,2.134400e-02,8.808000e-02
6.800000e-08,-1.340000e-03,2.127867e-02,8.334666e-02
7.000000e-08,-2.026667e-03,2.127867e-02,8.808000e-02
7.200000e-08,-7.666667e-04,2.215200e-02,8.614667e-02
7.400000e-08,-2.366667e-03,2.138800e-02,8.744000e-02
7.600000e-08,-1.226667e-03,2.149733e-02,8.614667e-02
7.800000e-08,-1.680000e-03,2.149733e-02,8.722667e-02
8.000000e-08,1.466667e-04,2.149733e-02,8.529333e-02
8.200000e-08,-1.340000e-03,2.132267e-02,8.873333e-02
8.400000e-08,-5.400000e-04,2.119200e-02,8.744000e-02
8.600000e-08,-2.253333e-03,2.066800e-02,9.001333e-02
8.800000e-08,-1.113333e-03,2.123600e-02,8.808000e-02
9.000000e-08,-2.366667e-03,2.086400e-02,9.088000e-02
9.200000e-08,-8.666667e-05,2.116933e-02,8.657333e-02
