Time(s),CH1V,CH2V,CH3V
-3.232000e-06,-2.253333e-03,2.419118e-02,-2.586667e-03
-3.200000e-06,-2.226667e-03,2.407908e-02,-6.560000e-03
-3.168000e-06,-1.960000e-03,2.418410e-02,-8.506667e-03
-3.136000e-06,-1.960000e-03,2.389618e-02,-7.146667e-03
-3.104000e-06,-1.453333e-03,2.437880e-02,-1.464000e-02
-3.072000e-06,-2.360000e-03,2.435166e-02,-3.280000e-03
-3.040000e-06,-1.026667e-03,2.445668e-02,-4.586667e-03
-3.008000e-06,-2.866667e-03,2.392568e-02,-7.626667e-03
-2.976000e-06,-2.733333e-03,2.437644e-02,-6.186666e-03
-2.944000e-06,-2.386667e-03,2.470212e-02,-5.733334e-03
-2.912000e-06,-3.026667e-03,2.472690e-02,-5.733334e-03
-2.880000e-06,-2.440000e-03,2.413690e-02,-5.066667e-03
-2.848000e-06,-2.333333e-03,2.390798e-02,-5.493333e-03
-2.816000e-06,-2.066667e-03,2.420770e-02,-6.560000e-03
-2.784000e-06,-3.320000e-03,2.420534e-02,-8.560000e-03
-2.752000e-06,-1.880000e-03,2.444724e-02,-3.360000e-03
-2.720000e-06,-2.493333e-03,2.398822e-02,-4.880000e-03
-2.688000e-06,-1.586667e-03,2.461952e-02,-5.120000e-03
-2.656000e-06,-2.680000e-03,2.432216e-02,-9.466667e-03
-2.624000e-06,-2.013333e-03,2.419826e-02,-1.010667e-02
-2.592000e-06,-3.066667e-04,2.448028e-02,-8.346667e-03
-2.560000e-06,-2.626667e-03,2.432688e-02,-2.693333e-03
-2.528000e-06,-2.680000e-03,2.473398e-02,-7.200000e-03
-2.496000e-06,-2.066667e-03,2.421478e-02,-3.893333e-03
-2.464000e-06,-3.746667e-03,2.451922e-02,-5.840000e-03
-2.432000e-06,-3.400000e-03,2.430092e-02,-6.320000e-03
-2.400000e-06,-2.360000e-03,2.440240e-02,-8.533333e-04
-2.368000e-06,-2.173333e-03,2.444724e-02,-6.133333e-03
-2.336000e-06,-2.200000e-03,2.446612e-02,-7.386667e-03
-2.304000e-06,-2.893333e-03,2.404014e-02,-4.186667e-03
-2.272000e-06,-1.853333e-03,2.460300e-02,-7.920000e-03
-2.240000e-06,-1.933333e-03,2.448028e-02,-5.893333e-03
-2.208000e-06,-1.826667e-03,2.418882e-02,-1.194667e-02
-2.176000e-06,-2.733333e-03,2.451450e-02,-1.093333e-03
-2.144000e-06,-2.493333e-03,2.412274e-02,-4.640000e-03
-2.112000e-06,-2.520000e-03,2.420770e-02,-4.640000e-03
-2.080000e-06,-2.093333e-03,2.425136e-02,-6.186666e-03
-2.048000e-06,-1.506667e-03,2.469032e-02,-5.200000e-03
-2.016000e-06,-1.586667e-03,2.404958e-02,-5.600000e-04
-1.984000e-06,-2.146667e-03,2.406374e-02,-6.080000e-03
-1.952000e-06,-1.800000e-03,2.426198e-02,-4.773333e-03
-1.920000e-06,-2.973333e-03,2.430564e-02,-6.026667e-03
-1.888000e-06,-2.440000e-03,2.411330e-02,-3.893333e-03
-1.856000e-06,-3.026667e-03,2.439768e-02,-6.613333e-03
-1.824000e-06,-1.613333e-03,2.441302e-02,-4.720000e-03
-1.792000e-06,-2.440000e-03,2.418882e-02,-4.240000e-03
-1.760000e-06,-2.120000e-03,2.465846e-02,-1.680000e-03
-1.728000e-06,-2.440000e-03,2.417584e-02,-3.893333e-03
-1.696000e-06,-1.346667e-03,2.471746e-02,-2.880000e-03
-1.664000e-06,-3.400000e-03,2.437644e-02,-6.266667e-03
-1.632000e-06,-2.200000e-03,2.423956e-02,-6.426667e-03
-1.600000e-06,-1.880000e-03,2.448382e-02,-2.880000e-03
-1.568000e-06,-2.973333e-03,2.422540e-02,-6.613333e-03
-1.536000e-06,-1.960000e-03,2.383246e-02,-1.680000e-03
-1.504000e-06,-1.853333e-03,2.442246e-02,-4.106666e-03
-1.472000e-06,-2.200000e-03,2.447320e-02,-2.213333e-03
-1.440000e-06,-2.733333e-03,2.413926e-02,-6.960000e-03
-1.408000e-06,-3.026667e-03,2.495582e-02,-1.680000e-03
-1.376000e-06,-2.440000e-03,2.397878e-02,-2.106667e-03
-1.344000e-06,-2.306667e-03,2.385960e-02,-9.226667e-03
-1.312000e-06,-2.333333e-03,2.457586e-02,-8.266667e-03
-1.280000e-06,-2.093333e-03,2.448028e-02,-4.480000e-03
-1.248000e-06,-2.040000e-03,2.434222e-02,3.066667e-03
-1.216000e-06,-2.653333e-03,2.418174e-02,-5.013333e-03
-1.184000e-06,-1.960000e-03,2.443898e-02,-4.266667e-04
