Time(s),CH1V,CH2V,CH3V
-2.040000e-07,-8.800000e-04,2.935733e-02,-4.480000e-03
-2.020000e-07,-2.480000e-03,2.933600e-02,3.120000e-03
-2.000000e-07,-1.793333e-03,2.865867e-02,-4.960000e-03
-1.980000e-07,-6.533333e-04,2.859333e-02,-2.106667e-03
-1.960000e-07,-8.800000e-04,2.924800e-02,-7.333333e-03
-1.940000e-07,-1.906667e-03,2.900800e-02,7.466667e-04
-1.920000e-07,-1.226667e-03,2.905200e-02,-6.853333e-03
-1.900000e-07,-1.000000e-03,2.957600e-02,1.226667e-03
-1.880000e-07,-1.566667e-03,2.948800e-02,-7.333333e-03
-1.860000e-07,-1.340000e-03,2.955333e-02,3.600000e-03
-1.840000e-07,-1.453333e-03,2.927067e-02,-1.538667e-02
-1.820000e-07,-1.340000e-03,2.896400e-02,-1.866667e-04
-1.800000e-07,-3.133333e-04,2.902933e-02,7.866667e-03
-1.780000e-07,-1.906667e-03,2.933600e-02,2.186667e-03
-1.760000e-07,-1.566667e-03,2.920400e-02,-6.666667e-04
-1.740000e-07,-1.340000e-03,2.935733e-02,-3.040000e-03
-1.720000e-07,-1.566667e-03,2.935733e-02,-5.893333e-03
-1.700000e-07,-1.000000e-03,2.883333e-02,5.973333e-03
-1.680000e-07,-3.133333e-04,2.927067e-02,1.706667e-03
-1.660000e-07,-1.566667e-03,2.889867e-02,-1.146667e-03
-1.640000e-07,-1.113333e-03,2.937867e-02,-3.520000e-03
-1.620000e-07,-7.666667e-04,2.909600e-02,2.666667e-04
-1.600000e-07,-6.533333e-04,2.922667e-02,-4.480000e-03
-1.580000e-07,-1.566667e-03,2.968533e-02,-2.106667e-03
-1.560000e-07,-1.226667e-03,2.966267e-02,-9.226667e-03
-1.540000e-07,-2.140000e-03,2.957600e-02,5.973333e-03
-1.520000e-07,-1.226667e-03,2.953200e-02,-6.373333e-03
-1.500000e-07,-1.000000e-03,2.900800e-02,7.866667e-03
-1.480000e-07,-3.133333e-04,2.924800e-02,-3.520000e-03
-1.460000e-07,-3.133333e-04,2.951067e-02,3.600000e-03
-1.440000e-07,-1.906667e-03,2.929200e-02,3.120000e-03
-1.420000e-07,-1.340000e-03,2.933600e-02,2.186667e-03
-1.400000e-07,2.666667e-05,2.953200e-02,-1.064000e-02
-1.380000e-07,-1.566667e-03,2.933600e-02,5.973333e-03
-1.360000e-07,-1.113333e-03,2.959733e-02,-4.000000e-03
-1.340000e-07,-1.226667e-03,2.937867e-02,-1.626667e-03
-1.320000e-07,-1.000000e-03,2.942267e-02,-2.586667e-03
-1.300000e-07,-1.906667e-03,2.933600e-02,-4.000000e-03
-1.280000e-07,-4.266667e-04,2.913867e-02,-2.586667e-03
-1.260000e-07,-2.026667e-03,2.885467e-02,4.560000e-03
-1.240000e-07,-1.226667e-03,2.988133e-02,1.226667e-03
-1.220000e-07,-1.000000e-03,2.907333e-02,2.186667e-03
-1.200000e-07,-1.793333e-03,2.920400e-02,-1.208000e-02
-1.180000e-07,-1.793333e-03,2.913867e-02,4.560000e-03
