Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,80000,,Record Length,80000
Zero Index,10399.49609375,,Zero Index,10399.49609375
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-4.15979844e-07,1.84375000e-04,1.51974688e-02
-4.15939844e-07,3.28125000e-04,1.51602813e-02
-4.15899844e-07,4.23437500e-04,1.51167188e-02
-4.15859844e-07,4.17187500e-04,1.51193750e-02
-4.15819844e-07,3.46875000e-04,1.51980000e-02
-4.15779844e-07,3.12500000e-04,1.53244375e-02
-4.15739844e-07,4.04687500e-04,1.54243125e-02
-4.15699844e-07,6.15625000e-04,1.54237813e-02
-4.15659844e-07,8.42187500e-04,1.53063750e-02
-4.15619844e-07,9.48437500e-04,1.51273438e-02
-4.15579844e-07,8.75000000e-04,1.49849688e-02
-4.15539844e-07,6.82812500e-04,1.49568125e-02
-4.15499844e-07,5.14062500e-04,1.50513750e-02
-4.15459844e-07,4.81250000e-04,1.52038438e-02
-4.15419844e-07,5.82812500e-04,1.53207188e-02
-4.15379844e-07,7.06250000e-04,1.53334688e-02
-4.15339844e-07,7.25000000e-04,1.52415625e-02
-4.15299844e-07,5.98437500e-04,1.51060938e-02
-4.15259844e-07,4.00000000e-04,1.50099375e-02
-4.15219844e-07,2.59375000e-04,1.50051563e-02
-4.15179844e-07,2.53125000e-04,1.50837813e-02
-4.15139844e-07,3.56250000e-04,1.51847188e-02
-4.15099844e-07,4.73437500e-04,1.52394375e-02
-4.15059844e-07,5.29687500e-04,1.52139375e-02
-4.15019844e-07,5.32812500e-04,1.51315938e-02
-4.14979844e-07,5.43750000e-04,1.50545625e-02
-4.14939844e-07,6.07812500e-04,1.50391563e-02
-4.14899844e-07,6.90625000e-04,1.50981250e-02
-4.14859844e-07,7.07812500e-04,1.51980000e-02
-4.14819844e-07,6.12500000e-04,1.52867188e-02
