Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,80000,,Record Length,80000
Zero Index,10399.35546875,,Zero Index,10399.35546875
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-4.15974219e-07,4.43750000e-04,1.52500625e-02
-4.15934219e-07,2.89062500e-04,1.52893750e-02
-4.15894219e-07,3.67187500e-04,1.53037188e-02
-4.15854219e-07,6.29687500e-04,1.53047813e-02
-4.15814219e-07,9.06250000e-04,1.53026563e-02
-4.15774219e-07,1.03281250e-03,1.52984063e-02
-4.15734219e-07,9.59375000e-04,1.52909688e-02
-4.15694219e-07,7.62500000e-04,1.52915000e-02
-4.15654219e-07,5.87500000e-04,1.53191250e-02
-4.15614219e-07,5.34375000e-04,1.53844688e-02
-4.15574219e-07,6.12500000e-04,1.54705313e-02
-4.15534219e-07,7.45312500e-04,1.55390625e-02
-4.15494219e-07,8.42187500e-04,1.55544688e-02
-4.15454219e-07,8.45312500e-04,1.55146250e-02
-4.15414219e-07,7.50000000e-04,1.54545938e-02
-4.15374219e-07,6.04687500e-04,1.54190000e-02
-4.15334219e-07,4.76562500e-04,1.54227188e-02
-4.15294219e-07,4.39062500e-04,1.54338750e-02
-4.15254219e-07,5.23437500e-04,1.53993438e-02
-4.15214219e-07,7.04687500e-04,1.52941563e-02
-4.15174219e-07,8.84375000e-04,1.51528438e-02
-4.15134219e-07,9.42187500e-04,1.50556250e-02
-4.15094219e-07,8.14062500e-04,1.50731563e-02
-4.15054219e-07,5.51562500e-04,1.52086250e-02
-4.15014219e-07,3.09375000e-04,1.53897813e-02
-4.14974219e-07,2.48437500e-04,1.55119688e-02
-4.14934219e-07,4.17187500e-04,1.55109063e-02
-4.14894219e-07,7.10937500e-04,1.54025313e-02
-4.14854219e-07,9.40625000e-04,1.52644063e-02
-4.14814219e-07,9.64062500e-04,1.51767500e-02
-4.14774219e-07,7.98437500e-04,1.51655938e-02
-4.14734219e-07,5.84375000e-04,1.51964063e-02
-4.14694219e-07,4.82812500e-04,1.52171250e-02
-4.14654219e-07,5.35937500e-04,1.52086250e-02
-4.14614219e-07,6.56250000e-04,1.51985313e-02
-4.14574219e-07,6.98437500e-04,1.52277500e-02
-4.14534219e-07,6.01562500e-04,1.53000000e-02
-4.14494219e-07,4.37500000e-04,1.53674688e-02
-4.14454219e-07,3.53125000e-04,1.53685313e-02
-4.14414219e-07,4.39062500e-04,1.52851250e-02
-4.14374219e-07,6.53125000e-04,1.51671875e-02
-4.14334219e-07,8.43750000e-04,1.51018438e-02
-4.14294219e-07,8.60937500e-04,1.51406250e-02
-4.14254219e-07,6.76562500e-04,1.52548438e-02
-4.14214219e-07,3.96875000e-04,1.53515313e-02
-4.14174219e-07,1.89062500e-04,1.53494063e-02
-4.14134219e-07,1.57812500e-04,1.52426250e-02
-4.14094219e-07,2.89062500e-04,1.51103438e-02
-4.14054219e-07,4.76562500e-04,1.50524375e-02
-4.14014219e-07,6.09375000e-04,1.51119375e-02
-4.13974219e-07,6.45312500e-04,1.52410313e-02
-4.13934219e-07,6.15625000e-04,1.53451563e-02
-4.13894219e-07,5.81250000e-04,1.53610938e-02
-4.13854219e-07,5.78125000e-04,1.53090313e-02
-4.13814219e-07,5.98437500e-04,1.52707813e-02
-4.13774219e-07,6.15625000e-04,1.53148750e-02
-4.13734219e-07,6.17187500e-04,1.54317500e-02
-4.13694219e-07,6.09375000e-04,1.55321562e-02
-4.13654219e-07,6.07812500e-04,1.55194063e-02
-4.13614219e-07,6.10937500e-04,1.53690625e-02
-4.13574219e-07,6.00000000e-04,1.51586875e-02
-4.13534219e-07,5.57812500e-04,1.50168438e-02
-4.13494219e-07,4.81250000e-04,1.50354375e-02
-4.13454219e-07,3.95312500e-04,1.52011875e-02
-4.13414219e-07,3.35937500e-04,1.54105000e-02
-4.13374219e-07,3.29687500e-04,1.55443750e-02
-4.13334219e-07,3.84375000e-04,1.55470313e-02
-4.13294219e-07,4.82812500e-04,1.54519375e-02
-4.13254219e-07,5.95312500e-04,1.53398438e-02
-4.13214219e-07,6.87500000e-04,1.52739688e-02
-4.13174219e-07,7.32812500e-04,1.52596250e-02
-4.13134219e-07,7.21875000e-04,1.52585625e-02
-4.13094219e-07,6.67187500e-04,1.52351875e-02
-4.13054219e-07,6.03125000e-04,1.51910938e-02
-4.13014219e-07,5.65625000e-04,1.51560313e-02
-4.12974219e-07,5.75000000e-04,1.51560313e-02
-4.12934219e-07,6.15625000e-04,1.51900313e-02
-4.12894219e-07,6.42187500e-04,1.52325313e-02
