Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,50000,,Record Length,50000
Zero Index,2999.51562500,,Zero Index,2999.51562500
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-1.19980625e-07,9.60937500e-05,1.51993750e-02
-1.19940625e-07,-2.01562500e-04,1.51375000e-02
-1.19900625e-07,-2.20312500e-04,1.50918750e-02
-1.19860625e-07,7.03125000e-05,1.50843750e-02
-1.19820625e-07,4.78125000e-04,1.51000000e-02
-1.19780625e-07,7.54687500e-04,1.51112500e-02
-1.19740625e-07,7.78125000e-04,1.51062500e-02
-1.19700625e-07,6.39843750e-04,1.50981250e-02
-1.19660625e-07,5.60156250e-04,1.51050000e-02
-1.19620625e-07,6.72656250e-04,1.51287500e-02
-1.19580625e-07,9.14062500e-04,1.51500000e-02
-1.19540625e-07,1.06406250e-03,1.51487500e-02
-1.19500625e-07,9.35156250e-04,1.51243750e-02
-1.19460625e-07,5.46093750e-04,1.50987500e-02
-1.19420625e-07,1.14843750e-04,1.50937500e-02
-1.19380625e-07,-9.60937500e-05,1.51093750e-02
-1.19340625e-07,9.37500000e-06,1.51218750e-02
-1.19300625e-07,2.92968750e-04,1.51100000e-02
-1.19260625e-07,5.03906250e-04,1.50806250e-02
-1.19220625e-07,4.75781250e-04,1.50731250e-02
-1.19180625e-07,2.64843750e-04,1.51275000e-02
-1.19140625e-07,7.96875000e-05,1.52450000e-02
-1.19100625e-07,1.10156250e-04,1.53768750e-02
-1.19060625e-07,3.65625000e-04,1.54493750e-02
-1.19020625e-07,6.70312500e-04,1.54143750e-02
-1.18980625e-07,8.13281250e-04,1.52862500e-02
-1.18940625e-07,7.03125000e-04,1.51312500e-02
-1.18900625e-07,4.26562500e-04,1.50281250e-02
-1.18860625e-07,1.68750000e-04,1.50200000e-02
-1.18820625e-07,5.62500000e-05,1.50956250e-02
-1.18780625e-07,9.14062500e-05,1.52043750e-02
-1.18740625e-07,1.85156250e-04,1.52943750e-02
-1.18700625e-07,2.67187500e-04,1.53375000e-02
-1.18660625e-07,3.53906250e-04,1.53356250e-02
-1.18620625e-07,5.08593750e-04,1.53081250e-02
-1.18580625e-07,7.40625000e-04,1.52787500e-02
-1.18540625e-07,9.51562500e-04,1.52675000e-02
