Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,80000,,Record Length,80000
Zero Index,10399.29687500,,Zero Index,10399.29687500
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-4.15971875e-07,4.10937500e-04,1.54944375e-02
-4.15931875e-07,6.17187500e-04,1.54779688e-02
-4.15891875e-07,7.48437500e-04,1.54243125e-02
-4.15851875e-07,7.14062500e-04,1.53541875e-02
-4.15811875e-07,5.01562500e-04,1.53116875e-02
-4.15771875e-07,1.79687500e-04,1.53350625e-02
-4.15731875e-07,-1.23437500e-04,1.54259063e-02
-4.15691875e-07,-2.85937500e-04,1.55369375e-02
-4.15651875e-07,-2.39062500e-04,1.55990938e-02
-4.15611875e-07,1.56250000e-06,1.55682813e-02
-4.15571875e-07,3.32812500e-04,1.54593750e-02
-4.15531875e-07,6.10937500e-04,1.53430312e-02
-4.15491875e-07,7.18750000e-04,1.53010625e-02
-4.15451875e-07,6.29687500e-04,1.53717188e-02
-4.15411875e-07,4.26562500e-04,1.55225938e-02
-4.15371875e-07,2.51562500e-04,1.56724062e-02
-4.15331875e-07,2.15625000e-04,1.57398750e-02
-4.15291875e-07,3.32812500e-04,1.56952500e-02
-4.15251875e-07,5.07812500e-04,1.55720000e-02
-4.15211875e-07,6.07812500e-04,1.54434375e-02
-4.15171875e-07,5.53125000e-04,1.53770313e-02
-4.15131875e-07,3.71875000e-04,1.53972188e-02
-4.15091875e-07,1.81250000e-04,1.54790313e-02
-4.15051875e-07,8.90625000e-05,1.55650937e-02
-4.15011875e-07,1.25000000e-04,1.55996250e-02
-4.14971875e-07,2.23437500e-04,1.55576563e-02
-4.14931875e-07,2.82812500e-04,1.54540625e-02
-4.14891875e-07,2.48437500e-04,1.53377188e-02
-4.14851875e-07,1.53125000e-04,1.52660000e-02
-4.14811875e-07,9.37500000e-05,1.52745000e-02
-4.14771875e-07,1.46875000e-04,1.53589688e-02
-4.14731875e-07,3.18750000e-04,1.54763750e-02
-4.14691875e-07,5.28125000e-04,1.55666875e-02
-4.14651875e-07,6.68750000e-04,1.55831563e-02
-4.14611875e-07,6.67187500e-04,1.55183438e-02
-4.14571875e-07,5.31250000e-04,1.54051875e-02
-4.14531875e-07,3.34375000e-04,1.53021250e-02
