Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,50000,,Record Length,50000
Zero Index,2999.22265625,,Zero Index,2999.22265625
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-1.19968906e-07,6.39843750e-04,1.54022656e-02
-1.19928906e-07,7.00781250e-04,1.52070313e-02
-1.19888906e-07,6.30468750e-04,1.50516406e-02
-1.19848906e-07,3.96093750e-04,1.50423438e-02
-1.19808906e-07,3.28125000e-05,1.51804688e-02
-1.19768906e-07,-3.44531250e-04,1.53942969e-02
-1.19728906e-07,-5.60156250e-04,1.56028125e-02
-1.19688906e-07,-4.94531250e-04,1.57515625e-02
-1.19648906e-07,-1.71093750e-04,1.58100000e-02
-1.19608906e-07,2.29687500e-04,1.57528906e-02
-1.19568906e-07,4.82812500e-04,1.55722656e-02
-1.19528906e-07,4.54687500e-04,1.53172656e-02
-1.19488906e-07,2.01562500e-04,1.51140625e-02
-1.19448906e-07,-8.20312500e-05,1.50994531e-02
-1.19408906e-07,-1.87500000e-04,1.53185938e-02
-1.19368906e-07,-2.34375000e-05,1.56532813e-02
-1.19328906e-07,3.30468750e-04,1.58870313e-02
-1.19288906e-07,6.96093750e-04,1.58418750e-02
-1.19248906e-07,9.00000000e-04,1.55310938e-02
-1.19208906e-07,8.53125000e-04,1.51539063e-02
-1.19168906e-07,5.83593750e-04,1.49653125e-02
-1.19128906e-07,2.06250000e-04,1.50941406e-02
-1.19088906e-07,-1.26562500e-04,1.54527344e-02
-1.19048906e-07,-2.71875000e-04,1.58086719e-02
-1.19008906e-07,-1.71093750e-04,1.59574219e-02
-1.18968906e-07,1.31250000e-04,1.58564844e-02
-1.18928906e-07,4.78125000e-04,1.56333594e-02
-1.18888906e-07,6.86718750e-04,1.54753125e-02
-1.18848906e-07,6.60937500e-04,1.54925781e-02
-1.18808906e-07,4.66406250e-04,1.56612500e-02
-1.18768906e-07,2.88281250e-04,1.58657813e-02
-1.18728906e-07,2.95312500e-04,1.59800000e-02
-1.18688906e-07,5.15625000e-04,1.59454688e-02
-1.18648906e-07,7.94531250e-04,1.57781250e-02
-1.18608906e-07,9.14062500e-04,1.55563281e-02
-1.18568906e-07,7.66406250e-04,1.53783594e-02
-1.18528906e-07,4.21875000e-04,1.53371875e-02
-1.18488906e-07,9.60937500e-05,1.54792969e-02
-1.18448906e-07,-2.81250000e-05,1.57807813e-02
-1.18408906e-07,7.96875000e-05,1.61260938e-02
-1.18368906e-07,2.95312500e-04,1.63611719e-02
-1.18328906e-07,4.45312500e-04,1.63704688e-02
-1.18288906e-07,4.38281250e-04,1.61592969e-02
-1.18248906e-07,3.16406250e-04,1.58591406e-02
-1.18208906e-07,1.92187500e-04,1.56492969e-02
-1.18168906e-07,1.64062500e-04,1.56360156e-02
-1.18128906e-07,2.46093750e-04,1.57834375e-02
-1.18088906e-07,3.96093750e-04,1.59414844e-02
-1.18048906e-07,5.53125000e-04,1.59600781e-02
-1.18008906e-07,6.70312500e-04,1.57874219e-02
-1.17968906e-07,7.10156250e-04,1.55032031e-02
-1.17928906e-07,6.39843750e-04,1.52495313e-02
-1.17888906e-07,4.47656250e-04,1.51326563e-02
-1.17848906e-07,1.75781250e-04,1.51671875e-02
-1.17808906e-07,-6.56250000e-05,1.52893750e-02
-1.17768906e-07,-1.61718750e-04,1.54142188e-02
-1.17728906e-07,-6.79687500e-05,1.54859375e-02
-1.17688906e-07,1.35937500e-04,1.54925781e-02
-1.17648906e-07,2.92968750e-04,1.54580469e-02
-1.17608906e-07,2.83593750e-04,1.54275000e-02
-1.17568906e-07,1.33593750e-04,1.54487500e-02
-1.17528906e-07,0.00000000e+00,1.55589844e-02
-1.17488906e-07,6.09375000e-05,1.57449219e-02
-1.17448906e-07,3.65625000e-04,1.59361719e-02
-1.17408906e-07,7.71093750e-04,1.60251563e-02
-1.17368906e-07,1.03359375e-03,1.59335156e-02
-1.17328906e-07,9.67968750e-04,1.56745313e-02
-1.17288906e-07,5.76562500e-04,1.53703906e-02
-1.17248906e-07,5.15625000e-05,1.51817969e-02
-1.17208906e-07,-3.42187500e-04,1.52150000e-02
-1.17168906e-07,-4.28906250e-04,1.54500781e-02
-1.17128906e-07,-2.17968750e-04,1.57542188e-02
-1.17088906e-07,1.31250000e-04,1.59627344e-02
-1.17048906e-07,4.05468750e-04,1.59760156e-02
-1.17008906e-07,4.66406250e-04,1.58113281e-02
-1.16968906e-07,3.00000000e-04,1.55842188e-02
-1.16928906e-07,1.17187500e-05,1.54367969e-02
-1.16888906e-07,-2.39062500e-04,1.54646875e-02
-1.16848906e-07,-3.21093750e-04,1.56585938e-02
-1.16808906e-07,-1.92187500e-04,1.59042969e-02
-1.16768906e-07,7.96875000e-05,1.60397656e-02
-1.16728906e-07,3.37500000e-04,1.59481250e-02
-1.16688906e-07,4.17187500e-04,1.56386719e-02
-1.16648906e-07,2.41406250e-04,1.52707813e-02
-1.16608906e-07,-1.12500000e-04,1.50649219e-02
-1.16568906e-07,-4.45312500e-04,1.51685156e-02
-1.16528906e-07,-5.60156250e-04,1.55430469e-02
-1.16488906e-07,-3.77343750e-04,1.59760156e-02
-1.16448906e-07,-1.40625000e-05,1.62137500e-02
-1.16408906e-07,2.90625000e-04,1.61380469e-02
-1.16368906e-07,3.42187500e-04,1.58418750e-02
-1.16328906e-07,1.21875000e-04,1.55629688e-02
-1.16288906e-07,-1.99218750e-04,1.55005469e-02
-1.16248906e-07,-3.67968750e-04,1.56745313e-02
-1.16208906e-07,-2.48437500e-04,1.59189063e-02
-1.16168906e-07,8.67187500e-05,1.60198438e-02
-1.16128906e-07,4.12500000e-04,1.58777344e-02
-1.16088906e-07,5.10937500e-04,1.55775781e-02
-1.16048906e-07,3.35156250e-04,1.53013281e-02
-1.16008906e-07,3.04687500e-05,1.51910938e-02
-1.15968906e-07,-1.80468750e-04,1.52535156e-02
-1.15928906e-07,-1.61718750e-04,1.53889844e-02
-1.15888906e-07,5.62500000e-05,1.55018750e-02
-1.15848906e-07,3.07031250e-04,1.55709375e-02
-1.15808906e-07,4.35937500e-04,1.56400000e-02
-1.15768906e-07,4.03125000e-04,1.57396094e-02
-1.15728906e-07,2.88281250e-04,1.58232813e-02
-1.15688906e-07,2.13281250e-04,1.58113281e-02
-1.15648906e-07,2.36718750e-04,1.56758594e-02
-1.15608906e-07,3.23437500e-04,1.55005469e-02
-1.15568906e-07,3.91406250e-04,1.54221875e-02
-1.15528906e-07,3.82031250e-04,1.55125000e-02
-1.15488906e-07,3.00000000e-04,1.56904688e-02
-1.15448906e-07,1.92187500e-04,1.57701563e-02
-1.15408906e-07,9.60937500e-05,1.56147656e-02
-1.15368906e-07,9.37500000e-06,1.52747656e-02
-1.15328906e-07,-9.14062500e-05,1.49799219e-02
-1.15288906e-07,-1.99218750e-04,1.49679688e-02
-1.15248906e-07,-2.69531250e-04,1.52880469e-02
-1.15208906e-07,-2.48437500e-04,1.57342969e-02
-1.15168906e-07,-1.14843750e-04,1.59866406e-02
-1.15128906e-07,8.67187500e-05,1.58445313e-02
-1.15088906e-07,2.69531250e-04,1.53876563e-02
-1.15048906e-07,3.63281250e-04,1.49201563e-02
-1.15008906e-07,3.63281250e-04,1.47435156e-02
-1.14968906e-07,3.18750000e-04,1.49440625e-02
-1.14928906e-07,2.88281250e-04,1.53371875e-02
-1.14888906e-07,2.92968750e-04,1.56253906e-02
-1.14848906e-07,3.21093750e-04,1.56174219e-02
-1.14808906e-07,3.32812500e-04,1.53544531e-02
-1.14768906e-07,3.23437500e-04,1.50569531e-02
-1.14728906e-07,3.04687500e-04,1.49546875e-02
-1.14688906e-07,3.00000000e-04,1.51313281e-02
-1.14648906e-07,3.11718750e-04,1.54978906e-02
-1.14608906e-07,3.21093750e-04,1.58790625e-02
-1.14568906e-07,3.14062500e-04,1.61260938e-02
-1.14528906e-07,2.95312500e-04,1.61739063e-02
-1.14488906e-07,2.90625000e-04,1.60371094e-02
-1.14448906e-07,3.07031250e-04,1.57767969e-02
-1.14408906e-07,3.28125000e-04,1.54806250e-02
-1.14368906e-07,3.25781250e-04,1.52482031e-02
-1.14328906e-07,2.90625000e-04,1.51671875e-02
-1.14288906e-07,2.55468750e-04,1.52667969e-02
-1.14248906e-07,2.64843750e-04,1.54753125e-02
-1.14208906e-07,3.28125000e-04,1.56546094e-02
-1.14168906e-07,3.84375000e-04,1.56811719e-02
-1.14128906e-07,3.37500000e-04,1.55377344e-02
-1.14088906e-07,1.40625000e-04,1.53239063e-02
-1.14048906e-07,-1.40625000e-04,1.51950781e-02
-1.14008906e-07,-3.46875000e-04,1.52335938e-02
-1.13968906e-07,-3.23437500e-04,1.54022656e-02
-1.13928906e-07,-3.28125000e-05,1.55735938e-02
-1.13888906e-07,3.91406250e-04,1.56360156e-02
-1.13848906e-07,7.33593750e-04,1.55735938e-02
-1.13808906e-07,8.32031250e-04,1.54620313e-02
-1.13768906e-07,6.89062500e-04,1.54062500e-02
-1.13728906e-07,4.42968750e-04,1.54567188e-02
-1.13688906e-07,2.74218750e-04,1.55935156e-02
-1.13648906e-07,2.69531250e-04,1.57502344e-02
-1.13608906e-07,3.91406250e-04,1.58724219e-02
-1.13568906e-07,5.41406250e-04,1.59348438e-02
-1.13528906e-07,6.35156250e-04,1.59295313e-02
-1.13488906e-07,6.56250000e-04,1.58578125e-02
-1.13448906e-07,6.16406250e-04,1.57316406e-02
-1.13408906e-07,5.20312500e-04,1.55935156e-02
-1.13368906e-07,3.46875000e-04,1.55191406e-02
-1.13328906e-07,1.07812500e-04,1.55775781e-02
-1.13288906e-07,-1.03125000e-04,1.57701563e-02
-1.13248906e-07,-1.57031250e-04,1.60065625e-02
-1.13208906e-07,1.87500000e-05,1.61500000e-02
-1.13168906e-07,3.51562500e-04,1.61035156e-02
-1.13128906e-07,6.46875000e-04,1.58923438e-02
-1.13088906e-07,7.26562500e-04,1.56572656e-02
-1.13048906e-07,5.64843750e-04,1.55642969e-02
-1.13008906e-07,3.23437500e-04,1.56785156e-02
-1.12968906e-07,2.32031250e-04,1.59109375e-02
-1.12928906e-07,3.96093750e-04,1.60729688e-02
-1.12888906e-07,6.98437500e-04,1.60078906e-02
-1.12848906e-07,8.71875000e-04,1.57183594e-02
-1.12808906e-07,7.14843750e-04,1.53650781e-02
-1.12768906e-07,2.41406250e-04,1.51711719e-02
-1.12728906e-07,-3.00000000e-04,1.52561719e-02
-1.12688906e-07,-6.00000000e-04,1.55496875e-02
-1.12648906e-07,-4.96875000e-04,1.58365625e-02
-1.12608906e-07,-6.79687500e-05,1.59069531e-02
-1.12568906e-07,4.38281250e-04,1.57010938e-02
-1.12528906e-07,7.59375000e-04,1.53624219e-02
-1.12488906e-07,7.87500000e-04,1.51260156e-02
-1.12448906e-07,5.83593750e-04,1.51685156e-02
-1.12408906e-07,3.21093750e-04,1.54753125e-02
-1.12368906e-07,1.68750000e-04,1.58525000e-02
-1.12328906e-07,2.15625000e-04,1.60623438e-02
-1.12288906e-07,4.35937500e-04,1.59733594e-02
-1.12248906e-07,7.14843750e-04,1.56453125e-02
