Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,90000,,Record Length,90000
Zero Index,4409.16406250,,Zero Index,4409.16406250
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-1.76366563e-07,2.49375000e-04,1.51956250e-02
-1.76326563e-07,1.29062500e-04,1.52675000e-02
-1.76286563e-07,1.31250000e-04,1.53537500e-02
-1.76246563e-07,2.60312500e-04,1.54100000e-02
-1.76206563e-07,4.50625000e-04,1.54075000e-02
-1.76166563e-07,5.90625000e-04,1.53518750e-02
-1.76126563e-07,6.05937500e-04,1.52787500e-02
-1.76086563e-07,5.14062500e-04,1.52281250e-02
-1.76046563e-07,4.15625000e-04,1.52181250e-02
-1.76006563e-07,4.09062500e-04,1.52331250e-02
-1.75966563e-07,5.14062500e-04,1.52350000e-02
-1.75926563e-07,6.40937500e-04,1.51993750e-02
-1.75886563e-07,6.54062500e-04,1.51425000e-02
-1.75846563e-07,4.79062500e-04,1.51156250e-02
-1.75806563e-07,1.72812500e-04,1.51693750e-02
-1.75766563e-07,-1.09375000e-04,1.53087500e-02
-1.75726563e-07,-2.14375000e-04,1.54831250e-02
-1.75686563e-07,-9.62500000e-05,1.56100000e-02
-1.75646563e-07,1.57500000e-04,1.56318750e-02
-1.75606563e-07,3.87187500e-04,1.55475000e-02
-1.75566563e-07,4.72500000e-04,1.54106250e-02
-1.75526563e-07,3.91562500e-04,1.52912500e-02
-1.75486563e-07,2.23125000e-04,1.52300000e-02
-1.75446563e-07,7.43750000e-05,1.52237500e-02
-1.75406563e-07,1.96875000e-05,1.52456250e-02
-1.75366563e-07,8.31250000e-05,1.52693750e-02
-1.75326563e-07,2.38437500e-04,1.52906250e-02
-1.75286563e-07,4.39687500e-04,1.53212500e-02
-1.75246563e-07,6.36562500e-04,1.53750000e-02
-1.75206563e-07,7.72187500e-04,1.54518750e-02
-1.75166563e-07,7.87500000e-04,1.55362500e-02
-1.75126563e-07,6.49687500e-04,1.56075000e-02
-1.75086563e-07,3.93750000e-04,1.56437500e-02
-1.75046563e-07,1.33437500e-04,1.56350000e-02
-1.75006563e-07,1.53125000e-05,1.55850000e-02
-1.74966563e-07,1.31250000e-04,1.55162500e-02
-1.74926563e-07,4.26562500e-04,1.54625000e-02
-1.74886563e-07,7.15312500e-04,1.54512500e-02
-1.74846563e-07,7.87500000e-04,1.54900000e-02
-1.74806563e-07,5.57812500e-04,1.55581250e-02
-1.74766563e-07,1.50937500e-04,1.56162500e-02
-1.74726563e-07,-1.68437500e-04,1.56331250e-02
-1.74686563e-07,-1.59687500e-04,1.56000000e-02
-1.74646563e-07,1.96875000e-04,1.55368750e-02
-1.74606563e-07,6.80312500e-04,1.54731250e-02
-1.74566563e-07,9.62500000e-04,1.54325000e-02
-1.74526563e-07,8.48750000e-04,1.54162500e-02
-1.74486563e-07,4.09062500e-04,1.54081250e-02
-1.74446563e-07,-5.25000000e-05,1.53881250e-02
-1.74406563e-07,-2.10000000e-04,1.53456250e-02
-1.74366563e-07,5.25000000e-05,1.52868750e-02
-1.74326563e-07,5.62187500e-04,1.52325000e-02
-1.74286563e-07,9.82187500e-04,1.52043750e-02
-1.74246563e-07,1.03468750e-03,1.52162500e-02
-1.74206563e-07,6.84687500e-04,1.52643750e-02
-1.74166563e-07,1.53125000e-04,1.53281250e-02
-1.74126563e-07,-2.36250000e-04,1.53793750e-02
-1.74086563e-07,-2.71250000e-04,1.53975000e-02
-1.74046563e-07,3.93750000e-05,1.53800000e-02
-1.74006563e-07,4.79062500e-04,1.53456250e-02
-1.73966563e-07,7.85312500e-04,1.53193750e-02
-1.73926563e-07,7.98437500e-04,1.53150000e-02
-1.73886563e-07,5.33750000e-04,1.53293750e-02
-1.73846563e-07,1.57500000e-04,1.53475000e-02
-1.73806563e-07,-1.42187500e-04,1.53600000e-02
-1.73766563e-07,-2.47187500e-04,1.53725000e-02
-1.73726563e-07,-1.61875000e-04,1.54006250e-02
-1.73686563e-07,1.75000000e-05,1.54493750e-02
-1.73646563e-07,1.75000000e-04,1.54993750e-02
-1.73606563e-07,2.40625000e-04,1.55181250e-02
-1.73566563e-07,2.29687500e-04,1.54862500e-02
-1.73526563e-07,2.07812500e-04,1.54193750e-02
-1.73486563e-07,2.49375000e-04,1.53662500e-02
-1.73446563e-07,3.69687500e-04,1.53725000e-02
-1.73406563e-07,5.27187500e-04,1.54437500e-02
-1.73366563e-07,6.38750000e-04,1.55318750e-02
-1.73326563e-07,6.43125000e-04,1.55687500e-02
-1.73286563e-07,5.40312500e-04,1.55200000e-02
-1.73246563e-07,3.85000000e-04,1.54125000e-02
-1.73206563e-07,2.55937500e-04,1.53218750e-02
-1.73166563e-07,1.99062500e-04,1.53125000e-02
-1.73126563e-07,2.14375000e-04,1.53881250e-02
-1.73086563e-07,2.64687500e-04,1.54862500e-02
-1.73046563e-07,3.06250000e-04,1.55225000e-02
-1.73006563e-07,3.28125000e-04,1.54568750e-02
-1.72966563e-07,3.39062500e-04,1.53218750e-02
-1.72926563e-07,3.65312500e-04,1.52000000e-02
-1.72886563e-07,4.06875000e-04,1.51606250e-02
-1.72846563e-07,4.41875000e-04,1.52137500e-02
-1.72806563e-07,4.30937500e-04,1.53081250e-02
-1.72766563e-07,3.58750000e-04,1.53725000e-02
-1.72726563e-07,2.45000000e-04,1.53693750e-02
-1.72686563e-07,1.48750000e-04,1.53143750e-02
-1.72646563e-07,1.20312500e-04,1.52562500e-02
-1.72606563e-07,1.66250000e-04,1.52368750e-02
-1.72566563e-07,2.29687500e-04,1.52643750e-02
-1.72526563e-07,2.29687500e-04,1.53187500e-02
-1.72486563e-07,1.20312500e-04,1.53700000e-02
-1.72446563e-07,-4.81250000e-05,1.54025000e-02
-1.72406563e-07,-1.50937500e-04,1.54162500e-02
-1.72366563e-07,-6.56250000e-05,1.54156250e-02
-1.72326563e-07,2.29687500e-04,1.54043750e-02
-1.72286563e-07,6.25625000e-04,1.53837500e-02
-1.72246563e-07,9.29687500e-04,1.53593750e-02
-1.72206563e-07,9.88750000e-04,1.53443750e-02
-1.72166563e-07,7.94062500e-04,1.53500000e-02
-1.72126563e-07,4.76875000e-04,1.53768750e-02
-1.72086563e-07,2.18750000e-04,1.54112500e-02
-1.72046563e-07,1.37812500e-04,1.54375000e-02
-1.72006563e-07,2.18750000e-04,1.54475000e-02
-1.71966563e-07,3.43437500e-04,1.54431250e-02
-1.71926563e-07,3.87187500e-04,1.54312500e-02
-1.71886563e-07,3.23750000e-04,1.54131250e-02
-1.71846563e-07,2.14375000e-04,1.53843750e-02
-1.71806563e-07,1.61875000e-04,1.53412500e-02
-1.71766563e-07,2.12187500e-04,1.52900000e-02
-1.71726563e-07,3.19375000e-04,1.52462500e-02
-1.71686563e-07,3.87187500e-04,1.52268750e-02
-1.71646563e-07,3.50000000e-04,1.52418750e-02
-1.71606563e-07,2.36250000e-04,1.52887500e-02
-1.71566563e-07,1.46562500e-04,1.53581250e-02
-1.71526563e-07,1.79375000e-04,1.54356250e-02
-1.71486563e-07,3.45625000e-04,1.55006250e-02
-1.71446563e-07,5.57812500e-04,1.55281250e-02
-1.71406563e-07,6.86875000e-04,1.54950000e-02
-1.71366563e-07,6.54062500e-04,1.54006250e-02
-1.71326563e-07,4.96562500e-04,1.52756250e-02
-1.71286563e-07,3.19375000e-04,1.51762500e-02
-1.71246563e-07,2.23125000e-04,1.51512500e-02
-1.71206563e-07,2.29687500e-04,1.52106250e-02
-1.71166563e-07,2.80000000e-04,1.53100000e-02
-1.71126563e-07,2.99687500e-04,1.53781250e-02
-1.71086563e-07,2.73437500e-04,1.53643750e-02
-1.71046563e-07,2.45000000e-04,1.52743750e-02
-1.71006563e-07,2.60312500e-04,1.51718750e-02
-1.70966563e-07,3.08437500e-04,1.51318750e-02
-1.70926563e-07,3.01875000e-04,1.51900000e-02
-1.70886563e-07,1.59687500e-04,1.53156250e-02
-1.70846563e-07,-1.11562500e-04,1.54343750e-02
-1.70806563e-07,-3.71875000e-04,1.54768750e-02
-1.70766563e-07,-4.48437500e-04,1.54268750e-02
-1.70726563e-07,-2.55937500e-04,1.53256250e-02
-1.70686563e-07,1.13750000e-04,1.52425000e-02
-1.70646563e-07,4.35312500e-04,1.52275000e-02
-1.70606563e-07,5.00937500e-04,1.52856250e-02
-1.70566563e-07,2.77812500e-04,1.53800000e-02
-1.70526563e-07,-5.68750000e-05,1.54631250e-02
-1.70486563e-07,-2.42812500e-04,1.55062500e-02
-1.70446563e-07,-1.13750000e-04,1.55143750e-02
-1.70406563e-07,2.84375000e-04,1.55118750e-02
-1.70366563e-07,7.28437500e-04,1.55225000e-02
-1.70326563e-07,9.77812500e-04,1.55537500e-02
-1.70286563e-07,9.31875000e-04,1.55875000e-02
-1.70246563e-07,6.95625000e-04,1.55950000e-02
-1.70206563e-07,4.72500000e-04,1.55543750e-02
-1.70166563e-07,4.26562500e-04,1.54706250e-02
-1.70126563e-07,5.70937500e-04,1.53793750e-02
-1.70086563e-07,7.70000000e-04,1.53331250e-02
-1.70046563e-07,8.48750000e-04,1.53706250e-02
-1.70006563e-07,7.13125000e-04,1.54868750e-02
-1.69966563e-07,3.95937500e-04,1.56287500e-02
-1.69926563e-07,3.93750000e-05,1.57187500e-02
-1.69886563e-07,-1.90312500e-04,1.57006250e-02
-1.69846563e-07,-1.96875000e-04,1.55793750e-02
-1.69806563e-07,1.53125000e-05,1.54193750e-02
-1.69766563e-07,3.41250000e-04,1.53087500e-02
-1.69726563e-07,6.34375000e-04,1.53012500e-02
-1.69686563e-07,7.74375000e-04,1.53856250e-02
-1.69646563e-07,7.28437500e-04,1.54943750e-02
-1.69606563e-07,5.60000000e-04,1.55500000e-02
-1.69566563e-07,3.87187500e-04,1.55168750e-02
-1.69526563e-07,3.08437500e-04,1.54206250e-02
-1.69486563e-07,3.43437500e-04,1.53281250e-02
-1.69446563e-07,4.28750000e-04,1.53018750e-02
-1.69406563e-07,4.61562500e-04,1.53618750e-02
-1.69366563e-07,3.87187500e-04,1.54768750e-02
-1.69326563e-07,2.42812500e-04,1.55825000e-02
-1.69286563e-07,1.26875000e-04,1.56206250e-02
-1.69246563e-07,1.33437500e-04,1.55650000e-02
-1.69206563e-07,2.60312500e-04,1.54325000e-02
-1.69166563e-07,4.09062500e-04,1.52743750e-02
-1.69126563e-07,4.48437500e-04,1.51531250e-02
-1.69086563e-07,3.15000000e-04,1.51137500e-02
-1.69046563e-07,8.09375000e-05,1.51606250e-02
-1.69006563e-07,-9.84375000e-05,1.52593750e-02
-1.68966563e-07,-9.84375000e-05,1.53493750e-02
-1.68926563e-07,7.65625000e-05,1.53806250e-02
-1.68886563e-07,2.86562500e-04,1.53437500e-02
-1.68846563e-07,3.67500000e-04,1.52756250e-02
-1.68806563e-07,2.51562500e-04,1.52350000e-02
-1.68766563e-07,3.06250000e-05,1.52612500e-02
-1.68726563e-07,-1.15937500e-04,1.53475000e-02
-1.68686563e-07,-7.00000000e-05,1.54475000e-02
-1.68646563e-07,1.44375000e-04,1.55118750e-02
-1.68606563e-07,3.76250000e-04,1.55206250e-02
-1.68566563e-07,4.63750000e-04,1.54943750e-02
-1.68526563e-07,3.65312500e-04,1.54718750e-02
-1.68486563e-07,1.70625000e-04,1.54781250e-02
-1.68446563e-07,2.62500000e-05,1.55112500e-02
-1.68406563e-07,1.96875000e-05,1.55512500e-02
-1.68366563e-07,1.26875000e-04,1.55800000e-02
-1.68326563e-07,2.55937500e-04,1.55937500e-02
-1.68286563e-07,3.25937500e-04,1.55918750e-02
-1.68246563e-07,3.25937500e-04,1.55650000e-02
-1.68206563e-07,2.86562500e-04,1.55031250e-02
-1.68166563e-07,2.27500000e-04,1.54112500e-02
-1.68126563e-07,1.26875000e-04,1.53262500e-02
-1.68086563e-07,-4.59375000e-05,1.53025000e-02
-1.68046563e-07,-2.66875000e-04,1.53743750e-02
-1.68006563e-07,-4.44062500e-04,1.55118750e-02
-1.67966563e-07,-4.65937500e-04,1.56287500e-02
-1.67926563e-07,-2.97500000e-04,1.56331250e-02
-1.67886563e-07,-2.84375000e-05,1.54968750e-02
-1.67846563e-07,1.85937500e-04,1.52893750e-02
-1.67806563e-07,2.31875000e-04,1.51381250e-02
-1.67766563e-07,1.35625000e-04,1.51431250e-02
-1.67726563e-07,2.84375000e-05,1.53075000e-02
-1.67686563e-07,5.03125000e-05,1.55325000e-02
-1.67646563e-07,2.18750000e-04,1.56843750e-02
-1.67606563e-07,4.09062500e-04,1.56837500e-02
-1.67566563e-07,4.61562500e-04,1.55525000e-02
