Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,2500,,Record Length,2500
Zero Index,324.05859375,,Zero Index,324.05859375
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-1.29623437e-08,2.01562500e-04,1.50784688e-02
-1.29223437e-08,3.78125000e-04,1.50163125e-02
-1.28823437e-08,5.65625000e-04,1.49934688e-02
-1.28423437e-08,6.60937500e-04,1.50301250e-02
-1.28023437e-08,5.96875000e-04,1.50991875e-02
-1.27623437e-08,4.17187500e-04,1.51438125e-02
-1.27223437e-08,2.71875000e-04,1.51246875e-02
-1.26823437e-08,3.15625000e-04,1.50465938e-02
-1.26423437e-08,5.81250000e-04,1.49530938e-02
-1.26023437e-08,9.28125000e-04,1.48925313e-02
-1.25623437e-08,1.12500000e-03,1.48808438e-02
-1.25223437e-08,1.02187500e-03,1.48994375e-02
-1.24823437e-08,6.62500000e-04,1.49201563e-02
-1.24423437e-08,2.65625000e-04,1.49313125e-02
-1.24023437e-08,7.34375000e-05,1.49440625e-02
-1.23623437e-08,1.73437500e-04,1.49764688e-02
-1.23223437e-08,4.57812500e-04,1.50269375e-02
-1.22823437e-08,7.03125000e-04,1.50747500e-02
-1.22423437e-08,7.40625000e-04,1.50975938e-02
-1.22023437e-08,5.51562500e-04,1.50917500e-02
-1.21623437e-08,2.70312500e-04,1.50736875e-02
-1.21223437e-08,6.71875000e-05,1.50593438e-02
-1.20823437e-08,4.37500000e-05,1.50465938e-02
-1.20423437e-08,1.84375000e-04,1.50184375e-02
-1.20023438e-08,3.90625000e-04,1.49690313e-02
-1.19623437e-08,5.53125000e-04,1.49228125e-02
-1.19223437e-08,6.01562500e-04,1.49238750e-02
-1.18823437e-08,5.23437500e-04,1.50003750e-02
-1.18423437e-08,3.59375000e-04,1.51315938e-02
-1.18023437e-08,1.81250000e-04,1.52521875e-02
-1.17623437e-08,7.81250000e-05,1.52984063e-02
-1.17223437e-08,1.20312500e-04,1.52564375e-02
-1.16823437e-08,3.12500000e-04,1.51772813e-02
-1.16423437e-08,5.78125000e-04,1.51369063e-02
-1.16023437e-08,7.90625000e-04,1.51730312e-02
-1.15623437e-08,8.39062500e-04,1.52537813e-02
-1.15223438e-08,7.14062500e-04,1.53021250e-02
-1.14823437e-08,5.17187500e-04,1.52559063e-02
-1.14423437e-08,4.00000000e-04,1.51209688e-02
-1.14023437e-08,4.60937500e-04,1.49711563e-02
-1.13623437e-08,6.76562500e-04,1.48925313e-02
-1.13223437e-08,9.09375000e-04,1.49254688e-02
-1.12823437e-08,1.00312500e-03,1.50380938e-02
-1.12423437e-08,8.98437500e-04,1.51544375e-02
-1.12023437e-08,6.64062500e-04,1.52086250e-02
-1.11623437e-08,4.56250000e-04,1.51841875e-02
-1.11223437e-08,4.09375000e-04,1.51156563e-02
-1.10823437e-08,5.46875000e-04,1.50508438e-02
-1.10423438e-08,7.65625000e-04,1.50210938e-02
-1.10023437e-08,9.18750000e-04,1.50269375e-02
-1.09623437e-08,9.04687500e-04,1.50556250e-02
-1.09223437e-08,7.42187500e-04,1.50975938e-02
-1.08823437e-08,5.48437500e-04,1.51507188e-02
-1.08423437e-08,4.54687500e-04,1.52070313e-02
-1.08023437e-08,5.21875000e-04,1.52458125e-02
-1.07623437e-08,7.03125000e-04,1.52373125e-02
-1.07223437e-08,8.70312500e-04,1.51703750e-02
-1.06823437e-08,8.98437500e-04,1.50705000e-02
-1.06423437e-08,7.34375000e-04,1.49908125e-02
-1.06023437e-08,4.35937500e-04,1.49807188e-02
-1.05623438e-08,1.35937500e-04,1.50471250e-02
-1.05223437e-08,-2.50000000e-05,1.51422188e-02
-1.04823437e-08,3.12500000e-05,1.51953438e-02
-1.04423437e-08,2.81250000e-04,1.51592187e-02
-1.04023437e-08,6.03125000e-04,1.50455313e-02
-1.03623437e-08,8.37500000e-04,1.49190938e-02
-1.03223437e-08,8.71875000e-04,1.48537500e-02
-1.02823437e-08,7.00000000e-04,1.48803125e-02
-1.02423437e-08,4.34375000e-04,1.49685000e-02
-1.02023437e-08,2.29687500e-04,1.50492500e-02
-1.01623437e-08,1.96875000e-04,1.50635938e-02
-1.01223437e-08,3.29687500e-04,1.50046250e-02
-1.00823438e-08,5.12500000e-04,1.49164375e-02
-1.00423437e-08,6.03125000e-04,1.48649063e-02
-1.00023437e-08,5.31250000e-04,1.48861563e-02
-9.96234375e-09,3.45312500e-04,1.49658438e-02
-9.92234375e-09,1.68750000e-04,1.50481875e-02
-9.88234375e-09,1.20312500e-04,1.50752813e-02
-9.84234375e-09,2.34375000e-04,1.50258750e-02
-9.80234375e-09,4.46875000e-04,1.49318438e-02
-9.76234375e-09,6.50000000e-04,1.48574688e-02
-9.72234375e-09,7.51562500e-04,1.48574688e-02
-9.68234375e-09,7.14062500e-04,1.49430000e-02
-9.64234375e-09,5.71875000e-04,1.50726250e-02
-9.60234375e-09,3.96875000e-04,1.51778125e-02
-9.56234375e-09,2.79687500e-04,1.52043750e-02
-9.52234375e-09,2.95312500e-04,1.51438125e-02
-9.48234375e-09,4.65625000e-04,1.50343750e-02
-9.44234375e-09,7.29687500e-04,1.49339688e-02
-9.40234375e-09,9.56250000e-04,1.48829688e-02
-9.36234375e-09,9.93750000e-04,1.48872188e-02
-9.32234375e-09,7.75000000e-04,1.49222813e-02
-9.28234375e-09,3.78125000e-04,1.49615938e-02
-9.24234375e-09,1.40625000e-05,1.49929375e-02
-9.20234375e-09,-1.00000000e-04,1.50216250e-02
-9.16234375e-09,1.25000000e-04,1.50540313e-02
-9.12234375e-09,5.67187500e-04,1.50853750e-02
-9.08234375e-09,9.64062500e-04,1.51023750e-02
-9.04234375e-09,1.08437500e-03,1.50965313e-02
-9.00234375e-09,8.81250000e-04,1.50774063e-02
-8.96234375e-09,5.25000000e-04,1.50614688e-02
-8.92234375e-09,2.78125000e-04,1.50556250e-02
-8.88234375e-09,3.07812500e-04,1.50444688e-02
-8.84234375e-09,5.75000000e-04,1.50035625e-02
-8.80234375e-09,8.68750000e-04,1.49249375e-02
-8.76234375e-09,9.67187500e-04,1.48394063e-02
-8.72234375e-09,7.82812500e-04,1.48022188e-02
-8.68234375e-09,4.17187500e-04,1.48553438e-02
-8.64234375e-09,7.96875000e-05,1.49855000e-02
-8.60234375e-09,-5.62500000e-05,1.51268125e-02
-8.56234375e-09,5.62500000e-05,1.51990625e-02
-8.52234375e-09,3.32812500e-04,1.51640000e-02
-8.48234375e-09,6.25000000e-04,1.50588125e-02
-8.44234375e-09,8.07812500e-04,1.49669063e-02
-8.40234375e-09,8.26562500e-04,1.49621250e-02
-8.36234375e-09,6.96875000e-04,1.50545625e-02
-8.32234375e-09,4.85937500e-04,1.51815313e-02
