Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,80000,,Record Length,80000
Zero Index,10399.12500000,,Zero Index,10399.12500000
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-4.15965000e-07,7.60937500e-04,1.50694375e-02
-4.15925000e-07,4.70312500e-04,1.50210938e-02
-4.15885000e-07,2.67187500e-04,1.49855000e-02
-4.15845000e-07,2.50000000e-04,1.50009063e-02
-4.15805000e-07,3.87500000e-04,1.50800625e-02
-4.15765000e-07,5.70312500e-04,1.51937500e-02
-4.15725000e-07,6.92187500e-04,1.52787500e-02
-4.15685000e-07,7.10937500e-04,1.52776875e-02
-4.15645000e-07,6.43750000e-04,1.51751563e-02
-4.15605000e-07,5.31250000e-04,1.50157813e-02
-4.15565000e-07,4.04687500e-04,1.48819063e-02
-4.15525000e-07,2.90625000e-04,1.48479063e-02
-4.15485000e-07,2.29687500e-04,1.49360938e-02
-4.15445000e-07,2.71875000e-04,1.51013125e-02
-4.15405000e-07,4.35937500e-04,1.52559063e-02
-4.15365000e-07,6.65625000e-04,1.53260313e-02
-4.15325000e-07,8.39062500e-04,1.52968125e-02
-4.15285000e-07,8.32812500e-04,1.52203125e-02
-4.15245000e-07,6.18750000e-04,1.51794063e-02
-4.15205000e-07,2.96875000e-04,1.52298750e-02
-4.15165000e-07,4.53125000e-05,1.53579063e-02
-4.15125000e-07,6.25000000e-06,1.54854063e-02
-4.15085000e-07,1.79687500e-04,1.55172813e-02
-4.15045000e-07,4.35937500e-04,1.54089062e-02
-4.15005000e-07,6.03125000e-04,1.51964063e-02
-4.14965000e-07,6.04687500e-04,1.49801875e-02
-4.14925000e-07,5.09375000e-04,1.48633125e-02
-4.14885000e-07,4.73437500e-04,1.48882813e-02
-4.14845000e-07,6.00000000e-04,1.50168438e-02
-4.14805000e-07,8.46875000e-04,1.51618750e-02
-4.14765000e-07,1.04687500e-03,1.52452813e-02
-4.14725000e-07,1.03281250e-03,1.52479375e-02
-4.14685000e-07,7.75000000e-04,1.52096875e-02
-4.14645000e-07,4.17187500e-04,1.51852500e-02
-4.14605000e-07,1.81250000e-04,1.51980000e-02
-4.14565000e-07,1.96875000e-04,1.52192500e-02
-4.14525000e-07,4.15625000e-04,1.51964063e-02
-4.14485000e-07,6.45312500e-04,1.51007813e-02
-4.14445000e-07,7.01562500e-04,1.49610625e-02
-4.14405000e-07,5.40625000e-04,1.48505625e-02
-4.14365000e-07,2.84375000e-04,1.48394063e-02
-4.14325000e-07,1.23437500e-04,1.49472500e-02
-4.14285000e-07,1.75000000e-04,1.51273438e-02
-4.14245000e-07,4.00000000e-04,1.52930938e-02
-4.14205000e-07,6.46875000e-04,1.53711875e-02
-4.14165000e-07,7.67187500e-04,1.53451563e-02
-4.14125000e-07,7.15625000e-04,1.52564375e-02
-4.14085000e-07,5.68750000e-04,1.51762188e-02
-4.14045000e-07,4.42187500e-04,1.51570938e-02
-4.14005000e-07,4.06250000e-04,1.52038438e-02
-4.13965000e-07,4.39062500e-04,1.52771562e-02
-4.13925000e-07,4.71875000e-04,1.53201875e-02
-4.13885000e-07,4.56250000e-04,1.53000000e-02
-4.13845000e-07,4.15625000e-04,1.52266875e-02
-4.13805000e-07,4.17187500e-04,1.51480625e-02
-4.13765000e-07,5.17187500e-04,1.51199063e-02
-4.13725000e-07,6.98437500e-04,1.51703750e-02
-4.13685000e-07,8.81250000e-04,1.52798125e-02
-4.13645000e-07,9.71875000e-04,1.53919063e-02
-4.13605000e-07,9.32812500e-04,1.54407813e-02
-4.13565000e-07,8.03125000e-04,1.53929688e-02
-4.13525000e-07,6.60937500e-04,1.52628125e-02
-4.13485000e-07,5.68750000e-04,1.51098125e-02
-4.13445000e-07,5.37500000e-04,1.50025000e-02
-4.13405000e-07,5.32812500e-04,1.49849688e-02
-4.13365000e-07,5.20312500e-04,1.50535000e-02
-4.13325000e-07,4.92187500e-04,1.51645313e-02
-4.13285000e-07,4.76562500e-04,1.52606875e-02
-4.13245000e-07,4.96875000e-04,1.53063750e-02
-4.13205000e-07,5.57812500e-04,1.52989375e-02
-4.13165000e-07,6.29687500e-04,1.52633438e-02
-4.13125000e-07,6.67187500e-04,1.52298750e-02
-4.13085000e-07,6.50000000e-04,1.52197813e-02
-4.13045000e-07,5.90625000e-04,1.52346563e-02
-4.13005000e-07,5.31250000e-04,1.52660000e-02
-4.12965000e-07,5.28125000e-04,1.53026563e-02
-4.12925000e-07,6.12500000e-04,1.53318750e-02
-4.12885000e-07,7.67187500e-04,1.53419688e-02
-4.12845000e-07,9.29687500e-04,1.53239063e-02
-4.12805000e-07,1.00781250e-03,1.52814063e-02
