Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,80000,,Record Length,80000
Zero Index,10399.74609375,,Zero Index,10399.74609375
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-4.15989844e-07,7.50000000e-04,1.52086250e-02
-4.15949844e-07,6.76562500e-04,1.51353125e-02
-4.15909844e-07,4.62500000e-04,1.51273438e-02
-4.15869844e-07,2.39062500e-04,1.51900313e-02
-4.15829844e-07,1.43750000e-04,1.52745000e-02
-4.15789844e-07,2.39062500e-04,1.53180625e-02
-4.15749844e-07,4.67187500e-04,1.52936250e-02
-4.15709844e-07,6.82812500e-04,1.52325313e-02
-4.15669844e-07,7.54687500e-04,1.51958750e-02
-4.15629844e-07,6.40625000e-04,1.52277500e-02
-4.15589844e-07,4.20312500e-04,1.53201875e-02
-4.15549844e-07,2.32812500e-04,1.54253750e-02
-4.15509844e-07,1.89062500e-04,1.54928438e-02
-4.15469844e-07,3.01562500e-04,1.55029375e-02
-4.15429844e-07,4.87500000e-04,1.54673438e-02
-4.15389844e-07,6.34375000e-04,1.54078438e-02
-4.15349844e-07,6.71875000e-04,1.53387813e-02
-4.15309844e-07,6.20312500e-04,1.52654688e-02
-4.15269844e-07,5.56250000e-04,1.52011875e-02
-4.15229844e-07,5.56250000e-04,1.51682500e-02
-4.15189844e-07,6.42187500e-04,1.51873750e-02
-4.15149844e-07,7.70312500e-04,1.52543125e-02
-4.15109844e-07,8.70312500e-04,1.53361250e-02
-4.15069844e-07,8.90625000e-04,1.53871250e-02
-4.15029844e-07,8.26562500e-04,1.53828750e-02
-4.14989844e-07,7.04687500e-04,1.53340000e-02
-4.14949844e-07,5.59375000e-04,1.52771562e-02
-4.14909844e-07,4.14062500e-04,1.52431563e-02
-4.14869844e-07,2.81250000e-04,1.52378438e-02
-4.14829844e-07,1.81250000e-04,1.52452813e-02
-4.14789844e-07,1.39062500e-04,1.52468750e-02
-4.14749844e-07,1.81250000e-04,1.52431563e-02
-4.14709844e-07,3.01562500e-04,1.52463438e-02
-4.14669844e-07,4.53125000e-04,1.52665313e-02
-4.14629844e-07,5.57812500e-04,1.52930938e-02
-4.14589844e-07,5.50000000e-04,1.53026563e-02
-4.14549844e-07,4.18750000e-04,1.52771562e-02
-4.14509844e-07,2.32812500e-04,1.52250937e-02
-4.14469844e-07,1.03125000e-04,1.51788750e-02
-4.14429844e-07,1.17187500e-04,1.51693125e-02
-4.14389844e-07,2.73437500e-04,1.52027813e-02
-4.14349844e-07,4.73437500e-04,1.52537813e-02
-4.14309844e-07,5.76562500e-04,1.52893750e-02
-4.14269844e-07,5.04687500e-04,1.52952188e-02
-4.14229844e-07,3.09375000e-04,1.52872500e-02
-4.14189844e-07,1.46875000e-04,1.52973438e-02
-4.14149844e-07,1.73437500e-04,1.53419688e-02
-4.14109844e-07,4.15625000e-04,1.54035938e-02
-4.14069844e-07,7.39062500e-04,1.54402500e-02
-4.14029844e-07,9.32812500e-04,1.54179375e-02
-4.13989844e-07,8.70312500e-04,1.53398438e-02
-4.13949844e-07,6.06250000e-04,1.52447500e-02
-4.13909844e-07,3.50000000e-04,1.51852500e-02
-4.13869844e-07,3.01562500e-04,1.51905625e-02
-4.13829844e-07,5.06250000e-04,1.52484688e-02
-4.13789844e-07,8.14062500e-04,1.53175313e-02
-4.13749844e-07,1.00156250e-03,1.53536563e-02
-4.13709844e-07,9.40625000e-04,1.53398438e-02
-4.13669844e-07,6.92187500e-04,1.52915000e-02
-4.13629844e-07,4.53125000e-04,1.52436875e-02
-4.13589844e-07,3.96875000e-04,1.52235000e-02
-4.13549844e-07,5.45312500e-04,1.52346563e-02
-4.13509844e-07,7.65625000e-04,1.52559063e-02
-4.13469844e-07,8.73437500e-04,1.52590938e-02
-4.13429844e-07,7.73437500e-04,1.52325313e-02
-4.13389844e-07,5.25000000e-04,1.51889688e-02
-4.13349844e-07,2.76562500e-04,1.51597500e-02
-4.13309844e-07,1.65625000e-04,1.51677188e-02
-4.13269844e-07,2.31250000e-04,1.52091563e-02
-4.13229844e-07,4.10937500e-04,1.52500625e-02
-4.13189844e-07,6.00000000e-04,1.52553750e-02
-4.13149844e-07,7.07812500e-04,1.52176563e-02
-4.13109844e-07,6.85937500e-04,1.51703750e-02
-4.13069844e-07,5.28125000e-04,1.51677188e-02
-4.13029844e-07,2.70312500e-04,1.52415625e-02
-4.12989844e-07,-6.25000000e-06,1.53685313e-02
-4.12949844e-07,-1.82812500e-04,1.54747812e-02
-4.12909844e-07,-1.51562500e-04,1.54843438e-02
-4.12869844e-07,1.03125000e-04,1.53770313e-02
-4.12829844e-07,4.68750000e-04,1.52107500e-02
-4.12789844e-07,7.45312500e-04,1.50917500e-02
-4.12749844e-07,7.65625000e-04,1.50991875e-02
-4.12709844e-07,5.23437500e-04,1.52293438e-02
-4.12669844e-07,2.00000000e-04,1.53940313e-02
-4.12629844e-07,4.68750000e-05,1.54800937e-02
-4.12589844e-07,2.17187500e-04,1.54306875e-02
-4.12549844e-07,6.37500000e-04,1.52840625e-02
-4.12509844e-07,1.05000000e-03,1.51416875e-02
-4.12469844e-07,1.19218750e-03,1.50922813e-02
-4.12429844e-07,9.78125000e-04,1.51501875e-02
-4.12389844e-07,5.56250000e-04,1.52521875e-02
