Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,80000,,Record Length,80000
Zero Index,10399.70703125,,Zero Index,10399.70703125
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-4.15988281e-07,3.53125000e-04,1.53972188e-02
-4.15948281e-07,4.20312500e-04,1.52984063e-02
-4.15908281e-07,5.42187500e-04,1.52739688e-02
-4.15868281e-07,6.43750000e-04,1.53350625e-02
-4.15828281e-07,6.71875000e-04,1.54269688e-02
-4.15788281e-07,6.35937500e-04,1.54715938e-02
-4.15748281e-07,5.89062500e-04,1.54306875e-02
-4.15708281e-07,5.75000000e-04,1.53318750e-02
-4.15668281e-07,5.95312500e-04,1.52447500e-02
-4.15628281e-07,6.18750000e-04,1.52277500e-02
-4.15588281e-07,6.15625000e-04,1.52851250e-02
-4.15548281e-07,5.93750000e-04,1.53685313e-02
-4.15508281e-07,5.85937500e-04,1.54142187e-02
-4.15468281e-07,6.09375000e-04,1.53881875e-02
-4.15428281e-07,6.37500000e-04,1.53085000e-02
-4.15388281e-07,6.09375000e-04,1.52272188e-02
-4.15348281e-07,4.92187500e-04,1.51932188e-02
-4.15308281e-07,3.10937500e-04,1.52245625e-02
-4.15268281e-07,1.50000000e-04,1.53037188e-02
-4.15228281e-07,9.53125000e-05,1.53892500e-02
-4.15188281e-07,1.71875000e-04,1.54397188e-02
-4.15148281e-07,3.31250000e-04,1.54306875e-02
-4.15108281e-07,4.87500000e-04,1.53637500e-02
-4.15068281e-07,5.84375000e-04,1.52654688e-02
-4.15028281e-07,6.17187500e-04,1.51825938e-02
-4.14988281e-07,6.23437500e-04,1.51602813e-02
-4.14948281e-07,6.39062500e-04,1.52219063e-02
-4.14908281e-07,6.70312500e-04,1.53494063e-02
-4.14868281e-07,6.95312500e-04,1.54901875e-02
-4.14828281e-07,7.03125000e-04,1.55810313e-02
-4.14788281e-07,7.04687500e-04,1.55831563e-02
-4.14748281e-07,7.28125000e-04,1.55071875e-02
-4.14708281e-07,7.85937500e-04,1.54004063e-02
-4.14668281e-07,8.60937500e-04,1.53201875e-02
-4.14628281e-07,9.15625000e-04,1.52920313e-02
-4.14588281e-07,9.10937500e-04,1.53037188e-02
-4.14548281e-07,8.37500000e-04,1.53180625e-02
-4.14508281e-07,7.10937500e-04,1.53106250e-02
-4.14468281e-07,5.76562500e-04,1.52851250e-02
-4.14428281e-07,4.82812500e-04,1.52675938e-02
-4.14388281e-07,4.73437500e-04,1.52787500e-02
-4.14348281e-07,5.60937500e-04,1.53111563e-02
-4.14308281e-07,7.09375000e-04,1.53355938e-02
-4.14268281e-07,8.40625000e-04,1.53249688e-02
-4.14228281e-07,8.78125000e-04,1.52840625e-02
-4.14188281e-07,8.03125000e-04,1.52500625e-02
-4.14148281e-07,6.79687500e-04,1.52654688e-02
-4.14108281e-07,6.21875000e-04,1.53435625e-02
-4.14068281e-07,7.06250000e-04,1.54572500e-02
-4.14028281e-07,8.98437500e-04,1.55550000e-02
-4.13988281e-07,1.06718750e-03,1.56017500e-02
-4.13948281e-07,1.07812500e-03,1.55953750e-02
-4.13908281e-07,9.09375000e-04,1.55640313e-02
-4.13868281e-07,6.76562500e-04,1.55342813e-02
-4.13828281e-07,5.59375000e-04,1.55125000e-02
-4.13788281e-07,6.48437500e-04,1.54838125e-02
-4.13748281e-07,8.75000000e-04,1.54397188e-02
-4.13708281e-07,1.05312500e-03,1.53929688e-02
-4.13668281e-07,1.02500000e-03,1.53743750e-02
-4.13628281e-07,7.96875000e-04,1.54025313e-02
-4.13588281e-07,5.28125000e-04,1.54636250e-02
-4.13548281e-07,4.06250000e-04,1.55119688e-02
-4.13508281e-07,4.95312500e-04,1.55045313e-02
-4.13468281e-07,6.82812500e-04,1.54360000e-02
-4.13428281e-07,7.79687500e-04,1.53478125e-02
-4.13388281e-07,6.79687500e-04,1.53026563e-02
-4.13348281e-07,4.46875000e-04,1.53366563e-02
-4.13308281e-07,2.62500000e-04,1.54296250e-02
-4.13268281e-07,2.71875000e-04,1.55156875e-02
-4.13228281e-07,4.67187500e-04,1.55300313e-02
-4.13188281e-07,6.93750000e-04,1.54588438e-02
-4.13148281e-07,7.84375000e-04,1.53552500e-02
