Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,80000,,Record Length,80000
Zero Index,10399.60937500,,Zero Index,10399.60937500
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-4.15984375e-07,2.20312500e-04,1.57706250e-02
-4.15944375e-07,1.57812500e-04,1.58250000e-02
-4.15904375e-07,2.21875000e-04,1.58012500e-02
-4.15864375e-07,3.60937500e-04,1.57337500e-02
-4.15824375e-07,4.92187500e-04,1.56781250e-02
-4.15784375e-07,5.48437500e-04,1.56743750e-02
-4.15744375e-07,5.12500000e-04,1.57218750e-02
-4.15704375e-07,4.15625000e-04,1.57887500e-02
-4.15664375e-07,3.14062500e-04,1.58325000e-02
-4.15624375e-07,2.70312500e-04,1.58300000e-02
-4.15584375e-07,3.12500000e-04,1.57850000e-02
-4.15544375e-07,4.21875000e-04,1.57175000e-02
-4.15504375e-07,5.34375000e-04,1.56500000e-02
-4.15464375e-07,5.65625000e-04,1.55968750e-02
-4.15424375e-07,4.64062500e-04,1.55643750e-02
-4.15384375e-07,2.59375000e-04,1.55556250e-02
-4.15344375e-07,5.62500000e-05,1.55681250e-02
-4.15304375e-07,-9.37500000e-06,1.55900000e-02
-4.15264375e-07,1.26562500e-04,1.55981250e-02
-4.15224375e-07,4.01562500e-04,1.55737500e-02
-4.15184375e-07,6.48437500e-04,1.55168750e-02
-4.15144375e-07,6.98437500e-04,1.54537500e-02
-4.15104375e-07,5.06250000e-04,1.54243750e-02
-4.15064375e-07,1.89062500e-04,1.54550000e-02
-4.15024375e-07,-3.75000000e-05,1.55356250e-02
-4.14984375e-07,-2.03125000e-05,1.56275000e-02
-4.14944375e-07,2.28125000e-04,1.56875000e-02
-4.14904375e-07,5.29687500e-04,1.56993750e-02
-4.14864375e-07,6.68750000e-04,1.56825000e-02
-4.14824375e-07,5.42187500e-04,1.56693750e-02
-4.14784375e-07,2.18750000e-04,1.56756250e-02
-4.14744375e-07,-1.18750000e-04,1.56837500e-02
-4.14704375e-07,-3.07812500e-04,1.56643750e-02
