Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,80000,,Record Length,80000
Zero Index,10399.57812500,,Zero Index,10399.57812500
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-4.15983125e-07,2.35937500e-04,1.54508750e-02
-4.15943125e-07,1.76562500e-04,1.53733125e-02
-4.15903125e-07,1.39062500e-04,1.53446250e-02
-4.15863125e-07,1.48437500e-04,1.53865938e-02
-4.15823125e-07,1.89062500e-04,1.54811563e-02
-4.15783125e-07,2.31250000e-04,1.55789062e-02
-4.15743125e-07,2.48437500e-04,1.56330938e-02
-4.15703125e-07,2.29687500e-04,1.56325625e-02
-4.15663125e-07,1.73437500e-04,1.56060000e-02
-4.15623125e-07,7.34375000e-05,1.55921875e-02
-4.15583125e-07,-6.56250000e-05,1.56044063e-02
-4.15543125e-07,-2.12500000e-04,1.56219375e-02
-4.15503125e-07,-3.06250000e-04,1.56118437e-02
-4.15463125e-07,-2.81250000e-04,1.55613750e-02
-4.15423125e-07,-1.07812500e-04,1.54870000e-02
-4.15383125e-07,1.78125000e-04,1.54190000e-02
-4.15343125e-07,4.79687500e-04,1.53780938e-02
-4.15303125e-07,6.89062500e-04,1.53653438e-02
-4.15263125e-07,7.50000000e-04,1.53733125e-02
-4.15223125e-07,6.85937500e-04,1.54009375e-02
-4.15183125e-07,5.79687500e-04,1.54514063e-02
-4.15143125e-07,5.10937500e-04,1.55194063e-02
-4.15103125e-07,5.04687500e-04,1.55767813e-02
-4.15063125e-07,5.23437500e-04,1.55905938e-02
-4.15023125e-07,5.01562500e-04,1.55491563e-02
-4.14983125e-07,4.12500000e-04,1.54790313e-02
-4.14943125e-07,2.89062500e-04,1.54290938e-02
-4.14903125e-07,2.04687500e-04,1.54317500e-02
-4.14863125e-07,2.01562500e-04,1.54731875e-02
-4.14823125e-07,2.51562500e-04,1.55055938e-02
-4.14783125e-07,2.70312500e-04,1.54896563e-02
-4.14743125e-07,1.89062500e-04,1.54344063e-02
-4.14703125e-07,9.37500000e-06,1.53919063e-02
-4.14663125e-07,-1.78125000e-04,1.54110313e-02
-4.14623125e-07,-2.67187500e-04,1.54885938e-02
-4.14583125e-07,-2.10937500e-04,1.55619063e-02
-4.14543125e-07,-6.40625000e-05,1.55576563e-02
-4.14503125e-07,7.03125000e-05,1.54556563e-02
-4.14463125e-07,1.18750000e-04,1.53122188e-02
-4.14423125e-07,9.06250000e-05,1.52229688e-02
-4.14383125e-07,6.71875000e-05,1.52500625e-02
-4.14343125e-07,1.21875000e-04,1.53733125e-02
-4.14303125e-07,2.70312500e-04,1.55071875e-02
-4.14263125e-07,4.54687500e-04,1.55677500e-02
-4.14223125e-07,6.07812500e-04,1.55358750e-02
-4.14183125e-07,6.93750000e-04,1.54641563e-02
-4.14143125e-07,7.18750000e-04,1.54290938e-02
-4.14103125e-07,6.95312500e-04,1.54668125e-02
-4.14063125e-07,6.15625000e-04,1.55454375e-02
-4.14023125e-07,4.65625000e-04,1.55953750e-02
-4.13983125e-07,2.65625000e-04,1.55693438e-02
-4.13943125e-07,9.37500000e-05,1.54806250e-02
-4.13903125e-07,4.37500000e-05,1.53897813e-02
-4.13863125e-07,1.56250000e-04,1.53563125e-02
-4.13823125e-07,3.60937500e-04,1.53950937e-02
-4.13783125e-07,5.10937500e-04,1.54694688e-02
-4.13743125e-07,4.89062500e-04,1.55252500e-02
-4.13703125e-07,2.98437500e-04,1.55374688e-02
-4.13663125e-07,7.50000000e-05,1.55241875e-02
-4.13623125e-07,-9.37500000e-06,1.55257813e-02
-4.13583125e-07,1.26562500e-04,1.55629688e-02
-4.13543125e-07,4.03125000e-04,1.56160938e-02
-4.13503125e-07,6.35937500e-04,1.56341562e-02
-4.13463125e-07,6.73437500e-04,1.55820938e-02
-4.13423125e-07,5.03125000e-04,1.54700000e-02
-4.13383125e-07,2.56250000e-04,1.53557813e-02
-4.13343125e-07,1.10937500e-04,1.53026563e-02
-4.13303125e-07,1.54687500e-04,1.53382500e-02
-4.13263125e-07,3.42187500e-04,1.54312188e-02
-4.13223125e-07,5.43750000e-04,1.55194063e-02
-4.13183125e-07,6.42187500e-04,1.55560625e-02
-4.13143125e-07,6.10937500e-04,1.55385313e-02
-4.13103125e-07,4.96875000e-04,1.55034688e-02
-4.13063125e-07,3.65625000e-04,1.54854063e-02
-4.13023125e-07,2.42187500e-04,1.54864688e-02
-4.12983125e-07,1.18750000e-04,1.54785000e-02
-4.12943125e-07,-4.68750000e-06,1.54370625e-02
-4.12903125e-07,-8.90625000e-05,1.53749063e-02
-4.12863125e-07,-8.75000000e-05,1.53398438e-02
-4.12823125e-07,1.25000000e-05,1.53749063e-02
-4.12783125e-07,1.54687500e-04,1.54742500e-02
-4.12743125e-07,2.48437500e-04,1.55789062e-02
-4.12703125e-07,2.46875000e-04,1.56123750e-02
-4.12663125e-07,1.81250000e-04,1.55449063e-02
-4.12623125e-07,1.35937500e-04,1.54200625e-02
-4.12583125e-07,1.64062500e-04,1.53239063e-02
-4.12543125e-07,2.43750000e-04,1.53233750e-02
-4.12503125e-07,2.87500000e-04,1.54136875e-02
-4.12463125e-07,2.39062500e-04,1.55199375e-02
-4.12423125e-07,1.35937500e-04,1.55576563e-02
-4.12383125e-07,8.90625000e-05,1.54939063e-02
-4.12343125e-07,1.82812500e-04,1.53722500e-02
-4.12303125e-07,3.87500000e-04,1.52760938e-02
-4.12263125e-07,5.62500000e-04,1.52718437e-02
-4.12223125e-07,5.64062500e-04,1.53616250e-02
-4.12183125e-07,3.76562500e-04,1.54933750e-02
-4.12143125e-07,1.35937500e-04,1.56012188e-02
-4.12103125e-07,3.43750000e-05,1.56485000e-02
-4.12063125e-07,1.59375000e-04,1.56394687e-02
-4.12023125e-07,4.23437500e-04,1.56006875e-02
-4.11983125e-07,6.26562500e-04,1.55507500e-02
-4.11943125e-07,6.17187500e-04,1.54907188e-02
-4.11903125e-07,4.12500000e-04,1.54126250e-02
-4.11863125e-07,1.70312500e-04,1.53228438e-02
-4.11823125e-07,5.62500000e-05,1.52500625e-02
-4.11783125e-07,1.10937500e-04,1.52298750e-02
-4.11743125e-07,2.40625000e-04,1.52792813e-02
-4.11703125e-07,3.18750000e-04,1.53807500e-02
-4.11663125e-07,3.06250000e-04,1.54891250e-02
-4.11623125e-07,2.79687500e-04,1.55565938e-02
-4.11583125e-07,3.29687500e-04,1.55635000e-02
-4.11543125e-07,4.59375000e-04,1.55263125e-02
-4.11503125e-07,5.65625000e-04,1.54811563e-02
-4.11463125e-07,5.40625000e-04,1.54514063e-02
-4.11423125e-07,3.82812500e-04,1.54317500e-02
-4.11383125e-07,2.23437500e-04,1.53919063e-02
-4.11343125e-07,2.17187500e-04,1.53132813e-02
-4.11303125e-07,3.93750000e-04,1.52123438e-02
-4.11263125e-07,6.10937500e-04,1.51443438e-02
-4.11223125e-07,6.70312500e-04,1.51677188e-02
-4.11183125e-07,4.78125000e-04,1.52984063e-02
-4.11143125e-07,1.54687500e-04,1.54907188e-02
-4.11103125e-07,-6.40625000e-05,1.56559375e-02
-4.11063125e-07,-4.68750000e-06,1.57170312e-02
-4.11023125e-07,2.82812500e-04,1.56559375e-02
-4.10983125e-07,5.65625000e-04,1.55257813e-02
-4.10943125e-07,6.10937500e-04,1.54099688e-02
-4.10903125e-07,3.76562500e-04,1.53695938e-02
-4.10863125e-07,3.90625000e-05,1.54046563e-02
-4.10823125e-07,-1.51562500e-04,1.54662812e-02
-4.10783125e-07,-7.96875000e-05,1.54955000e-02
-4.10743125e-07,1.53125000e-04,1.54684063e-02
-4.10703125e-07,3.32812500e-04,1.54051875e-02
-4.10663125e-07,3.14062500e-04,1.53483438e-02
-4.10623125e-07,1.39062500e-04,1.53270938e-02
-4.10583125e-07,-2.50000000e-05,1.53361250e-02
-4.10543125e-07,-4.53125000e-05,1.53515313e-02
-4.10503125e-07,5.46875000e-05,1.53600313e-02
-4.10463125e-07,1.32812500e-04,1.53706563e-02
-4.10423125e-07,7.50000000e-05,1.54051875e-02
-4.10383125e-07,-8.75000000e-05,1.54673438e-02
-4.10343125e-07,-1.93750000e-04,1.55252500e-02
-4.10303125e-07,-1.09375000e-04,1.55273750e-02
-4.10263125e-07,1.54687500e-04,1.54460938e-02
-4.10223125e-07,4.35937500e-04,1.53079688e-02
-4.10183125e-07,5.53125000e-04,1.51879063e-02
-4.10143125e-07,4.60937500e-04,1.51613438e-02
-4.10103125e-07,2.70312500e-04,1.52484688e-02
-4.10063125e-07,1.54687500e-04,1.53956250e-02
-4.10023125e-07,1.93750000e-04,1.55109063e-02
-4.09983125e-07,3.25000000e-04,1.55284375e-02
-4.09943125e-07,4.04687500e-04,1.54492813e-02
-4.09903125e-07,3.54687500e-04,1.53382500e-02
-4.09863125e-07,2.14062500e-04,1.52675938e-02
-4.09823125e-07,1.00000000e-04,1.52665313e-02
-4.09783125e-07,1.00000000e-04,1.53047813e-02
-4.09743125e-07,1.90625000e-04,1.53297500e-02
-4.09703125e-07,2.73437500e-04,1.53132813e-02
-4.09663125e-07,2.68750000e-04,1.52787500e-02
-4.09623125e-07,1.95312500e-04,1.52782188e-02
-4.09583125e-07,1.45312500e-04,1.53456875e-02
-4.09543125e-07,2.03125000e-04,1.54646875e-02
-4.09503125e-07,3.67187500e-04,1.55762500e-02
-4.09463125e-07,5.45312500e-04,1.56198125e-02
-4.09423125e-07,6.26562500e-04,1.55767813e-02
-4.09383125e-07,5.73437500e-04,1.54816875e-02
-4.09343125e-07,4.34375000e-04,1.53945625e-02
-4.09303125e-07,3.04687500e-04,1.53621562e-02
-4.09263125e-07,2.46875000e-04,1.53919063e-02
-4.09223125e-07,2.60937500e-04,1.54567188e-02
-4.09183125e-07,2.90625000e-04,1.55225938e-02
-4.09143125e-07,2.89062500e-04,1.55688125e-02
-4.09103125e-07,2.45312500e-04,1.55927188e-02
-4.09063125e-07,1.82812500e-04,1.56001563e-02
-4.09023125e-07,1.43750000e-04,1.55911250e-02
-4.08983125e-07,1.59375000e-04,1.55645625e-02
-4.08943125e-07,2.37500000e-04,1.55257813e-02
-4.08903125e-07,3.67187500e-04,1.54880625e-02
-4.08863125e-07,5.10937500e-04,1.54673438e-02
-4.08823125e-07,6.12500000e-04,1.54678750e-02
-4.08783125e-07,6.26562500e-04,1.54747812e-02
-4.08743125e-07,5.50000000e-04,1.54673438e-02
-4.08703125e-07,4.50000000e-04,1.54370625e-02
-4.08663125e-07,4.18750000e-04,1.53972188e-02
-4.08623125e-07,5.07812500e-04,1.53727813e-02
-4.08583125e-07,6.70312500e-04,1.53818125e-02
-4.08543125e-07,7.81250000e-04,1.54200625e-02
-4.08503125e-07,7.29687500e-04,1.54636250e-02
-4.08463125e-07,5.26562500e-04,1.54917813e-02
-4.08423125e-07,3.03125000e-04,1.55050625e-02
-4.08383125e-07,2.25000000e-04,1.55252500e-02
-4.08343125e-07,3.51562500e-04,1.55709375e-02
-4.08303125e-07,5.78125000e-04,1.56373438e-02
-4.08263125e-07,7.09375000e-04,1.56910000e-02
-4.08223125e-07,6.17187500e-04,1.56925938e-02
-4.08183125e-07,3.53125000e-04,1.56267188e-02
-4.08143125e-07,1.17187500e-04,1.55183438e-02
-4.08103125e-07,1.09375000e-04,1.54211250e-02
-4.08063125e-07,3.56250000e-04,1.53802188e-02
-4.08023125e-07,6.89062500e-04,1.54083750e-02
-4.07983125e-07,8.60937500e-04,1.54774375e-02
-4.07943125e-07,7.42187500e-04,1.55422500e-02
-4.07903125e-07,4.15625000e-04,1.55693438e-02
-4.07863125e-07,1.15625000e-04,1.55534063e-02
-4.07823125e-07,4.68750000e-05,1.55082500e-02
-4.07783125e-07,2.28125000e-04,1.54519375e-02
-4.07743125e-07,4.84375000e-04,1.53924375e-02
-4.07703125e-07,5.85937500e-04,1.53340000e-02
-4.07663125e-07,4.32812500e-04,1.52877813e-02
-4.07623125e-07,1.23437500e-04,1.52750313e-02
-4.07583125e-07,-1.26562500e-04,1.53143438e-02
-4.07543125e-07,-1.56250000e-04,1.54009375e-02
-4.07503125e-07,3.28125000e-05,1.54981563e-02
-4.07463125e-07,2.84375000e-04,1.55576563e-02
-4.07423125e-07,4.25000000e-04,1.55475625e-02
-4.07383125e-07,3.89062500e-04,1.54806250e-02
-4.07343125e-07,2.48437500e-04,1.54067813e-02
-4.07303125e-07,1.29687500e-04,1.53786250e-02
-4.07263125e-07,1.14062500e-04,1.54131563e-02
-4.07223125e-07,1.76562500e-04,1.54742500e-02
-4.07183125e-07,2.40625000e-04,1.55050625e-02
-4.07143125e-07,2.46875000e-04,1.54710625e-02
-4.07103125e-07,2.04687500e-04,1.53972188e-02
-4.07063125e-07,1.65625000e-04,1.53510000e-02
-4.07023125e-07,1.67187500e-04,1.53929688e-02
-4.06983125e-07,1.95312500e-04,1.55231250e-02
-4.06943125e-07,2.12500000e-04,1.56724062e-02
-4.06903125e-07,2.03125000e-04,1.57467813e-02
-4.06863125e-07,1.85937500e-04,1.56952500e-02
-4.06823125e-07,1.87500000e-04,1.55512813e-02
-4.06783125e-07,2.09375000e-04,1.54051875e-02
-4.06743125e-07,2.06250000e-04,1.53387813e-02
-4.06703125e-07,1.42187500e-04,1.53642813e-02
-4.06663125e-07,3.43750000e-05,1.54221875e-02
-4.06623125e-07,-3.28125000e-05,1.54344063e-02
-4.06583125e-07,3.12500000e-05,1.53733125e-02
-4.06543125e-07,2.32812500e-04,1.52888438e-02
-4.06503125e-07,4.78125000e-04,1.52665313e-02
-4.06463125e-07,6.18750000e-04,1.53579063e-02
-4.06423125e-07,5.70312500e-04,1.55316250e-02
-4.06383125e-07,3.75000000e-04,1.56925938e-02
-4.06343125e-07,1.78125000e-04,1.57520938e-02
-4.06303125e-07,1.20312500e-04,1.56910000e-02
