Model,MSO64
Channel,CH1,,Channel,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,2500,,Record Length,2500
Zero Index,324.21875000,,Zero Index,324.21875000
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2
-1.29687500e-08,9.68750000e-05,1.50864375e-02
-1.29287500e-08,1.17187500e-04,1.51613438e-02
-1.28887500e-08,2.90625000e-04,1.51703750e-02
-1.28487500e-08,5.17187500e-04,1.50689063e-02
-1.28087500e-08,6.78125000e-04,1.48978438e-02
-1.27687500e-08,7.04687500e-04,1.47650313e-02
-1.27287500e-08,6.01562500e-04,1.47724688e-02
-1.26887500e-08,4.35937500e-04,1.49297188e-02
-1.26487500e-08,2.87500000e-04,1.51395625e-02
-1.26087500e-08,2.06250000e-04,1.52649375e-02
-1.25687500e-08,1.87500000e-04,1.52330625e-02
-1.25287500e-08,1.95312500e-04,1.50890938e-02
-1.24887500e-08,1.87500000e-04,1.49562812e-02
-1.24487500e-08,1.62500000e-04,1.49382188e-02
-1.24087500e-08,1.51562500e-04,1.50380938e-02
-1.23687500e-08,1.95312500e-04,1.51608125e-02
-1.23287500e-08,3.07812500e-04,1.51964063e-02
-1.22887500e-08,4.60937500e-04,1.51098125e-02
-1.22487500e-08,5.98437500e-04,1.49722188e-02
-1.22087500e-08,6.73437500e-04,1.48978438e-02
-1.21687500e-08,6.75000000e-04,1.49552188e-02
-1.21287500e-08,6.14062500e-04,1.51087500e-02
-1.20887500e-08,5.09375000e-04,1.52474063e-02
-1.20487500e-08,3.70312500e-04,1.52713125e-02
-1.20087500e-08,2.15625000e-04,1.51655938e-02
-1.19687500e-08,8.90625000e-05,1.50099375e-02
-1.19287500e-08,5.62500000e-05,1.49159063e-02
-1.18887500e-08,1.70312500e-04,1.49472500e-02
-1.18487500e-08,4.17187500e-04,1.50790000e-02
-1.18087500e-08,6.89062500e-04,1.52235000e-02
-1.17687500e-08,8.43750000e-04,1.52973438e-02
-1.17287500e-08,7.89062500e-04,1.52760938e-02
-1.16887500e-08,5.56250000e-04,1.51990625e-02
-1.16487500e-08,2.96875000e-04,1.51310625e-02
-1.16087500e-08,1.79687500e-04,1.51140625e-02
-1.15687500e-08,2.84375000e-04,1.51438125e-02
-1.15287500e-08,5.40625000e-04,1.51810000e-02
-1.14887500e-08,7.73437500e-04,1.51825938e-02
-1.14487500e-08,8.32812500e-04,1.51257500e-02
-1.14087500e-08,6.90625000e-04,1.50179063e-02
-1.13687500e-08,4.56250000e-04,1.48861563e-02
-1.13287500e-08,2.87500000e-04,1.47660938e-02
-1.12887500e-08,2.71875000e-04,1.46890625e-02
-1.12487500e-08,3.68750000e-04,1.46741875e-02
-1.12087500e-08,4.56250000e-04,1.47251875e-02
-1.11687500e-08,4.37500000e-04,1.48298438e-02
-1.11287500e-08,3.28125000e-04,1.49626563e-02
-1.10887500e-08,2.31250000e-04,1.50912188e-02
-1.10487500e-08,2.53125000e-04,1.51868438e-02
-1.10087500e-08,4.07812500e-04,1.52304063e-02
-1.09687500e-08,6.00000000e-04,1.52181875e-02
-1.09287500e-08,7.12500000e-04,1.51645313e-02
-1.08887500e-08,6.95312500e-04,1.50991875e-02
-1.08487500e-08,6.00000000e-04,1.50561563e-02
-1.08087500e-08,5.21875000e-04,1.50550937e-02
-1.07687500e-08,5.06250000e-04,1.50917500e-02
-1.07287500e-08,5.10937500e-04,1.51363750e-02
-1.06887500e-08,4.62500000e-04,1.51523125e-02
-1.06487500e-08,3.43750000e-04,1.51262812e-02
-1.06087500e-08,2.35937500e-04,1.50742187e-02
-1.05687500e-08,2.46875000e-04,1.50333125e-02
-1.05287500e-08,4.12500000e-04,1.50311875e-02
-1.04887500e-08,6.26562500e-04,1.50641250e-02
-1.04487500e-08,7.17187500e-04,1.51023750e-02
-1.04087500e-08,5.84375000e-04,1.51135313e-02
-1.03687500e-08,3.03125000e-04,1.50906875e-02
-1.03287500e-08,9.06250000e-05,1.50519063e-02
-1.02887500e-08,1.40625000e-04,1.50248125e-02
-1.02487500e-08,4.59375000e-04,1.50179063e-02
-1.02087500e-08,8.31250000e-04,1.50210938e-02
-1.01687500e-08,9.76562500e-04,1.50189688e-02
-1.01287500e-08,7.56250000e-04,1.50125938e-02
-1.00887500e-08,3.12500000e-04,1.50232188e-02
-1.00487500e-08,-3.12500000e-05,1.50646563e-02
-1.00087500e-08,1.25000000e-05,1.51225625e-02
-9.96875000e-09,4.68750000e-04,1.51539063e-02
-9.92875000e-09,1.07343750e-03,1.51167188e-02
-9.88875000e-09,1.44843750e-03,1.50147188e-02
-9.84875000e-09,1.36875000e-03,1.49052813e-02
-9.80875000e-09,9.07812500e-04,1.48696875e-02
-9.76875000e-09,3.76562500e-04,1.49546875e-02
-9.72875000e-09,9.37500000e-05,1.51331875e-02
-9.68875000e-09,1.73437500e-04,1.53159375e-02
-9.64875000e-09,4.73437500e-04,1.54062500e-02
-9.60875000e-09,7.20312500e-04,1.53626875e-02
-9.56875000e-09,7.28125000e-04,1.52219063e-02
-9.52875000e-09,5.06250000e-04,1.50715625e-02
-9.48875000e-09,2.26562500e-04,1.49892187e-02
-9.44875000e-09,7.34375000e-05,1.49971875e-02
-9.40875000e-09,1.20312500e-04,1.50572188e-02
-9.36875000e-09,3.06250000e-04,1.51076875e-02
-9.32875000e-09,5.06250000e-04,1.51060938e-02
-9.28875000e-09,6.34375000e-04,1.50572188e-02
-9.24875000e-09,6.67187500e-04,1.50030312e-02
-9.20875000e-09,6.23437500e-04,1.49929375e-02
-9.16875000e-09,5.14062500e-04,1.50492500e-02
-9.12875000e-09,3.50000000e-04,1.51549688e-02
-9.08875000e-09,1.68750000e-04,1.52633438e-02
-9.04875000e-09,5.31250000e-05,1.53223125e-02
-9.00875000e-09,9.53125000e-05,1.53037188e-02
-8.96875000e-09,3.14062500e-04,1.52134063e-02
